origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
Hecht-Shprintzak,TsometKiryatAta,trunk,trunk,8,0,28.2,3.7,24.5,196.1
Hecht-Shprintzak,KiryatAta North,trunk,T1,9,0,17.1,0.0,17.1,153.6
Hecht-Shprintzak,KiryatAta North-East,trunk,T1,10,0,7.0,7.8,-0.8,-8.5
Hecht-Shprintzak,Shefaram,trunk,T1,11,0,0.0,0.0,0.0,0.0
Hecht-Shprintzak,Hamovil,trunk,T1,12,0,0.0,0.0,0.0,0.0
Hecht-Shprintzak,Nazareth,trunk,T1,13,0,0.0,0.0,0.0,0.5
Hecht-Shprintzak,TsurShalom,trunk,T2,12,0,4.4,0.0,4.4,52.9
Hecht-Shprintzak,Kiryon,trunk,T2,11,0,4.5,52.3,-47.8,-526.3
Hecht-Shprintzak,KiryatBialik Center,trunk,T2,10,0,12.0,0.0,12.0,120.1
Hecht-Shprintzak,KiryatHaim,trunk,T2,9,0,21.5,0.0,21.5,193.6
Hecht-Shprintzak,SavyoneyYam,trunk,T3,12,0,0.0,0.0,0.0,0.2
Hecht-Shprintzak,KiryatYam A,trunk,T3,11,0,0.0,0.0,0.0,0.4
Hecht-Shprintzak,KiryatYam B+C,trunk,T3,10,0,21.9,0.0,21.9,218.6
Hecht-Shprintzak,KiryatHaim West,trunk,T3,9,0,12.3,3.5,8.9,79.7
EinHayam,TiratCarmel,trunk,trunk,4,4,45.3,0.0,45.3,181.2
EinHayam,Matam-NeotPeres,trunk,trunk,3,3,168.8,0.0,168.8,506.5
EinHayam,HofCarmel-NeveDavid,trunk,trunk,2,2,13.6,0.0,13.6,27.2
EinHayam,Hecht-Shprintzak,trunk,trunk,1,1,30.2,10.2,20.0,20.0
EinHayam,BatGalim-KiryatEliezer,trunk,trunk,1,0,139.5,16.8,122.6,122.6
EinHayam,Hamoshava,trunk,trunk,2,0,23.8,0.0,23.8,47.6
EinHayam,LowerCity,trunk,trunk,3,0,75.3,9.1,66.2,198.6
EinHayam,Namal-Giborim,trunk,trunk,4,0,38.6,14.2,24.4,97.6
EinHayam,Hamifrats,trunk,trunk,5,0,16.0,4.9,11.1,55.4
EinHayam,Bazan-Hutsot,trunk,trunk,6,0,14.4,0.0,14.4,86.6
EinHayam,TsometKiryatAta,trunk,trunk,7,0,16.5,5.2,11.3,79.3
EinHayam,KiryatAta North,trunk,T1,8,0,10.0,0.0,10.0,80.1
EinHayam,KiryatAta North-East,trunk,T1,9,0,4.1,0.0,4.1,36.9
EinHayam,Shefaram,trunk,T1,10,0,0.0,0.0,0.0,0.0
EinHayam,Hamovil,trunk,T1,11,0,0.0,0.0,0.0,0.0
EinHayam,Nazareth,trunk,T1,12,0,0.0,0.0,0.0,0.3
EinHayam,TsurShalom,trunk,T2,11,0,2.6,0.0,2.6,28.5
EinHayam,Kiryon,trunk,T2,10,0,2.6,0.0,2.6,26.2
EinHayam,KiryatBialik Center,trunk,T2,9,0,7.0,0.0,7.0,63.4
EinHayam,KiryatHaim,trunk,T2,8,0,12.6,0.0,12.6,101.0
EinHayam,SavyoneyYam,trunk,T3,11,0,0.0,0.0,0.0,0.1
EinHayam,KiryatYam A,trunk,T3,10,0,0.0,0.0,0.0,0.2
EinHayam,KiryatYam B+C,trunk,T3,9,0,12.8,0.0,12.8,115.5
EinHayam,KiryatHaim West,trunk,T3,8,0,7.2,0.0,7.2,57.9
BatGalim-KiryatEliezer,TiratCarmel,trunk,trunk,5,5,71.1,54.9,16.2,81.0
BatGalim-KiryatEliezer,Matam-NeotPeres,trunk,trunk,4,4,265.1,186.7,78.4,313.5
BatGalim-KiryatEliezer,HofCarmel-NeveDavid,trunk,trunk,3,3,21.4,75.9,-54.5,-163.5
BatGalim-KiryatEliezer,Hecht-Shprintzak,trunk,trunk,2,2,47.5,173.4,-126.0,-251.9
BatGalim-KiryatEliezer,EinHayam,trunk,trunk,1,1,15.2,0.0,15.2,15.2
BatGalim-KiryatEliezer,Hamoshava,trunk,trunk,1,0,37.4,28.0,9.3,9.3
BatGalim-KiryatEliezer,LowerCity,trunk,trunk,2,0,118.2,109.7,8.5,17.0
BatGalim-KiryatEliezer,Namal-Giborim,trunk,trunk,3,0,60.5,27.1,33.5,100.4
BatGalim-KiryatEliezer,Hamifrats,trunk,trunk,4,0,25.1,30.3,-5.2,-20.8
BatGalim-KiryatEliezer,Bazan-Hutsot,trunk,trunk,5,0,22.7,11.7,10.9,54.7
BatGalim-KiryatEliezer,TsometKiryatAta,trunk,trunk,6,0,26.0,22.9,3.1,18.4
BatGalim-KiryatEliezer,KiryatAta North,trunk,T1,7,0,15.7,0.0,15.7,110.1
BatGalim-KiryatEliezer,KiryatAta North-East,trunk,T1,8,0,6.4,0.0,6.4,51.6
BatGalim-KiryatEliezer,Shefaram,trunk,T1,9,0,0.0,0.0,0.0,0.0
BatGalim-KiryatEliezer,Hamovil,trunk,T1,10,0,0.0,0.0,0.0,0.0
