route,link,from_area,to_area,segment,3h bus down,3h bus up,3h car down,3h car up,3h rail down,3h rail up,3h taxi down,3h taxi up,3h total down,3h total up,3h transit down,3h transit up,peak_hour bus down,peak_hour bus up,peak_hour car down,peak_hour car up,peak_hour rail down,peak_hour rail up,peak_hour taxi down,peak_hour taxi up,peak_hour total down,peak_hour total up,peak_hour transit down,peak_hour transit up
T1,11,Bazan-Hutsot,TsometKiryatAta,trunk,1075.2,184.3,3515.8,1335.2,0.0,0.0,367.3,178.8,4958.3,1698.3,1075.2,184.3,634.8,108.8,2199.5,882.2,0.0,0.0,213.0,103.7,3047.2,1094.7,634.8,108.8
T1,12,TsometKiryatAta,KiryatAta North,branch,1173.8,64.3,4267.8,720.9,0.0,0.0,367.3,0.0,5808.9,785.2,1173.8,64.3,693.0,38.0,2669.9,476.3,0.0,0.0,213.0,0.0,3575.9,514.3,693.0,38.0
T1,13,KiryatAta North,KiryatAta North-East,branch,1154.7,50.8,4157.8,756.5,0.0,0.0,367.3,0.0,5679.8,807.3,1154.7,50.8,681.7,30.0,2601.1,499.8,0.0,0.0,213.0,0.0,3495.8,529.8,681.7,30.0
T1,14,KiryatAta North-East,Shefaram,branch,918.1,14.9,3302.8,840.9,0.0,0.0,367.3,0.0,4588.2,855.8,918.1,14.9,542.1,8.8,2066.2,555.6,0.0,0.0,213.0,0.0,2821.3,564.4,542.1,8.8
T1,15,Shefaram,Hamovil,branch,649.7,10.0,2270.9,957.1,0.0,0.0,367.3,23.5,3287.8,990.7,649.7,10.0,383.6,5.9,1420.7,632.4,0.0,0.0,213.0,13.6,2017.2,651.9,383.6,5.9
T1,16,Hamovil,Nazareth,branch,649.8,5.6,1781.3,1092.3,0.0,0.0,367.3,23.5,2798.4,1121.4,649.8,5.6,383.6,3.3,1114.4,721.7,0.0,0.0,213.0,13.6,1711.0,738.6,383.6,3.3
T2,1,TiratCarmel,Matam-NeotPeres,trunk,188.2,542.2,1104.2,4012.7,0.0,0.0,342.4,681.1,1634.8,5236.0,188.2,542.2,111.1,320.1,690.8,2651.2,0.0,0.0,198.5,394.9,1000.4,3366.2,111.1,320.1
T2,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,1596.7,517.8,2669.4,2621.5,32.1,0.0,650.1,704.1,4948.2,3843.4,1628.7,517.8,942.7,305.7,1670.0,1732.1,18.9,0.0,376.9,408.2,3008.5,2446.0,961.6,305.7
T2,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,1578.2,663.1,2641.9,2637.9,32.1,0.0,686.1,785.5,4938.3,4086.5,1610.3,663.1,931.8,391.5,1652.7,1742.9,18.9,0.0,397.8,455.4,3001.3,2589.8,950.7,391.5
T2,4,Hecht-Shprintzak,EinHayam,trunk,1330.5,1211.3,2561.5,3281.8,32.1,0.0,692.1,1217.3,4616.2,5710.3,1362.6,1211.3,785.5,715.2,1602.5,2168.3,18.9,0.0,401.3,705.8,2808.2,3589.2,804.4,715.2
T2,5,EinHayam,BatGalim-KiryatEliezer,trunk,1195.7,1390.6,2276.2,4058.8,32.1,0.0,529.1,1586.2,4033.0,7035.6,1227.7,1390.6,705.9,821.0,1424.0,2681.7,18.9,0.0,306.7,919.7,2455.6,4422.3,724.9,821.0
T2,6,BatGalim-KiryatEliezer,Hamoshava,trunk,1176.2,1120.3,4159.3,3970.2,32.1,0.0,220.2,908.9,5587.8,5999.5,1208.3,1120.3,694.4,661.4,2602.1,2623.1,18.9,0.0,127.7,527.0,3443.1,3811.6,713.4,661.4
T2,7,Hamoshava,LowerCity,trunk,1222.9,1039.6,2625.4,2837.4,32.1,0.0,235.6,1138.1,4116.0,5015.1,1255.0,1039.6,722.0,613.8,1642.5,1874.6,18.9,0.0,136.6,659.9,2520.0,3148.3,740.9,613.8
T2,8,LowerCity,Namal-Giborim,trunk,1376.8,749.2,2761.9,2202.1,32.1,0.0,814.6,793.2,4985.5,3744.5,1408.9,749.2,812.9,442.3,1727.9,1454.9,18.9,0.0,472.3,459.9,3032.0,2357.2,831.8,442.3
T2,9,Namal-Giborim,Hamifrats,trunk,1162.2,564.4,2864.9,1926.4,34.4,0.0,984.8,419.3,5046.4,2910.0,1196.6,564.4,686.1,333.2,1792.3,1272.8,20.3,0.0,571.0,243.1,3069.8,1849.1,706.5,333.2
T2,10,Hamifrats,Bazan-Hutsot,trunk,1005.1,389.2,4059.0,1095.7,38.6,0.0,991.5,396.6,6094.2,1881.6,1043.7,389.2,593.4,229.8,2539.3,723.9,22.8,0.0,574.8,230.0,3730.4,1183.7,616.2,229.8
T2,11,Bazan-Hutsot,TsometKiryatAta,trunk,1125.2,256.0,5230.9,1186.8,38.6,0.0,977.2,341.4,7372.0,1784.2,1163.8,256.0,664.3,151.2,3272.4,784.1,22.8,0.0,566.6,197.9,4526.2,1133.2,687.1,151.2
T2,12,TsometKiryatAta,KiryatHaim,branch,1216.5,138.8,6482.8,483.7,38.6,0.0,1019.0,162.6,8756.9,785.0,1255.2,138.8,718.2,81.9,4055.6,319.6,22.8,0.0,590.8,94.3,5387.5,495.7,741.0,81.9
T2,13,KiryatHaim,KiryatBialik Center,branch,945.4,284.7,7577.7,1934.2,20.7,0.0,1600.6,278.1,10144.4,2496.9,966.1,284.7,558.2,168.1,4740.6,1277.9,12.2,0.0,928.0,161.2,6239.0,1607.2,570.4,168.1
T2,14,KiryatBialik Center,Kiryon,branch,464.1,348.7,3705.4,1205.0,0.0,0.0,992.0,342.6,5161.4,1896.3,464.1,348.7,274.0,205.9,2318.1,796.1,0.0,0.0,575.1,198.6,3167.2,1200.6,274.0,205.9
T2,15,Kiryon,TsurShalom,branch,244.1,66.3,2278.4,998.3,0.0,0.0,402.7,222.8,2925.2,1287.4,244.1,66.3,144.1,39.1,1425.4,659.6,0.0,0.0,233.5,129.2,1803.0,827.9,144.1,39.1
T3,1,TiratCarmel,Matam-NeotPeres,trunk,194.4,540.8,973.4,4012.7,0.0,0.0,122.2,578.7,1290.0,5132.2,194.4,540.8,114.8,319.3,609.0,2651.2,0.0,0.0,70.9,335.6,794.6,3306.0,114.8,319.3
T3,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,1402.8,523.5,2435.8,2621.5,7.7,0.0,508.2,578.7,4354.4,3723.8,1410.5,523.5,828.2,309.1,1523.8,1732.1,4.5,0.0,294.6,335.6,2651.2,2376.7,832.7,309.1
T3,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,1372.6,675.0,2432.6,2637.9,7.7,0.0,544.2,660.1,4357.1,3973.1,1380.3,675.0,810.4,398.5,1521.8,1742.9,4.5,0.0,315.5,382.7,2652.3,2524.2,814.9,398.5
T3,4,Hecht-Shprintzak,EinHayam,trunk,1089.0,1249.2,2352.3,3281.8,7.7,0.0,550.2,1091.9,3999.2,5622.8,1096.7,1249.2,643.0,737.5,1471.6,2168.3,4.5,0.0,319.0,633.1,2438.1,3538.9,647.5,737.5
T3,5,EinHayam,BatGalim-KiryatEliezer,trunk,947.8,1437.1,2066.9,4078.5,7.7,0.0,387.1,1440.2,3409.6,6955.8,955.5,1437.1,559.6,848.4,1293.1,2694.7,4.5,0.0,224.5,835.0,2081.7,4378.1,564.1,848.4
T3,6,BatGalim-KiryatEliezer,Hamoshava,trunk,796.3,1189.4,3481.6,3985.3,7.7,0.0,250.3,762.9,4535.8,5937.6,804.0,1189.4,470.2,702.2,2178.1,2633.1,4.5,0.0,145.1,442.4,2797.8,3777.6,474.7,702.2
T3,7,Hamoshava,LowerCity,trunk,830.4,1099.8,1947.7,2852.4,7.7,0.0,265.6,992.1,3051.4,4944.4,838.1,1099.8,490.3,649.3,1218.5,1884.6,4.5,0.0,154.0,575.2,1867.3,3109.2,494.8,649.3
T3,8,LowerCity,Namal-Giborim,trunk,961.2,798.8,2095.1,2162.6,7.7,0.0,421.6,647.2,3485.5,3608.7,968.8,798.8,567.5,471.6,1310.7,1428.8,4.5,0.0,244.4,375.3,2127.1,2275.7,572.0,471.6
T3,9,Namal-Giborim,Hamifrats,trunk,744.2,592.3,1927.3,1889.4,9.3,0.0,516.7,271.1,3197.4,2752.8,753.4,592.3,439.4,349.7,1205.7,1248.3,5.5,0.0,299.6,157.2,1950.1,1755.2,444.8,349.7
T3,10,Hamifrats,Bazan-Hutsot,trunk,632.1,395.9,2006.1,1049.3,12.1,0.0,516.7,248.5,3167.1,1693.7,644.3,395.9,373.2,233.8,1255.0,693.3,7.2,0.0,299.6,144.1,1935.0,1071.1,380.4,233.8
T3,11,Bazan-Hutsot,TsometKiryatAta,trunk,783.4,260.1,2634.6,1159.8,12.1,0.0,754.6,193.2,4184.8,1613.1,795.5,260.1,462.5,153.6,1648.2,766.3,7.2,0.0,437.5,112.0,2555.4,1031.9,469.7,153.6
T3,12,TsometKiryatAta,KiryatHaim West,branch,924.2,139.0,3050.0,386.9,12.1,0.0,909.5,14.4,4895.9,540.3,936.3,139.0,545.6,82.1,1908.1,255.6,7.2,0.0,527.3,8.4,2988.2,346.0,552.8,82.1
T3,13,KiryatHaim West,KiryatYam B+C,branch,595.2,273.9,2582.2,892.4,0.0,0.0,828.2,0.0,4005.7,1166.3,595.2,273.9,351.4,161.7,1615.4,589.6,0.0,0.0,480.2,0.0,2447.1,751.3,351.4,161.7
T3,14,KiryatYam B+C,KiryatYam A,branch,536.8,77.6,2232.5,621.7,0.0,0.0,555.7,0.0,3325.1,699.3,536.8,77.6,316.9,45.8,1396.7,410.8,0.0,0.0,322.2,0.0,2035.8,456.6,316.9,45.8
T3,15,KiryatYam A,SavyoneyYam,branch,360.5,14.7,1649.4,389.8,0.0,0.0,348.0,0.0,2358.0,404.5,360.5,14.7,212.9,8.7,1031.9,257.5,0.0,0.0,201.8,0.0,1446.5,266.2,212.9,8.7
