route,link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,PHF3h,flow_peak_hour
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,rail,0.0,0.6,0.0
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,rail,0.0,0.6,0.0
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,rail,0.0,0.6,0.0
T3,7,207,208,Hamoshava,LowerCity,trunk,up,rail,0.0,0.6,0.0
T3,8,208,209,LowerCity,Namal-Giborim,trunk,up,rail,0.0,0.6,0.0
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,up,rail,0.0,0.6,0.0
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,rail,0.0,0.6,0.0
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,rail,0.0,0.6,0.0
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,up,rail,0.0,0.6,0.0
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,up,rail,0.0,0.6,0.0
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,up,rail,0.0,0.6,0.0
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,up,rail,0.0,0.6,0.0
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,taxi,122.2,0.6,70.9
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,taxi,508.2,0.6,294.6
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,taxi,544.2,0.6,315.5
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,taxi,550.2,0.6,319.0
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,taxi,387.1,0.6,224.5
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,taxi,250.3,0.6,145.1
T3,7,207,208,Hamoshava,LowerCity,trunk,down,taxi,265.6,0.6,154.0
T3,8,208,209,LowerCity,Namal-Giborim,trunk,down,taxi,421.6,0.6,244.4
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,down,taxi,516.7,0.6,299.6
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,taxi,516.7,0.6,299.6
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,taxi,754.6,0.6,437.5
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,down,taxi,909.5,0.6,527.3
T3,13,304,303,KiryatHaim West,KiryatYam B+C,branch,down,taxi,828.2,0.6,480.2
T3,14,303,302,KiryatYam B+C,KiryatYam A,branch,down,taxi,555.7,0.6,322.2
T3,15,302,301,KiryatYam A,SavyoneyYam,branch,down,taxi,348.0,0.6,201.8
T3,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,taxi,578.7,0.6,335.6
T3,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,taxi,578.7,0.6,335.6
T3,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,taxi,660.1,0.6,382.7
T3,4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,taxi,1091.9,0.6,633.1
T3,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,taxi,1440.2,0.6,835.0
T3,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,taxi,762.9,0.6,442.4
T3,7,207,208,Hamoshava,LowerCity,trunk,up,taxi,992.1,0.6,575.2
T3,8,208,209,LowerCity,Namal-Giborim,trunk,up,taxi,647.2,0.6,375.3
T3,9,209,210,Namal-Giborim,Hamifrats,trunk,up,taxi,271.1,0.6,157.2
T3,10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,taxi,248.5,0.6,144.1
T3,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,taxi,193.2,0.6,112.0
T3,12,212,304,TsometKiryatAta,KiryatHaim West,branch,up,taxi,14.4,0.6,8.4
