link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,flow_peak_hour
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,bus,1766.1,1042.7
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,bus,21.1,12.5
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,bus,1342.0,792.3
15,215,216,Shefaram,Hamovil,branch T1,up,bus,16.0,9.5
15,215,216,Shefaram,Hamovil,branch T1,down,bus,1069.9,631.7
16,216,217,Hamovil,Nazareth,branch T1,up,bus,11.5,6.8
16,216,217,Hamovil,Nazareth,branch T1,down,bus,1070.0,631.7
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,bus,1424.3,840.9
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,bus,1632.6,963.9
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,bus,1186.8,700.7
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,bus,1172.2,692.0
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,bus,867.4,512.1
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,bus,566.8,334.6
20,102,101,Kiryon,TsurShalom,branch T2,up,bus,148.3,87.5
20,102,101,Kiryon,TsurShalom,branch T2,down,bus,290.1,171.3
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,bus,588.0,347.2
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,bus,1811.3,1069.4
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,bus,610.0,360.2
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,bus,1281.0,756.3
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,bus,123.9,73.1
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,bus,960.1,566.8
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,bus,21.0,12.4
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,bus,613.5,362.2
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,taxi,681.1,394.9
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,taxi,342.4,198.5
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,taxi,704.1,408.2
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,taxi,728.4,422.3
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,taxi,785.5,455.4
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,taxi,764.4,443.2
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,taxi,1217.3,705.8
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,taxi,770.4,446.7
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,taxi,1586.2,919.7
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,taxi,607.3,352.1
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,taxi,908.9,527.0
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,taxi,837.8,485.7
7,207,208,Hamoshava,LowerCity,trunk,up,taxi,1138.1,659.9
7,207,208,Hamoshava,LowerCity,trunk,down,taxi,853.1,494.7
8,208,209,LowerCity,Namal-Giborim,trunk,up,taxi,793.2,459.9
8,208,209,LowerCity,Namal-Giborim,trunk,down,taxi,1539.1,892.4
9,209,210,Namal-Giborim,Hamifrats,trunk,up,taxi,433.7,251.4
9,209,210,Namal-Giborim,Hamifrats,trunk,down,taxi,1813.6,1051.5
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,taxi,411.0,238.3
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,taxi,1820.3,1055.4
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,taxi,355.8,206.3
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,taxi,2099.2,1217.1
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,taxi,0.0,0.0
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,taxi,367.3,213.0
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,taxi,0.0,0.0
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,taxi,367.3,213.0
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,taxi,0.0,0.0
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,taxi,367.3,213.0
15,215,216,Shefaram,Hamovil,branch T1,up,taxi,23.5,13.6
15,215,216,Shefaram,Hamovil,branch T1,down,taxi,367.3,213.0
16,216,217,Hamovil,Nazareth,branch T1,up,taxi,23.5,13.6
16,216,217,Hamovil,Nazareth,branch T1,down,taxi,367.3,213.0
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,taxi,277.8,161.1
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,taxi,1091.5,632.9
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,taxi,368.5,213.7
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,taxi,1648.5,955.8
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,taxi,385.0,223.2
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,taxi,992.0,575.1
20,102,101,Kiryon,TsurShalom,branch T2,up,taxi,222.8,129.2
20,102,101,Kiryon,TsurShalom,branch T2,down,taxi,402.7,233.5
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,taxi,86.9,50.4
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,taxi,1024.8,594.2
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,taxi,72.5,42.1
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,taxi,901.1,522.5
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,taxi,16.2,9.4
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,taxi,586.9,340.3
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,taxi,16.2,9.4
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,taxi,379.2,219.9
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,rail,0.0,0.0
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,rail,0.0,0.0
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,rail,0.0,0.0
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,rail,39.7,23.0
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,rail,0.0,0.0
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,rail,39.7,23.0
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,rail,0.0,0.0
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,rail,39.7,23.0
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,rail,0.0,0.0
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,rail,39.7,23.0
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,rail,0.0,0.0
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,rail,39.7,23.0
7,207,208,Hamoshava,LowerCity,trunk,up,rail,0.0,0.0
7,207,208,Hamoshava,LowerCity,trunk,down,rail,39.7,23.0
8,208,209,LowerCity,Namal-Giborim,trunk,up,rail,0.0,0.0
8,208,209,LowerCity,Namal-Giborim,trunk,down,rail,39.7,23.0
9,209,210,Namal-Giborim,Hamifrats,trunk,up,rail,0.0,0.0
9,209,210,Namal-Giborim,Hamifrats,trunk,down,rail,43.7,25.3
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,rail,0.0,0.0
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,rail,50.7,29.4
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,rail,0.0,0.0
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,rail,50.7,29.4
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,rail,0.0,0.0
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,rail,0.0,0.0
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,rail,0.0,0.0
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,rail,0.0,0.0
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,rail,0.0,0.0
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,rail,0.0,0.0
15,215,216,Shefaram,Hamovil,branch T1,up,rail,0.0,0.0
15,215,216,Shefaram,Hamovil,branch T1,down,rail,0.0,0.0
16,216,217,Hamovil,Nazareth,branch T1,up,rail,0.0,0.0
16,216,217,Hamovil,Nazareth,branch T1,down,rail,0.0,0.0
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,rail,0.0,0.0
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,rail,38.6,22.4
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,rail,0.0,0.0
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,rail,20.7,12.0
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,rail,0.0,0.0
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,rail,0.0,0.0
20,102,101,Kiryon,TsurShalom,branch T2,up,rail,0.0,0.0
20,102,101,Kiryon,TsurShalom,branch T2,down,rail,0.0,0.0
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,rail,0.0,0.0
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,rail,12.1,7.0
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,rail,0.0,0.0
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,rail,0.0,0.0
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,rail,0.0,0.0
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,rail,0.0,0.0
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,rail,0.0,0.0
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,rail,0.0,0.0
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,transit,197.7,116.7
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,transit,552.9,326.4
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,transit,1812.0,1069.4
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,transit,546.0,322.3
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,transit,1803.4,1064.3
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,transit,706.4,417.1
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,transit,1585.3,935.6
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,transit,1317.8,778.0
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,transit,1455.8,859.1
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,transit,1518.1,896.3
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,transit,1591.2,939.0
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,transit,1302.8,769.2
7,207,208,Hamoshava,LowerCity,trunk,down,transit,1725.6,1018.4
7,207,208,Hamoshava,LowerCity,trunk,up,transit,1224.2,722.8
8,208,209,LowerCity,Namal-Giborim,trunk,down,transit,2066.1,1219.4
8,208,209,LowerCity,Namal-Giborim,trunk,up,transit,936.4,552.9
9,209,210,Namal-Giborim,Hamifrats,trunk,down,transit,2069.2,1221.2
9,209,210,Namal-Giborim,Hamifrats,trunk,up,transit,758.6,447.9
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,transit,2426.7,1432.2
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,transit,590.0,348.3
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,transit,2897.6,1710.2
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,transit,457.6,270.2
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,transit,1912.1,1128.9
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,transit,371.2,219.2
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,transit,1766.1,1042.7
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,transit,143.2,84.6
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,transit,1342.0,792.3
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,transit,21.1,12.5
15,215,216,Shefaram,Hamovil,branch T1,down,transit,1069.9,631.7
15,215,216,Shefaram,Hamovil,branch T1,up,transit,16.0,9.5
16,216,217,Hamovil,Nazareth,branch T1,down,transit,1070.0,631.7
16,216,217,Hamovil,Nazareth,branch T1,up,transit,11.5,6.8
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,transit,1671.2,986.3
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,transit,1424.3,840.9
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,transit,1192.9,704.0
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,transit,1186.8,700.7
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,transit,566.8,334.6
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,transit,867.4,512.1
20,102,101,Kiryon,TsurShalom,branch T2,down,transit,290.1,171.3
20,102,101,Kiryon,TsurShalom,branch T2,up,transit,148.3,87.5
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,transit,1823.4,1076.4
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,transit,588.0,347.2
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,transit,1281.0,756.3
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,transit,610.0,360.2
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,transit,960.1,566.8
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,transit,123.9,73.1
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,transit,613.5,362.2
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,transit,21.0,12.4
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,total,1732.3,937.6
1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,total,5246.7,2950.8
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,total,6581.2,3601.0
2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,total,3871.6,2187.1
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,total,6605.4,3615.1
3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,total,4129.9,2338.1
4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,total,6313.0,3447.9
4,204,205,Hecht-Shprintzak,EinHayam,trunk,up,total,5816.8,3307.1
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,total,5735.1,3128.0
5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,up,total,7182.8,4082.0
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,total,9150.9,4933.6
6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,up,total,6369.7,3606.3
7,207,208,Hamoshava,LowerCity,trunk,down,total,7766.9,4221.2
7,207,208,Hamoshava,LowerCity,trunk,up,total,5420.3,3081.6
8,208,209,LowerCity,Namal-Giborim,trunk,down,total,10030.5,5465.8
8,208,209,LowerCity,Namal-Giborim,trunk,up,total,4381.4,2486.1
9,209,210,Namal-Giborim,Hamifrats,trunk,down,total,10638.1,5799.0
9,209,210,Namal-Giborim,Hamifrats,trunk,up,total,3585.0,2028.7
10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,total,13213.5,7168.1
10,210,211,Hamifrats,Bazan-Hutsot,trunk,up,total,2603.3,1476.9
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,total,16231.4,8791.8
11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,up,total,2642.4,1492.7
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,down,total,8108.4,4384.6
12,212,213,TsometKiryatAta,KiryatAta North,branch T1,up,total,1689.9,951.8
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,down,total,7717.4,4170.5
13,213,214,KiryatAta North,KiryatAta North-East,branch T1,up,total,1330.0,743.9
14,214,215,KiryatAta North-East,Shefaram,branch T1,down,total,6159.3,3328.2
14,214,215,KiryatAta North-East,Shefaram,branch T1,up,total,1188.1,660.8
15,215,216,Shefaram,Hamovil,branch T1,down,total,3761.4,2057.9
15,215,216,Shefaram,Hamovil,branch T1,up,total,1322.6,736.0
16,216,217,Hamovil,Nazareth,branch T1,down,total,3218.6,1774.6
16,216,217,Hamovil,Nazareth,branch T1,up,total,1377.9,766.5
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,down,total,14255.4,7618.3
17,212,104,TsometKiryatAta,KiryatHaim,branch T2,up,total,9559.5,5367.5
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,down,total,13591.7,7271.5
18,104,103,KiryatHaim,KiryatBialik Center,branch T2,up,total,8801.9,4940.6
19,103,102,KiryatBialik Center,Kiryon,branch T2,down,total,7063.3,3783.1
19,103,102,KiryatBialik Center,Kiryon,branch T2,up,total,5592.9,3146.9
20,102,101,Kiryon,TsurShalom,branch T2,down,total,4079.7,2172.7
20,102,101,Kiryon,TsurShalom,branch T2,up,total,2817.7,1576.1
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,down,total,11786.2,6336.2
21,212,304,TsometKiryatAta,KiryatHaim West,branch T3,up,total,5549.5,3105.9
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,down,total,9378.0,5035.0
22,304,303,KiryatHaim West,KiryatYam B+C,branch T3,up,total,4581.4,2568.4
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,down,total,5605.7,3025.7
23,303,302,KiryatYam B+C,KiryatYam A,branch T3,up,total,1321.3,738.8
24,302,301,KiryatYam A,SavyoneyYam,branch T3,down,total,4022.2,2163.5
24,302,301,KiryatYam A,SavyoneyYam,branch T3,up,total,767.1,427.3
