layer,direction,link,survey trips 2018 (3 h),sampled trips (equiv.),PHF3h link,peak start link,PHF3h direction,diff
BUS,1→23,Neve David – Ein Hayam,3648.4154,25.7458,0.6978,7.0000,0.6817,0.0161
BUS,1→23,Ein Hayam – Bat Galim,5460.7914,50.6333,0.6602,7.2500,0.6817,-0.0215
BUS,1→23,Bat Galim – Kiryat Eliezer,4483.3069,43.4869,0.7465,7.2500,0.6817,0.0648
BUS,1→23,Kiryat Eliezer – Hamoshava,4025.1267,34.9504,0.7233,7.5000,0.6817,0.0416
BUS,1→23,Hamoshava – Lower City,4421.7934,32.2700,0.7580,7.2500,0.6817,0.0763
BUS,1→23,Lower City – Hadar Carmel,3188.3035,23.5860,0.6621,7.2500,0.6817,-0.0196
BUS,1→23,Hadar Carmel – Namal,1867.8055,11.4635,0.7116,7.0000,0.6817,0.0299
BUS,1→23,Namal – Neve Yosef,1690.1918,9.4635,0.6883,6.7500,0.6817,0.0066
BUS,1→23,Neve Yosef – Hamifrats,959.8536,7.0729,0.6704,7.0000,0.6817,-0.0113
BUS,1→23,Hamifrats – Hutzot,461.3188,3.8139,0.4587,6.7500,0.6817,-0.2230
BUS,1→23,Hutzot – Kiryat Ata Center,211.6211,2.0919,1.0000,6.7500,0.6817,0.3183
BUS,1→23,Kiryat Ata Center – Kiryat Bialik South,63.2961,1.0000,1.0000,6.7500,0.6817,0.3183
BUS,1→23,Kiryat Bialik South – Shefaram,0.0000,0.0000,,,0.6817,
BUS,1→23,Shefaram – Nazareth Area,0.0000,0.0000,,,0.6817,
BUS,23→1,TiratCarmel – Matam,1139.5405,6.9237,0.8515,6.2500,0.5728,0.2788
BUS,23→1,Matam – Neot Peres,1808.6343,11.5757,0.6420,7.0000,0.5728,0.0692
BUS,23→1,Neot Peres – Neve David,2232.4943,16.5757,0.6004,7.0000,0.5728,0.0277
BUS,23→1,Neve David – Ein Hayam,2264.3642,16.1619,0.5908,7.0000,0.5728,0.0180
BUS,23→1,Ein Hayam – Bat Galim,1845.4147,12.0757,0.6123,6.2500,0.5728,0.0395
BUS,23→1,Bat Galim – Kiryat Eliezer,1774.9571,12.5654,0.6236,6.2500,0.5728,0.0509
BUS,23→1,Kiryat Eliezer – Hamoshava,1304.7024,11.3796,0.5580,6.2500,0.5728,-0.0148
BUS,23→1,Hamoshava – Lower City,1304.7024,11.3796,0.5580,6.2500,0.5728,-0.0148
BUS,23→1,Lower City – Hadar Carmel,1440.0648,12.2407,0.5055,6.2500,0.5728,-0.0672
BUS,23→1,Hadar Carmel – Namal,1597.5235,7.0791,0.5234,6.5000,0.5728,-0.0494
BUS,23→1,Namal – Neve Yosef,1287.6091,6.1936,0.5342,6.2500,0.5728,-0.0386
BUS,23→1,Neve Yosef – Hamifrats,972.9975,6.0703,0.4584,6.7500,0.5728,-0.1144
BUS,23→1,Hamifrats – Hutzot,733.1707,5.0703,0.6083,6.7500,0.5728,0.0356
BUS,23→1,Hutzot – Kiryat Ata Center,725.3282,5.1784,0.7419,6.7500,0.5728,0.1691
BUS,23→1,Kiryat Ata Center – Kiryat Bialik South,725.3282,5.1784,0.7419,6.7500,0.5728,0.1691
BUS,23→1,Kiryat Bialik South – Shefaram,172.6863,1.5830,0.5333,6.0000,0.5728,-0.0395
BUS,23→1,Shefaram – Nazareth Area,92.0916,0.8610,1.0000,6.0000,0.5728,0.4272
TAXI,1→23,TiratCarmel – Matam,0.0000,0.0000,,,,
TAXI,1→23,Matam – Neot Peres,0.0000,0.0000,,,,
TAXI,1→23,Neot Peres – Neve David,0.0000,0.0000,,,,
TAXI,1→23,Neve David – Ein Hayam,0.0000,0.0000,,,,
TAXI,1→23,Ein Hayam – Bat Galim,0.0000,0.0000,,,,
TAXI,1→23,Bat Galim – Kiryat Eliezer,0.0000,0.0000,,,,
TAXI,1→23,Kiryat Eliezer – Hamoshava,0.0000,0.0000,,,,
TAXI,1→23,Hamoshava – Lower City,0.0000,0.0000,,,,
TAXI,1→23,Lower City – Hadar Carmel,0.0000,0.0000,,,,
TAXI,1→23,Hadar Carmel – Namal,0.0000,0.0000,,,,
TAXI,1→23,Namal – Neve Yosef,0.0000,0.0000,,,,
TAXI,1→23,Neve Yosef – Hamifrats,0.0000,0.0000,,,,
TAXI,1→23,Hamifrats – Hutzot,0.0000,0.0000,,,,
TAXI,1→23,Hutzot – Kiryat Ata Center,0.0000,0.0000,,,,
TAXI,1→23,Kiryat Ata Center – Kiryat Bialik South,0.0000,0.0000,,,,
TAXI,1→23,Kiryat Bialik South – Shefaram,0.0000,0.0000,,,,
TAXI,1→23,Shefaram – Nazareth Area,0.0000,0.0000,,,,
TAXI,23→1,TiratCarmel – Matam,0.0000,0.0000,,,0.9313,
TAXI,23→1,Matam – Neot Peres,0.0000,0.0000,,,0.9313,
TAXI,23→1,Neot Peres – Neve David,183.8944,1.0000,1.0000,6.5000,0.9313,0.0687
TAXI,23→1,Neve David – Ein Hayam,82.7090,1.0000,1.0000,7.7500,0.9313,0.0687
TAXI,23→1,Ein Hayam – Bat Galim,0.0000,0.0000,,,0.9313,
TAXI,23→1,Bat Galim – Kiryat Eliezer,255.6052,0.8933,0.9760,7.0000,0.9313,0.0447
TAXI,23→1,Kiryat Eliezer – Hamoshava,266.4463,1.2128,0.9363,7.0000,0.9313,0.0050
TAXI,23→1,Hamoshava – Lower City,362.3079,2.5168,0.9532,7.7500,0.9313,0.0218
TAXI,23→1,Lower City – Hadar Carmel,362.3079,2.5168,0.9532,7.7500,0.9313,0.0218
TAXI,23→1,Hadar Carmel – Namal,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Namal – Neve Yosef,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Neve Yosef – Hamifrats,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Hamifrats – Hutzot,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Hutzot – Kiryat Ata Center,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Kiryat Ata Center – Kiryat Bialik South,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Kiryat Bialik South – Shefaram,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
TAXI,23→1,Shefaram – Nazareth Area,249.4812,0.7128,1.0000,7.0000,0.9313,0.0687
