TAZ_NUMBER,avg_boardings,avg_alightings
3104,7.25,2
3105,64.75,4.25
3106,135.75,34.25
3107,278.75,350
3108,71.75,20
3109,37.5,9.25
3110,121.5,89.75
3111,131.25,22.5
3201,10,34.25
3202,7.75,54.75
3203,31.25,31.25
3204,11.5,9.25
3205,210.25,126.25
3206,86.75,46
3207,405.75,410.75
3208,21.5,55.75
3209,66.25,87.75
3210,37.25,20.25
3211,7.5,2.25
3213,436,412.75
3215,142.5,131.25
3216,82.5,182.5
3301,4.25,1.5
3302,7,5.75
3303,14,1.75
3304,12.25,10
3305,24.25,32.25
3307,6.25,2.75
3308,19.75,6.25
3309,61,53.75
3310,51,139
3311,200.25,209.5
3312,40.25,166.75
3313,212.25,172
3314,713,1037
3315,211,325
3316,166.25,168
3317,163.5,35.25
3319,116,4.25
3320,32.25,0.25
3321,3.75,67.25
3322,40,14.5
3401,20,7
3402,17.5,1.25
3403,6,8.25
3404,81.5,10
3405,16.5,3.25
3406,13.5,8
3407,5.75,0.25
3408,28.5,1.5
3409,4,0
3411,10.25,1.25
3412,185,133.5
3413,17.5,28.25
3414,46,7.5
3415,151,121.5
3416,168.5,242.75
3417,46.75,34
3418,10.75,13.25
3419,1,24.5
3421,30.25,86.5
3422,19.25,8.5
3423,16,11.75
3424,68.25,2.75
3425,9.25,19.75
3426,55.5,2.75
3428,18.75,1.25
3501,14.25,8
3502,92.25,30.5
3503,10,1.75
3504,4.25,4
3505,25.5,16.75
3506,213.75,90.75
3508,188,43.25
3509,42.5,211.25
3510,24,18.75
3511,114.75,83.25
3512,80.25,61.25
3513,33.75,39.25
3514,415.25,176.5
3515,735,361.25
3516,1168,2516.25
3517,560.25,595.25
3518,272,160.5
3519,538.5,896.75
3520,1022.75,759.5
3521,800.5,396
3522,86.75,170.25
3523,106.25,303.75
3524,61.75,114
3526,45.75,41.75
3527,97,22.25
3528,78.5,45.75
3529,8.5,2
3530,53,233.5
3531,34.5,16.5
3532,65.5,29
3601,28.5,2.75
3602,21.75,17.25
3603,28,12.25
3604,52.5,25
3605,21.5,25.5
3606,19,1
3608,8.5,5.5
3609,1012.75,671.5
3610,83.5,376.5
3611,63.75,5
3612,899.5,750.25
3613,223.25,255.75
3614,466.75,186.25
3615,1773,1282.25
3616,32,146
3617,1186.5,2314
3618,336.5,130.5
3619,139.25,20.75
3620,47.5,21
3621,30.75,8
3622,18.25,22.5
3623,62.75,21.75
3624,15,16
3625,4.25,3
3626,12.25,6
3627,58,1.25
3628,20.75,12.25
3701,7.5,22
3703,5,2
3704,339.75,359
3705,31,51
3706,62.25,68.5
3707,163.25,114
3708,277,88.5
3709,288.25,147
3710,22,16
3711,6.25,0.5
3712,5,0
3713,3.25,0.25
3801,35.5,4.75
3802,26,19
3803,69,46
3804,74.75,7.75
3805,644.5,413
3806,142.25,391
3810,58.5,26.75
3814,19.75,5.25
3815,30.75,9.25
3816,132.5,114.75
3818,74.75,80
3820,92.75,44
3821,9.25,0.5
3822,157.75,9.25
3823,16.25,5.5
3824,10,1.25
3825,230.25,90
3826,306,82.25
3827,75.75,18.25
3828,185.5,99.5
3830,8.25,3.25
3901,6.75,3
3902,2.25,0
3903,96,21.75
3904,79.75,39.5
3905,11,123.25
3906,87,21
3907,2675.5,883.75
3908,33.5,20.25
