stop_code,lat,lon,TAZ_NUMBER
33317.000000,32.022572,34.777398,
31461.000000,32.023693,34.774573,
60312.000000,31.922386,35.049951,
32298.000000,32.097013,34.853018,
41440.000000,32.842812,35.067131,510.000000
38929.000000,32.192587,34.891972,
39830.000000,32.181056,34.897786,
50093.000000,33.005504,35.097344,106.000000
43009.000000,32.793242,35.034178,1219.000000
2591.000000,31.765000,35.206171,
13108.000000,31.784149,34.654684,
1053.000000,31.765390,35.206056,
25578.000000,32.064942,34.776104,
30136.000000,32.326889,34.858740,
39513.000000,32.320682,34.874438,
31019.000000,31.948498,34.887108,
33121.000000,31.959183,34.851951,
34029.000000,31.948030,34.892672,
26487.000000,32.074832,34.837276,
25663.000000,32.051239,34.791655,
21030.000000,32.065178,34.803052,
36179.000000,32.014335,34.758943,
25852.000000,32.090246,34.782604,
25625.000000,32.074469,34.781836,
20649.000000,32.070312,34.779325,
26255.000000,32.086969,34.805391,
28665.000000,32.082534,34.800724,
36174.000000,32.010780,34.758168,
26544.000000,32.092321,34.834218,
32271.000000,32.091101,34.872488,
17064.000000,31.908691,34.806351,
28581.000000,32.073491,34.787018,
26138.000000,32.079323,34.814189,
25942.000000,32.094067,34.792836,
60874.000000,31.766977,35.301248,
5100.000000,31.788746,35.202430,
50695.000000,32.908082,35.292322,329.000000
41714.000000,32.825021,35.079888,612.000000
41231.000000,32.795378,35.008895,1707.000000
2836.000000,31.783873,35.220946,
3592.000000,31.811855,35.201127,
5885.000000,31.785199,35.210057,
61442.000000,31.698949,35.098022,
61141.000000,31.698677,35.101031,
63724.000000,31.702376,35.109043,
1423.000000,31.802482,35.238056,
3850.000000,31.803953,35.236591,
4173.000000,31.782863,35.217585,
1904.000000,31.800923,35.226603,
37135.000000,32.175709,34.891979,
33196.000000,32.006547,34.764681,
34067.000000,32.012542,34.765012,
21586.000000,32.047971,34.768941,
34316.000000,31.967324,34.813064,
36114.000000,32.004110,34.746922,
2455.000000,31.804272,35.155437,
177.000000,31.792076,35.191927,
11304.000000,31.661310,34.576455,
15148.000000,31.660079,34.555714,
14931.000000,31.309339,34.612021,
10510.000000,31.315372,34.621357,
17012.000000,32.928339,35.082984,216.000000
17008.000000,32.793921,35.037079,1212.000000
50595.000000,32.686743,35.234074,2105.000000
32443.000000,32.076611,34.884008,
36103.000000,32.012439,34.742190,
36266.000000,32.016465,34.759400,
25439.000000,32.056141,34.779261,
26230.000000,32.077271,34.825261,
39297.000000,32.347980,34.857421,
5644.000000,31.768851,35.177767,
2323.000000,31.763712,35.150124,
39270.000000,32.330186,34.858976,
39184.000000,32.294995,34.849667,
39105.000000,32.275720,34.845201,
11358.000000,31.789500,34.652352,
11357.000000,31.789082,34.649729,
13299.000000,31.788062,34.660761,
32673.000000,32.092483,34.953663,
32427.000000,32.096695,34.902666,
38333.000000,32.077142,34.911968,
13190.000000,31.799420,34.644811,
13143.000000,31.788609,34.643073,
14781.000000,31.609237,34.761527,
15197.000000,31.604991,34.774567,
20217.000000,32.162615,34.833953,
32556.000000,32.077923,34.890628,
31496.000000,32.077219,34.885077,
32630.000000,32.098496,34.949713,
23026.000000,32.088541,34.815172,
32399.000000,32.090481,34.886549,
35288.000000,32.083543,34.896910,
3634.000000,31.796094,35.219439,
1716.000000,31.801195,35.227021,
47461.000000,32.829216,35.080298,612.000000
26020.000000,32.053444,34.801640,
36386.000000,32.017118,34.779397,
36274.000000,32.018508,34.765826,
33243.000000,32.022720,34.776843,
21206.000000,32.078598,34.788342,
39874.000000,32.013642,34.775162,
20349.000000,32.081367,34.794199,
33344.000000,32.023502,34.767987,
56152.000000,32.941890,35.564425,3216.000000
39131.000000,32.296783,34.848266,
27224.000000,32.179859,34.817974,
24068.000000,32.083482,34.795008,
55463.000000,32.692525,35.310599,2009.000000
51120.000000,32.721456,35.337184,2001.000000
21729.000000,32.069472,34.783648,
36178.000000,32.013054,34.758810,
26707.000000,32.117935,34.817920,
36101.000000,32.011267,34.740164,
26019.000000,32.055144,34.800093,
25673.000000,32.048129,34.799102,
25203.000000,32.035768,34.748487,
21543.000000,32.073290,34.774835,
36238.000000,32.015560,34.754091,
25384.000000,32.059500,34.767013,
1171.000000,31.792065,35.220651,
4115.000000,31.788857,35.216822,
121.000000,31.796033,35.206094,
117.000000,31.799165,35.206918,
5376.000000,31.748940,34.994542,
5443.000000,31.767298,34.997537,
2853.000000,31.835187,35.233899,
3523.000000,31.783775,35.213079,
33767.000000,32.014378,34.786421,
38141.000000,32.098819,34.870791,
36341.000000,32.011968,34.791429,
25206.000000,32.032586,34.751588,
21544.000000,32.076736,34.787868,
39771.000000,32.004839,34.776296,
25402.000000,32.059067,34.774542,
3505.000000,31.757940,35.184193,
1047.000000,31.763984,35.219880,
31682.000000,31.968785,34.803875,
37623.000000,31.963819,34.800335,
33311.000000,32.022484,34.781167,
20150.000000,32.095152,34.830981,
25886.000000,32.085700,34.788878,
21237.000000,32.065676,34.785302,
34318.000000,31.969303,34.808320,
36320.000000,31.998570,34.767241,
36070.000000,31.969004,34.810124,
4156.000000,31.788603,35.202593,
1620.000000,31.758461,35.207363,
11513.000000,31.813465,34.641582,
11003.000000,31.800836,34.641915,
3637.000000,31.800347,35.233288,
11271.000000,31.794133,34.651645,
12073.000000,31.659233,34.603460,
25823.000000,32.082914,34.781176,
11919.000000,31.648091,34.564935,
