pair,car GC,bus GC (partial),Metronit GC (partial),LRT underground GC (partial),LRT ground GC (partial),LRT design 50 km/h GC (partial),transit 2022 trips,car 2022 trips,LRT ug − bus,LRT ug − car
BatGalim-KiryatEliezer → TiratCarmel,22.2,49.7,,64.9,79.4,56.8,94.0,335.1,15.1,42.7
BatGalim-KiryatEliezer → Matam-NeotPeres,17.7,27.4,29.6,47.1,56.9,41.6,243.6,356.5,19.7,29.5
BatGalim-KiryatEliezer → HofCarmel-NeveDavid,13.6,26.0,27.6,42.7,49.3,39.0,29.1,22.7,16.7,29.1
BatGalim-KiryatEliezer → Hecht-Shprintzak,8.4,18.4,20.0,40.5,45.5,37.4,41.2,354.2,22.1,32.1
BatGalim-KiryatEliezer → EinHayam,10.2,13.8,15.4,39.3,42.7,37.5,10.0,0.0,25.6,29.1
BatGalim-KiryatEliezer → Hamoshava,7.9,12.7,14.7,28.9,30.7,27.7,39.1,309.6,16.2,21.0
BatGalim-KiryatEliezer → LowerCity,10.6,16.7,18.5,35.7,39.2,33.3,136.5,309.4,19.0,25.1
BatGalim-KiryatEliezer → Namal-Giborim,14.8,24.8,25.9,46.4,52.3,42.7,50.2,45.7,21.6,31.6
BatGalim-KiryatEliezer → Hamifrats,20.5,41.1,42.2,58.4,67.8,52.9,66.5,186.3,17.3,37.9
Hamoshava → TiratCarmel,20.0,51.7,,64.1,80.4,54.8,10.8,0.0,12.4,44.1
Hamoshava → Matam-NeotPeres,15.4,28.0,31.1,46.4,58.0,39.5,50.0,265.2,18.4,30.9
Hamoshava → HofCarmel-NeveDavid,12.8,27.0,29.1,41.9,50.3,37.0,6.1,0.0,14.9,29.1
Hamoshava → Hecht-Shprintzak,12.2,19.4,21.6,39.7,46.6,35.4,8.6,0.0,20.3,27.5
Hamoshava → EinHayam,11.9,15.0,17.0,38.5,43.7,35.4,2.1,0.0,23.6,26.6
Hamoshava → BatGalim-KiryatEliezer,10.1,10.6,12.9,32.9,34.7,31.6,48.6,1688.5,22.3,22.7
Hamoshava → LowerCity,8.6,11.3,13.2,29.2,30.8,27.9,93.3,68.4,17.8,20.6
Hamoshava → Namal-Giborim,12.3,19.6,20.6,39.8,43.9,37.3,31.3,23.9,20.2,27.5
Hamoshava → Hamifrats,15.9,36.3,36.9,51.9,59.4,47.5,23.0,161.5,15.5,36.0
LowerCity → TiratCarmel,19.9,53.4,,68.4,86.4,57.9,13.7,31.3,15.1,48.5
LowerCity → Matam-NeotPeres,16.1,33.0,37.2,50.7,64.0,42.7,63.1,4.3,17.7,34.6
LowerCity → HofCarmel-NeveDavid,14.1,30.7,35.2,46.2,56.4,40.1,7.7,0.0,15.5,32.1
LowerCity → Hecht-Shprintzak,13.8,23.2,27.6,44.0,52.6,38.5,10.9,0.0,20.8,30.2
LowerCity → EinHayam,13.8,18.8,23.0,42.9,49.7,38.5,2.6,2.6,24.0,29.0
LowerCity → BatGalim-KiryatEliezer,12.1,14.2,18.8,37.2,40.7,34.7,61.3,22.4,23.0,25.0
LowerCity → Hamoshava,7.1,11.4,15.4,26.7,28.4,25.5,33.8,419.8,15.3,19.6
LowerCity → Namal-Giborim,9.6,15.7,17.0,38.7,41.2,37.5,39.5,59.5,23.1,29.1
LowerCity → Hamifrats,18.0,32.7,33.3,50.8,56.6,47.7,29.0,30.2,18.1,32.8
Namal-Giborim → TiratCarmel,30.7,53.1,,74.2,94.6,62.4,21.5,111.4,21.1,43.5
Namal-Giborim → Matam-NeotPeres,16.6,38.4,40.8,56.5,72.2,47.2,66.2,11.4,18.1,39.9
Namal-Giborim → HofCarmel-NeveDavid,16.4,36.6,38.8,52.0,64.6,44.6,8.0,0.0,15.5,35.7
Namal-Giborim → Hecht-Shprintzak,16.8,27.1,31.3,49.8,60.8,43.0,11.3,0.0,22.7,33.0
Namal-Giborim → EinHayam,17.1,23.1,26.7,48.7,57.9,43.1,2.7,4.0,25.6,31.5
Namal-Giborim → BatGalim-KiryatEliezer,14.5,21.0,22.4,43.0,48.9,39.3,63.5,0.0,22.0,28.5
Namal-Giborim → Hamoshava,12.4,17.8,19.1,32.5,36.6,30.0,31.5,0.0,14.7,20.1
Namal-Giborim → LowerCity,10.2,11.9,13.3,33.9,36.3,32.6,109.9,94.9,22.0,23.7
Namal-Giborim → Hamifrats,11.7,24.4,25.1,48.8,52.2,46.9,29.8,16.3,24.4,37.1
Hamifrats → TiratCarmel,20.3,61.0,,88.5,112.3,74.8,28.4,0.0,27.5,68.2
Hamifrats → Matam-NeotPeres,22.1,52.7,32.1,70.7,89.9,59.6,105.5,81.5,18.1,48.7
Hamifrats → HofCarmel-NeveDavid,21.0,51.7,55.3,66.3,82.2,57.0,12.8,0.0,14.6,45.3
Hamifrats → Hecht-Shprintzak,21.9,44.8,47.8,64.1,78.5,55.4,18.1,3.4,19.2,42.1
Hamifrats → EinHayam,22.1,43.2,43.2,62.9,75.6,55.5,4.4,0.0,19.7,40.9
Hamifrats → BatGalim-KiryatEliezer,20.1,37.4,38.9,57.2,66.6,51.7,100.9,243.5,19.8,37.2
Hamifrats → Hamoshava,17.4,34.6,35.6,46.7,54.2,42.4,28.3,0.0,12.1,29.3
Hamifrats → LowerCity,15.3,28.9,29.8,48.1,53.9,45.0,98.6,5.4,19.3,32.8
Hamifrats → Namal-Giborim,12.0,24.4,25.3,51.0,54.4,49.1,31.1,3.2,26.6,38.9
