scenario,case,λ,λ_T,LRT premium,LRT trips 06–09,of which from bus,of which from car,bus trips after,car trips after,transit share before,transit share after,LRT share of transit,LRT trips on trunk pairs,trunk pairs P_LRT|T (trip-wtd),headway_min,bus_competition
LRT design 50 km/h + accel/braking,premium 10 (λ central),0.03,0.06,10.0,4777,4255,523,10744,55057,0.2003,0.2199,0.308,1995,0.383,7.5,full
LRT mixed (Haifa core underground),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3137,2917,220,11845,55596,0.2003,0.2123,0.209,1305,0.262,7.5,full
LRT mixed (Haifa core underground),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5197,4514,683,10976,54405,0.2003,0.2292,0.321,2003,0.372,7.5,full
LRT mixed (Haifa core underground),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,1871,1780,91,12712,55995,0.2003,0.2066,0.128,751,0.156,7.5,full
LRT mixed (Haifa core underground),"no premium (λ central, premium 0)",0.03,0.06,0.0,2470,2334,136,12312,55796,0.2003,0.2094,0.167,1020,0.209,7.5,full
LRT mixed (Haifa core underground),premium 10 (λ central),0.03,0.06,10.0,3936,3589,348,11300,55342,0.2003,0.2159,0.258,1647,0.324,7.5,full
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3410,3144,265,11658,55511,0.2003,0.2135,0.226,1406,0.281,10.0,full
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5396,4658,739,10864,54318,0.2003,0.2304,0.332,2075,0.384,10.0,full
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2184,2054,131,12489,55905,0.2003,0.2079,0.149,860,0.178,10.0,full
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,2698,2532,166,12151,55729,0.2003,0.2104,0.182,1104,0.225,10.0,full
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,4254,3841,414,11088,55236,0.2003,0.2174,0.277,1767,0.345,10.0,full
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,2528,2383,145,12275,55775,0.2003,0.2097,0.171,938,0.193,10.0,full
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,4696,4135,561,11265,54617,0.2003,0.2261,0.294,1712,0.325,10.0,full
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,1301,1253,48,13135,56142,0.2003,0.2045,0.09,423,0.09,10.0,full
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,1971,1883,88,12671,55936,0.2003,0.2075,0.135,723,0.151,10.0,full
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,3206,2972,234,11804,55568,0.2003,0.2127,0.214,1203,0.243,10.0,full
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4144,3736,407,11160,55275,0.2003,0.2168,0.271,1785,0.346,10.0,full
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5897,5012,886,10581,54100,0.2003,0.2335,0.358,2319,0.42,10.0,full
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,3117,2830,287,11840,55621,0.2003,0.2119,0.208,1350,0.266,10.0,full
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,3324,3062,263,11714,55540,0.2003,0.2131,0.221,1425,0.283,10.0,full
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,5095,4481,614,10537,54947,0.2003,0.2215,0.326,2202,0.415,10.0,full
LRT design 50 km/h + accel/braking,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3449,3177,272,11631,55498,0.2003,0.2137,0.229,1426,0.285,10.0,full
LRT design 50 km/h + accel/braking,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5425,4678,747,10848,54305,0.2003,0.2306,0.333,2089,0.386,10.0,full
LRT design 50 km/h + accel/braking,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2230,2093,136,12457,55891,0.2003,0.2081,0.152,883,0.182,10.0,full
LRT design 50 km/h + accel/braking,"no premium (λ central, premium 0)",0.03,0.06,0.0,2731,2561,170,12128,55719,0.2003,0.2105,0.184,1121,0.228,10.0,full
LRT design 50 km/h + accel/braking,premium 10 (λ central),0.03,0.06,10.0,4300,3877,423,11058,55220,0.2003,0.2176,0.28,1791,0.349,10.0,full
LRT mixed (Haifa core underground),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,2788,2614,173,12088,55702,0.2003,0.2108,0.187,1156,0.235,10.0,full
LRT mixed (Haifa core underground),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,4907,4296,610,11139,54533,0.2003,0.2273,0.306,1893,0.355,10.0,full
LRT mixed (Haifa core underground),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,1526,1466,60,12965,56087,0.2003,0.2053,0.105,602,0.127,10.0,full
LRT mixed (Haifa core underground),"no premium (λ central, premium 0)",0.03,0.06,0.0,2182,2076,106,12517,55880,0.2003,0.2083,0.148,898,0.186,10.0,full
LRT mixed (Haifa core underground),premium 10 (λ central),0.03,0.06,10.0,3520,3242,277,11582,55476,0.2003,0.214,0.233,1468,0.292,10.0,full
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5754,4890,864,10165,54659,0.2003,0.2256,0.361,3266,0.574,5.0,truncated
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6901,5652,1249,10061,53617,0.2003,0.2403,0.407,3185,0.537,5.0,truncated
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5511,4545,966,10356,54711,0.2003,0.2248,0.347,3642,0.622,5.0,truncated
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,4737,4144,593,10811,55031,0.2003,0.2203,0.305,2733,0.5,5.0,truncated
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,6885,5667,1218,9477,54216,0.2003,0.2318,0.421,3835,0.646,5.0,truncated
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5270,4488,782,10501,54807,0.2003,0.2234,0.334,3266,0.574,5.0,truncated
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6535,5383,1151,10267,53777,0.2003,0.2381,0.389,3185,0.537,5.0,truncated
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4931,4056,875,10773,54874,0.2003,0.2225,0.314,3642,0.622,5.0,truncated
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,4324,3786,537,11106,55149,0.2003,0.2186,0.28,2733,0.5,5.0,truncated
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,6329,5226,1103,9850,54399,0.2003,0.2292,0.391,3835,0.646,5.0,truncated
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,6159,5209,950,9891,54528,0.2003,0.2274,0.384,3266,0.574,5.0,truncated
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,7177,5848,1330,9905,53496,0.2003,0.242,0.42,3185,0.537,5.0,truncated
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,6053,4967,1086,9986,54539,0.2003,0.2273,0.377,3642,0.622,5.0,truncated
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,5092,4438,654,10561,54925,0.2003,0.2218,0.325,2733,0.5,5.0,truncated
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,7338,6004,1334,9184,54057,0.2003,0.2341,0.444,3835,0.646,5.0,truncated
LRT design 50 km/h + accel/braking,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5776,4908,868,10150,54652,0.2003,0.2257,0.363,3266,0.574,5.0,truncated
LRT design 50 km/h + accel/braking,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6916,5663,1253,10052,53610,0.2003,0.2404,0.408,3185,0.537,5.0,truncated
LRT design 50 km/h + accel/braking,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5539,4568,971,10337,54702,0.2003,0.2249,0.349,3642,0.622,5.0,truncated
LRT design 50 km/h + accel/braking,"no premium (λ central, premium 0)",0.03,0.06,0.0,4756,4160,596,10797,55025,0.2003,0.2204,0.306,2733,0.5,5.0,truncated
LRT design 50 km/h + accel/braking,premium 10 (λ central),0.03,0.06,10.0,6910,5686,1224,9461,54207,0.2003,0.232,0.422,3835,0.646,5.0,truncated
LRT mixed (Haifa core underground),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5318,4531,786,10461,54799,0.2003,0.2236,0.337,3266,0.574,5.0,truncated
LRT mixed (Haifa core underground),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6567,5410,1157,10243,53768,0.2003,0.2382,0.391,3185,0.537,5.0,truncated
LRT mixed (Haifa core underground),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4990,4111,878,10722,54866,0.2003,0.2226,0.318,3642,0.622,5.0,truncated
LRT mixed (Haifa core underground),"no premium (λ central, premium 0)",0.03,0.06,0.0,4365,3825,540,11070,55142,0.2003,0.2187,0.283,2733,0.5,5.0,truncated
LRT mixed (Haifa core underground),premium 10 (λ central),0.03,0.06,10.0,6383,5274,1109,9806,54389,0.2003,0.2294,0.394,3835,0.646,5.0,truncated
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5502,4681,821,10336,54739,0.2003,0.2244,0.347,3266,0.574,7.5,truncated
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6699,5504,1195,10170,53708,0.2003,0.239,0.397,3185,0.537,7.5,truncated
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5223,4305,918,10560,54796,0.2003,0.2236,0.331,3642,0.622,7.5,truncated
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,4523,3959,564,10961,55094,0.2003,0.2194,0.292,2733,0.5,7.5,truncated
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,6594,5436,1158,9669,54315,0.2003,0.2304,0.405,3835,0.646,7.5,truncated
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5054,4300,754,10652,54872,0.2003,0.2225,0.322,3266,0.574,7.5,truncated
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6348,5242,1106,10371,53860,0.2003,0.2369,0.38,3185,0.537,7.5,truncated
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4710,3859,851,10937,54931,0.2003,0.2217,0.301,3642,0.622,7.5,truncated
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,4144,3625,519,11235,55199,0.2003,0.2179,0.269,2733,0.5,7.5,truncated
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,6074,5013,1061,10023,54481,0.2003,0.2281,0.377,3835,0.646,7.5,truncated
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5883,4988,894,10074,54621,0.2003,0.2261,0.369,3266,0.574,7.5,truncated
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6967,5697,1270,10018,53594,0.2003,0.2406,0.41,3185,0.537,7.5,truncated
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5716,4705,1011,10212,54650,0.2003,0.2257,0.359,3642,0.622,7.5,truncated
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,4853,4239,615,10725,54999,0.2003,0.2207,0.312,2733,0.5,7.5,truncated
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,7023,5765,1258,9384,54171,0.2003,0.2325,0.428,3835,0.646,7.5,truncated
LRT design 50 km/h + accel/braking,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5523,4698,825,10322,54733,0.2003,0.2245,0.349,3266,0.574,7.5,truncated
LRT design 50 km/h + accel/braking,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6715,5516,1199,10162,53702,0.2003,0.2391,0.398,3185,0.537,7.5,truncated
LRT design 50 km/h + accel/braking,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5248,4326,922,10542,54789,0.2003,0.2237,0.332,3642,0.622,7.5,truncated
LRT design 50 km/h + accel/braking,"no premium (λ central, premium 0)",0.03,0.06,0.0,4541,3974,566,10948,55089,0.2003,0.2195,0.293,2733,0.5,7.5,truncated
LRT design 50 km/h + accel/braking,premium 10 (λ central),0.03,0.06,10.0,6618,5454,1163,9653,54307,0.2003,0.2305,0.407,3835,0.646,7.5,truncated
LRT mixed (Haifa core underground),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5099,4342,757,10615,54865,0.2003,0.2226,0.324,3266,0.574,7.5,truncated
LRT mixed (Haifa core underground),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6379,5268,1111,10348,53851,0.2003,0.237,0.381,3185,0.537,7.5,truncated
LRT mixed (Haifa core underground),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4762,3909,853,10891,54925,0.2003,0.2218,0.304,3642,0.622,7.5,truncated
LRT mixed (Haifa core underground),"no premium (λ central, premium 0)",0.03,0.06,0.0,4183,3662,521,11202,55194,0.2003,0.218,0.272,2733,0.5,7.5,truncated
LRT mixed (Haifa core underground),premium 10 (λ central),0.03,0.06,10.0,6125,5059,1066,9982,54472,0.2003,0.2282,0.38,3835,0.646,7.5,truncated
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5270,4484,786,10497,54811,0.2003,0.2234,0.334,3266,0.574,10.0,truncated
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6506,5360,1146,10277,53795,0.2003,0.2378,0.388,3185,0.537,10.0,truncated
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4967,4085,882,10745,54866,0.2003,0.2226,0.316,3642,0.622,10.0,truncated
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,4327,3787,540,11100,55151,0.2003,0.2186,0.28,2733,0.5,10.0,truncated
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,6323,5215,1108,9850,54405,0.2003,0.2292,0.391,3835,0.646,10.0,truncated
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4857,4126,731,10792,54929,0.2003,0.2217,0.31,3266,0.574,10.0,truncated
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6169,5104,1065,10471,53938,0.2003,0.2358,0.371,3185,0.537,10.0,truncated
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4520,3686,834,11081,54977,0.2003,0.221,0.29,3642,0.622,10.0,truncated
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,3981,3478,504,11353,55244,0.2003,0.2173,0.26,2733,0.5,10.0,truncated
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,5839,4813,1026,10186,54553,0.2003,0.2271,0.364,3835,0.646,10.0,truncated
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5625,4778,847,10248,54705,0.2003,0.2249,0.354,3266,0.574,10.0,truncated
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6764,5550,1214,10128,53686,0.2003,0.2393,0.4,3185,0.537,10.0,truncated
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,5410,4458,952,10424,54744,0.2003,0.2243,0.342,3642,0.622,10.0,truncated
