TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
323,3,False,3865.0920,3990.0000,1574.6083,1751.0000,2150.9215,2235.9473,2304.3183,2480.9788,2020.0216,2099.8729,own rate (multiplicative),2334.5446,2431.2696,own rate (multiplicative),384.7711,399.9811,18.6161,19.9856,126.7075,131.7162,0.0000,0.0000
324,3,False,3653.0940,3742.0000,392.4352,460.0000,1897.4844,1950.8353,1285.6729,1364.2001,1899.3741,1952.7781,own rate (multiplicative),530.4823,544.4636,own rate (multiplicative),383.3701,394.1492,2.4713,2.6147,119.1397,122.4895,0.0000,0.0000
325,3,False,2708.7766,2768.0000,350.4360,387.0000,1414.3369,1448.8321,1001.7314,1047.1663,1749.1460,1791.8070,own rate (multiplicative),633.3419,640.4024,own rate (multiplicative),99.7181,102.1502,100.3915,104.6428,0.0000,0.0000,0.0000,0.0000
326,3,False,2969.1222,3035.0000,734.4286,876.0000,1593.5759,1644.4198,1383.2490,1515.9455,1917.6640,1978.8482,own rate (multiplicative),1466.0235,1554.0841,own rate (multiplicative),258.7752,267.0316,274.1566,299.5917,0.0000,0.0000,0.0000,0.0000
327,3,False,4267.9742,4405.0000,3664.4547,4144.0000,2613.1763,2741.8103,4112.5153,4539.2218,2774.3529,2910.9208,own rate (multiplicative),7059.4610,7536.9527,own rate (multiplicative),196.9128,206.6058,1051.1041,1156.8242,0.0000,0.0000,0.0000,0.0000
328,3,False,4264.3272,4358.0000,1564.9399,1671.0000,2351.7947,2412.3170,2402.0317,2513.1642,2753.8051,2824.6729,own rate (multiplicative),2901.6088,2936.5092,own rate (multiplicative),162.3238,166.5011,528.2812,551.1312,0.0000,0.0000,0.0000,0.0000
329,3,False,2081.0686,2127.0000,159.5228,186.0000,1073.0293,1099.5501,680.2712,713.9777,295.9789,303.2942,own rate (multiplicative),179.2433,181.9683,own rate (multiplicative),84.0903,86.1686,35.0347,36.6647,0.0000,0.0000,121.1726,127.2053
330,3,False,4553.6774,4654.0000,345.6624,415.0000,2347.5227,2406.8712,1485.7658,1568.7560,647.6261,663.9990,own rate (multiplicative),380.8926,389.0075,own rate (multiplicative),153.3633,157.2405,73.1628,77.0271,0.0000,0.0000,257.4919,271.9360
331,3,False,4973.5521,5100.0000,927.5959,992.0000,2631.9744,2703.9361,2070.6465,2156.5289,2381.2342,2446.3402,own rate (multiplicative),2434.5383,2452.5411,own rate (multiplicative),70.0941,72.0106,44.2514,45.9541,0.0000,0.0000,0.0000,0.0000
332,3,False,5617.4980,5742.0000,815.1839,902.0000,2944.0044,3017.7517,2149.4201,2253.0368,2683.8376,2751.0677,own rate (multiplicative),2188.6655,2219.0992,own rate (multiplicative),93.4664,95.8078,1.0658,1.1139,0.0000,0.0000,0.0000,0.0000
333,3,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
334,3,False,6275.4051,6669.0000,1397.9335,1577.0000,3349.0345,3570.3838,2797.9178,3047.8159,3135.7172,3342.9677,own rate (multiplicative),2814.0061,2965.0307,own rate (multiplicative),31.0584,33.1112,3.8794,4.2137,0.0000,0.0000,0.0000,0.0000
335,3,False,4343.3576,4617.0000,1028.5014,1179.0000,2325.4822,2482.5874,1986.1406,2181.0536,2170.6892,2317.3369,own rate (multiplicative),2092.5962,2222.7578,own rate (multiplicative),34.4353,36.7617,0.8418,0.9217,0.0000,0.0000,0.0000,0.0000
336,3,False,6499.9504,6907.0000,1217.6051,1301.0000,3440.3940,3656.7266,2710.4719,2886.0282,7440.3885,7908.2416,own rate (multiplicative),6117.2563,6300.3215,own rate (multiplicative),154.3194,164.0231,205.9549,218.6632,0.0000,0.0000,0.0000,0.0000
337,3,False,3748.3216,3984.0000,531.6304,652.0000,1962.8896,2097.0554,1424.1967,1584.5369,783.1326,836.6606,own rate (multiplicative),819.4473,881.8685,own rate (multiplicative),1.2659,1.3524,0.1887,0.2093,0.0000,0.0000,0.0000,0.0000
338,3,False,5556.0816,5905.0000,736.9609,826.0000,2903.2495,3090.8574,2069.4846,2234.2628,1160.7673,1235.7761,own rate (multiplicative),1290.8101,1347.9841,own rate (multiplicative),3.7037,3.9430,0.3907,0.4206,0.0000,0.0000,0.0000,0.0000
401,4,False,7528.8103,8002.0000,741.4787,873.0000,3902.2826,4158.0406,2594.8912,2827.1263,3341.9458,3560.9790,own rate (multiplicative),2160.6695,2277.0091,own rate (multiplicative),32.6766,34.8182,0.6987,0.7591,0.0000,0.0000,0.0000,0.0000
402,4,False,7418.5401,7885.0000,550.7044,629.0000,3822.8876,4068.6598,2410.3911,2597.5076,2322.4630,2471.7733,own rate (multiplicative),665.4120,693.6020,own rate (multiplicative),20.3937,21.7048,8.4293,9.0576,0.0000,0.0000,0.0000,0.0000
403,4,False,7136.6715,7391.0000,446.3122,413.0000,3667.3184,3791.9259,2250.8444,2290.9824,2875.7788,2973.4915,own rate (multiplicative),654.8599,644.7258,own rate (multiplicative),163.8673,169.4352,6.3160,6.4101,0.0000,0.0000,0.0000,0.0000
404,4,False,5244.4220,5575.0000,1359.2650,1460.0000,2822.4339,3002.2048,2493.7679,2663.2188,2396.8923,2549.5589,own rate (multiplicative),1867.0511,1928.6676,own rate (multiplicative),126.7475,134.8205,39.8842,42.4717,0.0000,0.0000,0.0000,0.0000
405,4,False,7358.8880,7502.0000,1194.1885,1222.0000,3872.2410,3948.1135,2918.5684,2979.0627,3246.4129,3310.0230,own rate (multiplicative),1183.1525,1168.1560,own rate (multiplicative),83.2912,84.9232,24.1247,24.5538,0.0000,0.0000,0.0000,0.0000
406,4,False,7357.8879,7501.0000,1305.8513,1528.0000,3885.5382,3985.4341,3009.2248,3227.9571,3060.3999,3139.0818,own rate (multiplicative),1641.1071,1702.7874,own rate (multiplicative),148.8274,152.6537,43.1462,46.1491,0.0000,0.0000,0.0000,0.0000
407,4,False,7722.0330,7873.0000,2635.8066,3127.0000,4234.2512,4371.3813,4188.4395,4628.3175,3212.0731,3316.0990,own rate (multiplicative),3343.0755,3573.2832,own rate (multiplicative),157.7422,162.8508,64.7875,71.3855,0.0000,0.0000,0.0000,0.0000
408,4,True,3014.6037,3075.0000,1996.2763,2167.0000,1772.5816,1824.2549,2422.7305,2577.7144,1254.3577,1290.9240,own rate (multiplicative),2386.3582,2455.9284,own rate (multiplicative),69.1047,71.1192,47.3674,50.2524,0.0000,0.0000,0.0000,0.0000
