home_2636,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
2016,26,7235.64,4611.22,0.637292,26,7235.64,3466.35,0.479066,0.558179
2017,45,10373.1,9067.84,0.874165,45,10373.1,8650.89,0.833971,0.854068
2018,6,2100,1400,0.666667,6,2100,1400,0.666667,0.666667
2019,5,1376.44,350,0.254279,5,1376.44,676.443,0.491443,0.372861
2020,42,5563.56,3497.62,0.628665,45,6092.81,3445.93,0.565573,0.597119
2021,64,5346.69,4214.81,0.788302,60,4621.82,3889.41,0.841531,0.814917
2023,21,6376.42,5662.39,0.88802,22,6572.04,4635.73,0.705372,0.796696
2024,31,6545.64,4802.65,0.733718,31,6545.64,4951.93,0.756524,0.745121
2027,23,5415.15,3193.63,0.589758,22,5119.66,2696.95,0.526783,0.55827
2028,22,6712.17,7522.46,1.12072,22,6712.17,6559.28,0.977222,1.04897
2029,41,7880.81,6343.24,0.804897,40,7799.49,7099.7,0.910277,0.857587
2031,33,8087.59,7107.44,0.878809,32,7815.06,6190.1,0.792074,0.835441
2032,58,6592.08,6266.8,0.950655,59,6664.23,5612.02,0.842112,0.896383
2033,23,6657.44,4532.5,0.680817,23,6657.44,4189.48,0.629293,0.655055
2036,33,8156.3,5456.62,0.669006,33,8156.3,3622.1,0.444086,0.556546
2038,67,5817.99,7314.04,1.25714,67,5817.99,6967.09,1.19751,1.22733
2040,50,7191.95,9268.92,1.28879,50,7191.95,6897.63,0.959076,1.12393
2041,27,5682.15,6881.86,1.21114,27,5682.15,6571.31,1.15648,1.18381
2042,6,1672.86,1560.86,0.933049,6,1672.86,1560.86,0.933049,0.933049
2043,4,633.571,214.618,0.338744,4,633.571,209.476,0.330628,0.334686
2045,16,3919.8,3546.39,0.904738,15,3722.26,2886.2,0.775389,0.840063
2046,81,8412.81,6835.55,0.812516,79,8275.94,6662.18,0.805006,0.808761
2047,27,6446.48,3542,0.549447,26,6280.13,2696.03,0.429295,0.489371
2048,11,2118.66,1247.46,0.588799,9,1848.59,1020.56,0.552075,0.570437
2049,17,5096.07,5676.69,1.11394,16,4811.43,3967.05,0.824504,0.96922
2050,23,4288.34,4422.46,1.03128,23,4284.68,4104.24,0.957887,0.994581
2051,31,3252.87,2825.4,0.868589,29,3117.24,2273.58,0.729359,0.798974
2052,43,1336.26,913.786,0.683839,39,1233.59,847.953,0.687388,0.685614
2053,69,11521.8,8679.35,0.753298,68,11342.5,9405.94,0.829265,0.791282
2054,39,7603.96,4558.42,0.599479,38,7453.08,5716.44,0.76699,0.683234
2055,35,4902.1,4314.96,0.880227,33,4627.58,3814.95,0.824395,0.852311
2056,7,1918.44,1448.69,0.755142,9,2318.24,2178.36,0.939662,0.847402
2057,17,5700.81,1626.41,0.285295,17,5700.81,1976.41,0.34669,0.315993
2060,7,1622.74,252.958,0.155883,5,1166.15,0,0,0.0779414
2061,55,14685.7,12217,0.831897,56,15012.1,13433.9,0.894868,0.863383
2062,51,11220.1,6555.63,0.584275,52,11352.2,6482.74,0.571055,0.577665
2065,20,6866.78,6650,0.968431,18,6166.78,6300,1.0216,0.995017
2066,89,6733.84,5993.49,0.890056,89,6788.08,5367.45,0.790717,0.840387
2067,69,5435.14,3381.31,0.62212,66,5091.82,3808.52,0.747969,0.685044
2068,21,6109.21,6069.17,0.993446,19,5515.22,6457.18,1.17079,1.08212
2070,15,4457.42,6766.36,1.518,14,4260.24,5950,1.39664,1.45732
2071,5,138.713,55.4854,0.4,5,138.713,55.4854,0.4,0.4
2072,11,3468.76,3468.88,1.00003,12,3818.76,3252.1,0.851611,0.925822
2073,9,3067.44,3376.16,1.10064,10,3202.12,3160.84,0.987108,1.04388
2074,19,4396.3,1128.26,0.256638,19,4396.3,1478.26,0.336251,0.296444
2075,13,2970.18,3255.3,1.096,14,3171.99,3050.99,0.961854,1.02892
2076,25,6413.56,5567.43,0.868072,25,6267.66,6127.54,0.977644,0.922858
