TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
1808,18,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,7.8988,7.8988,3.2199,3.1463,0.0000,0.0000,0.0000,0.0000
1809,18,False,0.0000,0.0000,1180.0000,1199.0000,154.6709,157.1613,935.1122,950.1691,0.0000,3.0981,superzone rate on the increment,1198.6733,1157.5277,own rate (multiplicative),137.2213,137.6977,132.4455,131.5016,0.0000,0.0027,0.0000,0.0000
1810,18,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,superzone rate on the increment,0.0000,0.0000,superzone rate on the increment,1.7553,1.7553,69.6120,68.0206,0.0000,0.0000,0.0000,0.0000
1811,18,False,0.0000,3693.0000,147.9971,249.0000,19.3990,1868.1849,117.2829,1176.8531,0.0000,2299.8611,superzone rate on the increment,112.1572,1236.7858,superzone rate on the increment,4.3882,358.0353,52.0655,182.5191,0.0000,2.0171,0.0000,0.4409
1812,18,False,203.4475,210.0000,835.0000,848.0000,210.5696,215.5304,715.6730,727.7131,2299.8832,2306.0544,superzone rate on the increment,750.7028,725.4491,own rate (multiplicative),4.8790,5.8279,144.1881,143.2623,0.0000,0.0054,0.0000,0.0000
1813,18,False,0.0000,0.0000,1284.0000,1305.0000,168.3029,171.0555,1017.5288,1034.1707,0.0000,3.4242,superzone rate on the increment,1154.3740,1115.0271,own rate (multiplicative),11.8925,12.4191,110.5900,109.8293,0.0000,0.0030,0.0000,0.0000
1814,18,False,0.0000,0.0000,835.0000,848.0000,109.4493,111.1533,661.7107,672.0128,0.0000,2.1198,superzone rate on the increment,39.4860,38.1106,own rate (multiplicative),20.1258,20.4517,32.8127,32.5618,0.0000,0.0019,0.0000,0.0000
1815,18,False,0.0000,0.0000,880.5733,1046.0000,115.4229,137.1065,697.8262,828.9215,0.0000,26.9741,superzone rate on the increment,25.4279,28.7058,own rate (multiplicative),22.1668,26.3146,5.6732,6.5850,0.0000,0.0237,0.0000,0.0000
1816,18,False,1716.7097,2073.0000,1625.8136,1697.0000,1066.3699,1252.7892,1743.7440,1894.6591,971.5009,1141.3355,own rate (multiplicative),1585.9998,1637.7398,own rate (multiplicative),138.1324,162.2802,413.6694,439.1962,0.0000,0.0000,0.0000,0.0000
1817,18,False,3420.7093,3526.0000,253.1023,292.0000,1733.3849,1790.8165,1107.8819,1166.6343,3377.9986,3489.9207,own rate (multiplicative),1296.5463,1297.5458,own rate (multiplicative),272.6119,281.6443,33.0953,34.0537,0.0000,0.0000,0.0000,0.0000
1901,19,False,4624.6757,5526.0000,649.4764,862.0000,2383.7527,2859.5985,1741.3349,2148.8196,2484.2436,2980.1495,own rate (multiplicative),1742.5807,2043.6379,own rate (multiplicative),114.6259,137.5076,6.9558,8.3872,0.0000,0.0000,0.0000,0.0000
1902,19,False,7812.3981,8897.0000,624.2527,902.0000,3964.8530,4540.3433,2566.8550,3074.6399,10013.5982,11467.0517,own rate (multiplicative),6156.1015,7007.9674,own rate (multiplicative),896.1875,1026.2673,7.4526,8.7228,0.0000,0.0000,0.0000,0.0000
