scenario-year,LRT scenario,link,from_area,to_area,direction,transit_nobuild_3h_trunk_projection,car_nobuild_3h_trunk_projection,lrt_3h,lrt_3h_low,lrt_3h_high,lrt_peak_hour
BU_2040,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,down,2047.9,7079.4,401.7,594.8,252.0,183.5
BU_2040,LRT all ground,7,Hamoshava,LowerCity,up,1681.7,3831.7,389.6,612.5,229.6,214.1
BU_2040,LRT all ground,7,Hamoshava,LowerCity,down,2296.2,5223.0,539.0,718.0,396.9,246.2
BU_2040,LRT all ground,8,LowerCity,Namal-Giborim,up,1064.5,3119.1,242.1,371.5,151.3,133.0
BU_2040,LRT all ground,8,LowerCity,Namal-Giborim,down,3213.9,6159.2,882.5,1125.6,685.0,403.1
BU_2040,LRT all ground,9,Namal-Giborim,Hamifrats,up,3809.1,19355.9,560.7,1139.6,250.4,308.1
BU_2040,LRT all ground,9,Namal-Giborim,Hamifrats,down,8612.9,36983.8,1047.6,2092.0,567.9,478.5
BU_2040,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,up,2036.0,8102.4,1230.2,1329.8,1228.6,675.9
BU_2040,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,down,875.1,1491.6,475.1,524.4,455.3,217.0
BU_2040,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1626.4,4127.8,934.0,991.4,947.5,513.1
BU_2040,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2139.8,4456.4,1055.5,1212.3,952.9,482.2
BU_2040,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1637.4,4093.0,968.7,1034.0,974.4,532.2
BU_2040,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2085.1,4008.4,1087.1,1235.5,994.7,496.6
BU_2040,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,up,1914.9,4643.7,1162.8,1258.8,1145.7,638.8
BU_2040,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,down,1800.1,3746.7,1044.1,1158.4,984.2,476.9
BU_2040,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,up,2163.3,5662.7,1253.3,1376.4,1214.8,688.5
BU_2040,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,down,1649.8,3418.0,1001.9,1090.2,964.4,457.7
BU_2040,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,up,1638.4,5190.5,1055.9,1107.1,1079.1,580.1
BU_2040,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,down,2047.9,7079.4,1250.7,1341.8,1231.4,571.3
BU_2040,LRT design 50 km/h,7,Hamoshava,LowerCity,up,1681.7,3831.7,1073.3,1129.9,1090.6,589.7
BU_2040,LRT design 50 km/h,7,Hamoshava,LowerCity,down,2296.2,5223.0,1407.5,1470.2,1415.5,642.9
BU_2040,LRT design 50 km/h,8,LowerCity,Namal-Giborim,up,1064.5,3119.1,715.5,732.8,753.6,393.1
BU_2040,LRT design 50 km/h,8,LowerCity,Namal-Giborim,down,3213.9,6159.2,2023.9,2227.4,2002.7,924.5
BU_2040,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,up,3809.1,19355.9,1122.2,1627.7,857.0,616.5
BU_2040,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,down,8612.9,36983.8,2580.2,3604.2,2172.8,1178.7
