o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,gc_lrt_ug_with_premium,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,gc_lrt_d50,P_lrt_of_transit_d50,lrt_trips_d50,lrt_legs_ug,lrt_status_ug
201,102,TiratCarmel,Kiryon,0.0,5.99,34.9,75.8,,75.29,80.0,70.29,0.58,3.48,3.48,0.0,0.51,3.07,72.79,0.62,3.7,directLRT→brt,derived_feeder
201,103,TiratCarmel,KiryatBialik Center,0.0,7.42,32.2,75.45,,74.26,78.97,69.26,0.59,4.39,4.39,0.0,0.52,3.87,71.76,0.63,4.65,directLRT→brt,derived_feeder
201,104,TiratCarmel,KiryatHaim,0.0,11.19,29.48,72.05,,71.6,76.31,66.6,0.58,6.5,6.5,0.0,0.51,5.72,69.1,0.62,6.9,directLRT→brt,derived_feeder
201,301,TiratCarmel,SavyoneyYam,0.0,0.37,34.38,85.3,,110.8,115.51,105.8,0.23,0.08,0.08,0.0,0.18,0.07,108.3,0.25,0.09,directLRT→bus,assumed
201,302,TiratCarmel,KiryatYam A,0.0,0.54,32.43,83.93,,109.43,114.14,104.43,0.23,0.12,0.12,0.0,0.18,0.1,104.88,0.28,0.15,directLRT→bus,assumed
201,303,TiratCarmel,KiryatYam B+C,0.0,6.53,30.32,76.86,,100.73,107.07,95.73,0.24,1.59,1.59,0.0,0.18,1.18,92.88,0.34,2.22,directLRT→bus,derived_feeder
201,304,TiratCarmel,KiryatHaim West,0.0,5.18,28.13,71.58,,97.08,101.79,92.08,0.23,1.17,1.17,0.0,0.18,0.93,94.11,0.26,1.34,directLRT→bus,assumed
202,201,Matam-NeotPeres,TiratCarmel,102.07,36.89,11.12,22.6,,51.91,56.62,46.91,0.19,7.51,6.96,0.55,0.15,5.84,49.41,0.21,8.56,directLRT,derived
202,203,Matam-NeotPeres,HofCarmel-NeveDavid,112.26,11.34,11.5,23.3,26.81,39.98,43.16,34.98,0.33,4.49,3.76,0.73,0.29,3.84,38.12,0.36,4.92,directLRT,derived
202,204,Matam-NeotPeres,Hecht-Shprintzak,0.0,16.08,13.48,20.45,23.99,42.7,47.41,37.7,0.26,4.21,4.21,0.0,0.21,3.4,40.2,0.29,4.7,directLRT,derived
202,205,Matam-NeotPeres,EinHayam,142.51,3.9,22.69,18.34,22.21,47.0,53.43,42.0,0.19,0.84,0.76,0.08,0.14,0.59,43.28,0.23,1.03,directLRT,derived
202,206,Matam-NeotPeres,BatGalim-KiryatEliezer,24.99,90.17,16.47,28.99,27.3,52.16,61.95,47.16,0.25,23.66,22.69,0.97,0.16,14.56,46.57,0.32,30.46,directLRT,derived
202,207,Matam-NeotPeres,Hamoshava,27.04,15.11,15.33,34.9,30.94,47.44,59.04,42.44,0.39,6.92,5.88,1.05,0.24,3.99,40.62,0.49,9.21,directLRT,derived
202,208,Matam-NeotPeres,LowerCity,182.8,52.7,17.0,38.4,34.78,54.24,67.53,49.24,0.34,21.19,18.07,3.12,0.19,10.88,46.2,0.46,30.37,directLRT,derived
202,209,Matam-NeotPeres,Namal-Giborim,0.0,19.41,16.55,48.1,42.16,64.92,80.62,59.92,0.33,6.4,6.4,0.0,0.16,3.12,55.63,0.46,8.97,directLRT,derived
202,210,Matam-NeotPeres,Hamifrats,0.0,25.76,20.06,54.59,36.24,76.97,96.08,71.97,0.26,6.71,6.71,0.0,0.1,2.59,65.81,0.41,10.5,directLRT,derived
202,211,Matam-NeotPeres,Bazan-Hutsot,44.17,9.75,22.51,42.9,42.9,75.87,84.96,70.87,0.16,1.64,1.53,0.11,0.1,0.99,64.71,0.27,2.95,directLRT→brt,derived_feeder
202,212,Matam-NeotPeres,TsometKiryatAta,0.0,13.06,25.86,36.49,36.49,69.45,78.55,64.45,0.16,2.05,2.05,0.0,0.1,1.28,58.29,0.27,3.49,directLRT→brt,derived_feeder
202,213,Matam-NeotPeres,KiryatAta North,0.0,4.61,32.42,69.51,,81.53,96.8,76.53,0.4,1.82,1.82,0.0,0.21,0.96,70.37,0.56,2.59,directLRT→brt,derived_feeder
202,214,Matam-NeotPeres,KiryatAta North-East,0.0,1.19,37.72,87.29,,104.46,114.57,99.46,0.33,0.39,0.39,0.0,0.21,0.25,93.3,0.48,0.58,directLRT→bus,derived_feeder
202,215,Matam-NeotPeres,Shefaram,0.0,0.04,43.57,84.54,,99.39,111.83,94.39,0.36,0.02,0.02,0.0,0.21,0.01,88.23,0.52,0.02,directLRT→bus,derived_feeder
202,216,Matam-NeotPeres,Hamovil,0.0,0.03,55.49,102.86,,118.9,130.23,113.9,0.34,0.01,0.01,0.0,0.21,0.01,107.74,0.5,0.02,directLRT→bus,derived_feeder
202,217,Matam-NeotPeres,Nazareth,0.0,0.73,69.6,99.12,,108.85,126.49,103.85,0.43,0.31,0.31,0.0,0.21,0.15,97.69,0.6,0.44,directLRT→bus,derived_feeder
202,101,Matam-NeotPeres,TsurShalom,0.0,2.25,33.8,46.73,46.73,80.07,88.65,75.07,0.15,0.35,0.35,0.0,0.1,0.22,68.91,0.26,0.59,directLRT→brt,derived_feeder
202,102,Matam-NeotPeres,Kiryon,0.0,3.26,32.73,42.48,42.48,77.02,84.54,72.02,0.15,0.47,0.47,0.0,0.1,0.32,65.86,0.25,0.81,directLRT→brt,derived_feeder
202,103,Matam-NeotPeres,KiryatBialik Center,0.0,3.62,30.29,41.46,41.46,75.99,83.52,70.99,0.15,0.53,0.53,0.0,0.1,0.35,64.83,0.25,0.9,directLRT→brt,derived_feeder
202,104,Matam-NeotPeres,KiryatHaim,0.0,8.03,28.01,38.79,38.79,72.32,80.85,67.32,0.15,1.23,1.23,0.0,0.1,0.78,61.16,0.26,2.09,directLRT→brt,derived_feeder
202,301,Matam-NeotPeres,SavyoneyYam,0.0,0.06,31.6,78.0,,100.57,105.28,95.57,0.26,0.01,0.01,0.0,0.21,0.01,96.18,0.31,0.02,directLRT→bus,assumed
202,302,Matam-NeotPeres,KiryatYam A,0.0,0.08,29.77,76.62,,99.2,103.91,94.2,0.26,0.02,0.02,0.0,0.21,0.02,90.72,0.37,0.03,directLRT→bus,assumed
202,303,Matam-NeotPeres,KiryatYam B+C,0.0,5.08,27.78,69.55,,84.07,87.25,79.07,0.36,1.83,1.83,0.0,0.32,1.62,78.72,0.44,2.22,directLRT→bus,derived_feeder
202,304,Matam-NeotPeres,KiryatHaim West,0.0,4.02,26.21,64.27,,86.85,90.47,81.85,0.26,1.04,1.04,0.0,0.22,0.88,79.94,0.35,1.39,directLRT→bus,assumed
203,201,HofCarmel-NeveDavid,TiratCarmel,26.61,28.32,17.6,35.66,,53.04,60.93,48.04,0.32,10.15,9.13,1.02,0.23,6.95,48.68,0.38,12.31,directLRT,derived
203,202,HofCarmel-NeveDavid,Matam-NeotPeres,208.07,73.39,11.52,17.5,22.97,35.3,38.48,30.3,0.32,26.69,23.25,3.44,0.28,22.88,33.44,0.34,29.14,directLRT,derived
203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,69.14,12.41,8.5,13.13,18.15,33.58,35.11,28.58,0.28,4.04,3.52,0.52,0.27,3.74,32.94,0.29,4.17,directLRT,derived
203,205,HofCarmel-NeveDavid,EinHayam,24.94,3.01,10.47,12.42,16.36,37.89,41.12,32.89,0.23,0.76,0.68,0.08,0.19,0.64,36.02,0.25,0.84,directLRT,derived
203,206,HofCarmel-NeveDavid,BatGalim-KiryatEliezer,11.73,69.61,12.92,22.67,21.46,43.05,49.65,38.05,0.28,20.67,19.8,0.87,0.21,15.15,39.32,0.33,24.33,directLRT,derived
203,207,HofCarmel-NeveDavid,Hamoshava,0.0,11.79,12.82,27.15,25.09,38.32,46.73,33.32,0.41,4.82,4.82,0.0,0.29,3.47,33.37,0.48,5.68,directLRT,derived
203,208,HofCarmel-NeveDavid,LowerCity,0.0,41.12,14.15,30.86,28.93,45.12,55.23,40.12,0.36,14.99,14.99,0.0,0.24,9.8,38.95,0.45,18.66,directLRT,derived
203,209,HofCarmel-NeveDavid,Namal-Giborim,0.0,15.14,16.39,36.07,36.31,55.79,68.31,50.79,0.29,4.43,4.43,0.0,0.16,2.47,48.36,0.39,5.94,directLRT,derived
203,210,HofCarmel-NeveDavid,Hamifrats,22.85,20.03,20.51,49.51,52.65,67.85,83.78,62.85,0.31,6.93,6.21,0.72,0.15,3.1,58.56,0.44,10.42,directLRT,derived
203,211,HofCarmel-NeveDavid,Bazan-Hutsot,0.0,7.58,23.87,57.93,59.31,60.18,63.36,55.18,0.54,4.1,4.1,0.0,0.49,3.74,57.45,0.58,4.41,directLRT→brt,derived_feeder
203,212,HofCarmel-NeveDavid,TsometKiryatAta,0.0,10.2,25.78,52.9,52.9,53.77,56.95,48.77,0.56,5.73,5.73,0.0,0.51,5.24,51.04,0.6,6.13,directLRT→brt,derived_feeder
203,213,HofCarmel-NeveDavid,KiryatAta North,0.0,3.65,32.36,71.17,,72.4,84.49,67.4,0.56,2.03,2.03,0.0,0.38,1.38,63.11,0.69,2.5,directLRT→brt,derived_feeder
203,214,HofCarmel-NeveDavid,KiryatAta North-East,0.0,0.95,37.89,88.95,,95.34,102.27,90.34,0.48,0.45,0.45,0.0,0.38,0.36,86.05,0.62,0.58,directLRT→bus,derived_feeder
203,215,HofCarmel-NeveDavid,Shefaram,0.0,0.03,43.84,86.21,,90.27,99.53,85.27,0.51,0.02,0.02,0.0,0.38,0.01,80.98,0.65,0.02,directLRT→bus,derived_feeder
203,216,HofCarmel-NeveDavid,Hamovil,0.0,0.02,56.31,104.61,,109.77,117.93,104.77,0.5,0.01,0.01,0.0,0.38,0.01,100.48,0.63,0.02,directLRT→bus,derived_feeder
203,217,HofCarmel-NeveDavid,Nazareth,0.0,0.57,71.1,100.86,,99.73,114.18,94.73,0.59,0.34,0.34,0.0,0.38,0.22,90.44,0.72,0.41,directLRT→bus,derived_feeder
203,101,HofCarmel-NeveDavid,TsurShalom,0.0,1.75,32.26,63.0,63.0,64.01,67.19,59.01,0.56,0.98,0.98,0.0,0.51,0.9,61.65,0.59,1.04,directLRT→brt,derived_feeder
203,102,HofCarmel-NeveDavid,Kiryon,0.0,2.54,31.48,58.89,58.89,59.76,62.94,54.76,0.56,1.43,1.43,0.0,0.51,1.31,57.9,0.59,1.5,directLRT→brt,derived_feeder
203,103,HofCarmel-NeveDavid,KiryatBialik Center,0.0,2.82,29.3,57.87,57.87,58.73,61.91,53.73,0.56,1.59,1.59,0.0,0.51,1.45,56.87,0.59,1.66,directLRT→brt,derived_feeder
203,104,HofCarmel-NeveDavid,KiryatHaim,0.0,6.29,27.45,55.2,55.2,56.07,59.25,51.07,0.56,3.53,3.53,0.0,0.51,3.24,53.91,0.59,3.73,directLRT→brt,derived_feeder
203,301,HofCarmel-NeveDavid,SavyoneyYam,0.0,0.04,29.9,79.66,,91.45,92.98,86.45,0.4,0.02,0.02,0.0,0.38,0.02,88.93,0.44,0.02,directLRT→bus,assumed
203,302,HofCarmel-NeveDavid,KiryatYam A,0.0,0.06,28.23,78.29,,90.08,91.61,85.08,0.4,0.02,0.02,0.0,0.38,0.02,83.45,0.5,0.03,directLRT→bus,assumed
203,303,HofCarmel-NeveDavid,KiryatYam B+C,0.0,3.99,26.42,53.6,,77.63,84.53,72.63,0.24,0.96,0.96,0.0,0.17,0.69,71.46,0.32,1.26,directLRT→bus,derived_feeder
203,304,HofCarmel-NeveDavid,KiryatHaim West,0.0,3.16,25.39,56.82,,77.73,79.26,72.73,0.28,0.88,0.88,0.0,0.26,0.82,72.69,0.34,1.08,directLRT→bus,assumed
204,201,Hecht-Shprintzak,TiratCarmel,248.41,85.22,18.78,35.5,,56.74,66.16,51.74,0.27,26.25,23.35,2.9,0.18,16.17,51.74,0.34,33.41,directLRT,derived
204,202,Hecht-Shprintzak,Matam-NeotPeres,146.13,220.84,12.77,18.53,22.93,39.0,43.71,34.0,0.28,66.87,62.57,4.3,0.23,53.44,36.5,0.31,74.91,directLRT,derived
204,203,Hecht-Shprintzak,HofCarmel-NeveDavid,137.97,26.35,7.84,17.69,20.93,34.55,36.08,29.55,0.33,10.22,8.67,1.54,0.31,9.49,33.91,0.34,10.54,directLRT,derived
204,205,Hecht-Shprintzak,EinHayam,190.91,9.06,6.62,7.44,11.61,36.63,38.33,31.63,0.19,1.9,1.72,0.18,0.17,1.73,35.4,0.2,2.03,directLRT,derived
204,206,Hecht-Shprintzak,BatGalim-KiryatEliezer,372.66,209.48,9.89,17.76,16.7,41.77,46.84,36.77,0.24,55.35,50.73,4.63,0.19,42.73,38.68,0.28,64.44,directLRT,derived
204,207,Hecht-Shprintzak,Hamoshava,0.0,35.48,12.16,24.09,20.33,37.05,43.93,32.05,0.38,13.58,13.58,0.0,0.29,10.32,32.74,0.45,15.8,directLRT,derived
204,208,Hecht-Shprintzak,LowerCity,32.41,123.74,14.54,27.59,24.17,43.86,52.44,38.86,0.34,43.96,41.72,2.24,0.23,29.86,38.32,0.41,54.89,directLRT,derived
204,209,Hecht-Shprintzak,Namal-Giborim,50.45,45.55,17.52,31.24,31.56,54.53,65.52,49.53,0.25,12.35,11.4,0.95,0.15,7.01,47.74,0.33,17.01,directLRT,derived
204,210,Hecht-Shprintzak,Hamifrats,66.51,60.27,21.59,45.42,47.89,66.58,80.98,61.58,0.27,18.08,16.57,1.51,0.14,8.65,57.92,0.39,26.76,directLRT,derived
204,211,Hecht-Shprintzak,Bazan-Hutsot,0.0,22.82,24.09,54.56,54.56,63.88,68.59,58.88,0.44,9.94,9.94,0.0,0.37,8.39,56.82,0.54,12.34,directLRT→brt,derived_feeder
204,212,Hecht-Shprintzak,TsometKiryatAta,0.0,30.69,25.84,48.14,48.14,57.46,62.17,52.46,0.44,13.37,13.37,0.0,0.37,11.29,50.41,0.54,16.6,directLRT→brt,derived_feeder
204,213,Hecht-Shprintzak,KiryatAta North,0.0,10.98,32.32,65.6,,71.14,82.13,66.14,0.49,5.4,5.4,0.0,0.33,3.66,62.48,0.62,6.8,directLRT→brt,derived_feeder
204,214,Hecht-Shprintzak,KiryatAta North-East,0.0,2.85,37.93,83.38,,94.07,101.41,89.07,0.42,1.18,1.18,0.0,0.31,0.89,85.41,0.54,1.55,directLRT→bus,derived_feeder
204,215,Hecht-Shprintzak,Shefaram,0.0,0.1,43.91,80.63,,89.01,98.67,84.01,0.45,0.05,0.05,0.0,0.31,0.03,80.35,0.58,0.06,directLRT→bus,derived_feeder
204,216,Hecht-Shprintzak,Hamovil,0.0,0.08,56.63,99.03,,108.51,117.07,103.51,0.43,0.03,0.03,0.0,0.31,0.02,99.85,0.56,0.04,directLRT→bus,derived_feeder
204,217,Hecht-Shprintzak,Nazareth,0.0,1.73,71.78,95.29,,98.47,112.87,93.47,0.53,0.91,0.91,0.0,0.32,0.55,89.81,0.65,1.13,directLRT→bus,derived_feeder
204,101,Hecht-Shprintzak,TsurShalom,0.0,5.27,31.36,58.24,58.24,67.7,72.41,62.7,0.43,2.28,2.28,0.0,0.37,1.93,61.02,0.53,2.81,directLRT→brt,derived_feeder
204,102,Hecht-Shprintzak,Kiryon,0.0,7.64,30.75,54.14,54.14,63.45,68.16,58.45,0.44,3.33,3.33,0.0,0.37,2.81,57.97,0.52,3.96,directLRT→brt,derived_feeder
204,103,Hecht-Shprintzak,KiryatBialik Center,0.0,8.49,28.77,53.11,53.11,62.43,67.14,57.43,0.44,3.7,3.7,0.0,0.37,3.12,56.94,0.52,4.39,directLRT→brt,derived_feeder
204,104,Hecht-Shprintzak,KiryatHaim,0.0,18.93,27.2,50.44,50.44,59.76,64.47,54.76,0.44,8.25,8.25,0.0,0.37,6.96,53.28,0.53,10.08,directLRT→brt,derived_feeder
204,301,Hecht-Shprintzak,SavyoneyYam,0.0,0.13,28.94,74.08,,90.42,92.12,85.42,0.34,0.04,0.04,0.0,0.31,0.04,88.29,0.37,0.05,directLRT→bus,assumed
204,302,Hecht-Shprintzak,KiryatYam A,0.0,0.18,27.38,72.71,,89.05,90.75,84.05,0.34,0.06,0.06,0.0,0.31,0.06,82.83,0.42,0.08,directLRT→bus,assumed
204,303,Hecht-Shprintzak,KiryatYam B+C,0.0,12.0,25.7,65.64,,76.37,80.17,71.37,0.41,4.98,4.98,0.0,0.36,4.33,70.83,0.5,5.97,directLRT→bus,derived_feeder
204,304,Hecht-Shprintzak,KiryatHaim West,0.0,9.49,25.02,60.36,,76.7,78.4,71.7,0.34,3.19,3.19,0.0,0.31,2.98,72.06,0.4,3.81,directLRT→bus,assumed
205,201,EinHayam,TiratCarmel,89.86,34.35,20.6,35.58,,61.46,72.59,56.46,0.22,8.36,7.63,0.72,0.13,4.61,55.24,0.29,11.41,directLRT,derived
205,202,EinHayam,Matam-NeotPeres,61.01,89.01,14.29,18.6,23.02,43.72,50.15,38.72,0.23,21.69,20.49,1.2,0.17,15.67,40.0,0.27,25.94,directLRT,derived
205,203,EinHayam,HofCarmel-NeveDavid,46.43,10.62,9.72,16.44,21.01,39.28,42.51,34.28,0.26,3.05,2.71,0.34,0.22,2.58,37.41,0.28,3.35,directLRT,derived
205,204,EinHayam,Hecht-Shprintzak,94.63,15.06,7.37,8.68,13.48,37.04,38.74,32.04,0.2,3.26,2.97,0.29,0.18,2.98,35.81,0.21,3.48,directLRT,derived
205,206,EinHayam,BatGalim-KiryatEliezer,145.49,84.43,10.29,10.39,13.93,41.05,44.41,36.05,0.18,15.86,14.91,0.95,0.15,13.26,39.18,0.19,17.49,directLRT,derived
205,207,EinHayam,Hamoshava,1049.94,14.3,16.99,13.63,17.56,36.33,41.5,31.33,0.26,4.25,3.67,0.58,0.2,3.23,33.23,0.29,4.99,directLRT,derived
205,208,EinHayam,LowerCity,132.26,49.88,12.18,17.47,21.4,43.14,50.0,38.14,0.22,12.27,11.19,1.07,0.16,8.55,38.82,0.27,15.25,directLRT,derived
205,209,EinHayam,Namal-Giborim,12.07,18.36,16.7,26.31,28.78,53.8,63.09,48.8,0.21,4.03,3.78,0.24,0.13,2.47,48.24,0.27,5.3,directLRT,derived
205,210,EinHayam,Hamifrats,0.0,24.29,22.05,45.12,45.12,65.86,78.54,60.86,0.28,6.8,6.8,0.0,0.15,3.74,58.42,0.38,9.18,directLRT,derived
205,211,EinHayam,Bazan-Hutsot,0.0,9.2,24.02,51.78,51.78,64.76,75.03,59.76,0.38,3.52,3.52,0.0,0.25,2.31,57.32,0.49,4.52,directLRT→brt,derived_feeder
205,212,EinHayam,TsometKiryatAta,0.0,12.37,25.63,45.37,45.37,58.35,68.61,53.35,0.38,4.73,4.73,0.0,0.25,3.1,50.91,0.49,6.08,directLRT→brt,derived_feeder
205,213,EinHayam,KiryatAta North,0.0,4.42,32.0,60.92,,70.42,79.7,65.42,0.43,1.92,1.92,0.0,0.3,1.35,62.98,0.54,2.41,directLRT→brt,derived_feeder
205,214,EinHayam,KiryatAta North-East,0.0,1.15,37.64,78.7,,93.35,104.34,88.35,0.36,0.41,0.41,0.0,0.22,0.26,85.91,0.47,0.54,directLRT→bus,derived_feeder
205,215,EinHayam,Shefaram,0.0,0.04,43.62,75.96,,88.29,100.97,83.29,0.39,0.02,0.02,0.0,0.23,0.01,80.85,0.5,0.02,directLRT→bus,derived_feeder
205,216,EinHayam,Hamovil,0.0,0.03,56.5,94.36,,107.79,120.0,102.79,0.38,0.01,0.01,0.0,0.22,0.01,100.35,0.49,0.01,directLRT→bus,derived_feeder
205,217,EinHayam,Nazareth,0.0,0.7,71.9,90.62,,97.75,110.43,92.75,0.47,0.33,0.33,0.0,0.29,0.2,90.31,0.58,0.4,directLRT→bus,derived_feeder
205,101,EinHayam,TsurShalom,0.0,2.12,30.44,55.47,55.47,68.96,78.85,63.96,0.38,0.8,0.8,0.0,0.25,0.53,61.52,0.48,1.03,directLRT→brt,derived_feeder
205,102,EinHayam,Kiryon,0.0,3.08,29.96,51.36,51.36,65.91,74.6,60.91,0.36,1.11,1.11,0.0,0.25,0.77,58.47,0.47,1.44,directLRT→brt,derived_feeder
205,103,EinHayam,KiryatBialik Center,0.0,3.42,28.11,50.34,50.34,64.88,73.58,59.88,0.36,1.23,1.23,0.0,0.25,0.86,57.44,0.47,1.6,directLRT→brt,derived_feeder
205,104,EinHayam,KiryatHaim,0.0,7.63,26.76,47.67,47.67,61.22,70.91,56.22,0.37,2.86,2.86,0.0,0.25,1.91,53.78,0.48,3.69,directLRT→brt,derived_feeder
205,301,EinHayam,SavyoneyYam,0.0,0.05,27.98,69.41,,91.69,95.05,86.69,0.26,0.01,0.01,0.0,0.22,0.01,88.79,0.3,0.02,directLRT→bus,assumed
205,302,EinHayam,KiryatYam A,0.0,0.07,26.51,68.04,,88.89,93.68,83.89,0.28,0.02,0.02,0.0,0.22,0.02,83.33,0.35,0.03,directLRT→brt,derived_feeder
205,303,EinHayam,KiryatYam B+C,0.0,4.84,24.94,60.97,,75.65,80.41,70.65,0.36,1.73,1.73,0.0,0.3,1.43,71.33,0.42,2.03,directLRT→bus,derived_feeder
205,304,EinHayam,KiryatHaim West,19.7,3.83,24.72,55.69,,76.88,82.89,71.88,0.27,1.2,1.05,0.15,0.21,0.88,72.56,0.33,1.48,directLRT→bus,derived_feeder
206,201,BatGalim-KiryatEliezer,TiratCarmel,335.11,94.01,22.19,49.74,,62.38,76.88,57.38,0.39,43.87,36.42,7.45,0.21,21.56,54.29,0.51,62.09,directLRT,derived
206,202,BatGalim-KiryatEliezer,Matam-NeotPeres,356.52,243.6,17.68,27.41,29.57,44.64,54.43,39.64,0.32,88.46,79.0,9.46,0.21,54.98,39.05,0.4,113.24,directLRT,derived
206,203,BatGalim-KiryatEliezer,HofCarmel-NeveDavid,22.72,29.07,13.6,25.98,27.57,40.21,46.81,35.21,0.37,11.92,10.61,1.31,0.28,8.83,36.48,0.42,13.94,directLRT,derived
206,204,BatGalim-KiryatEliezer,Hecht-Shprintzak,354.17,41.2,8.36,18.38,20.04,37.96,43.03,32.96,0.29,14.14,12.13,2.02,0.24,10.92,34.87,0.33,16.47,directLRT,derived
206,205,BatGalim-KiryatEliezer,EinHayam,0.0,9.99,10.22,13.77,15.39,36.82,40.18,31.82,0.25,2.53,2.53,0.0,0.22,2.17,34.95,0.27,2.75,directLRT,derived
206,207,BatGalim-KiryatEliezer,Hamoshava,309.57,39.14,7.88,12.67,14.65,26.42,28.23,21.42,0.37,17.81,14.55,3.26,0.35,16.34,25.19,0.39,18.87,directLRT,derived
206,208,BatGalim-KiryatEliezer,LowerCity,309.44,136.49,10.57,16.7,18.49,33.22,36.72,28.22,0.33,52.27,45.56,6.71,0.29,44.27,30.77,0.37,58.48,directLRT,derived
206,209,BatGalim-KiryatEliezer,Namal-Giborim,45.72,50.24,14.8,24.78,25.88,43.89,49.8,38.89,0.3,16.51,15.07,1.44,0.23,12.43,40.18,0.35,19.53,directLRT,derived
206,210,BatGalim-KiryatEliezer,Hamifrats,186.3,66.48,20.53,41.13,42.21,55.95,65.27,50.95,0.36,27.81,23.73,4.09,0.24,17.7,50.38,0.44,35.62,directLRT,derived
206,211,BatGalim-KiryatEliezer,Bazan-Hutsot,32.19,25.17,21.52,48.16,48.88,54.84,62.09,49.84,0.47,14.42,11.95,2.47,0.37,10.66,49.27,0.56,17.75,directLRT→brt,derived_feeder
206,212,BatGalim-KiryatEliezer,TsometKiryatAta,0.0,33.85,22.57,42.05,42.46,48.43,55.67,43.43,0.48,16.23,16.23,0.0,0.37,12.64,42.86,0.56,19.04,directLRT→brt,derived_feeder
206,213,BatGalim-KiryatEliezer,KiryatAta North,0.0,12.11,28.86,52.69,52.69,60.5,66.42,55.5,0.46,5.55,5.55,0.0,0.37,4.5,54.93,0.54,6.55,directLRT→brt,derived_feeder
206,214,BatGalim-KiryatEliezer,KiryatAta North-East,0.0,3.14,34.52,77.21,,83.44,92.76,78.44,0.48,1.51,1.51,0.0,0.35,1.09,77.87,0.56,1.77,directLRT→bus,derived_feeder
