pair,car GC,bus GC (partial),Metronit GC (partial),LRT underground GC (partial),LRT ground GC (partial),LRT design 50 km/h GC (partial),transit 2022 trips,car 2022 trips,LRT ug − bus,LRT ug − car
HofCarmel-NeveDavid → Hamifrats,20.5,49.5,52.6,67.8,83.8,58.6,20.0,22.8,18.3,47.3
Hecht-Shprintzak → TiratCarmel,18.8,35.5,,56.7,66.2,51.7,85.2,248.4,21.2,38.0
Hecht-Shprintzak → Matam-NeotPeres,12.8,18.5,22.9,39.0,43.7,36.5,220.8,146.1,20.5,26.2
Hecht-Shprintzak → HofCarmel-NeveDavid,7.8,17.7,20.9,34.6,36.1,33.9,26.4,138.0,16.9,26.7
Hecht-Shprintzak → EinHayam,6.6,7.4,11.6,36.6,38.3,35.4,9.1,190.9,29.2,30.0
Hecht-Shprintzak → BatGalim-KiryatEliezer,9.9,17.8,16.7,41.8,46.8,38.7,209.5,372.7,24.0,31.9
Hecht-Shprintzak → Hamoshava,12.2,24.1,20.3,37.1,43.9,32.7,35.5,0.0,13.0,24.9
Hecht-Shprintzak → LowerCity,14.5,27.6,24.2,43.9,52.4,38.3,123.7,32.4,16.3,29.3
Hecht-Shprintzak → Namal-Giborim,17.5,31.2,31.6,54.5,65.5,47.7,45.5,50.5,23.3,37.0
Hecht-Shprintzak → Hamifrats,21.6,45.4,47.9,66.6,81.0,57.9,60.3,66.5,21.2,45.0
EinHayam → TiratCarmel,20.6,35.6,,61.5,72.6,55.2,34.4,89.9,25.9,40.9
EinHayam → Matam-NeotPeres,14.3,18.6,23.0,43.7,50.1,40.0,89.0,61.0,25.1,29.4
EinHayam → HofCarmel-NeveDavid,9.7,16.4,21.0,39.3,42.5,37.4,10.6,46.4,22.8,29.6
EinHayam → Hecht-Shprintzak,7.4,8.7,13.5,37.0,38.7,35.8,15.1,94.6,28.4,29.7
EinHayam → BatGalim-KiryatEliezer,10.3,10.4,13.9,41.1,44.4,39.2,84.4,145.5,30.7,30.8
EinHayam → Hamoshava,17.0,13.6,17.6,36.3,41.5,33.2,14.3,1049.9,22.7,19.3
EinHayam → LowerCity,12.2,17.5,21.4,43.1,50.0,38.8,49.9,132.3,25.7,31.0
EinHayam → Namal-Giborim,16.7,26.3,28.8,53.8,63.1,48.2,18.4,12.1,27.5,37.1
EinHayam → Hamifrats,22.1,45.1,45.1,65.9,78.5,58.4,24.3,0.0,20.7,43.8
BatGalim-KiryatEliezer → TiratCarmel,22.2,49.7,,62.4,76.9,54.3,94.0,335.1,12.6,40.2
BatGalim-KiryatEliezer → Matam-NeotPeres,17.7,27.4,29.6,44.6,54.4,39.1,243.6,356.5,17.2,27.0
BatGalim-KiryatEliezer → HofCarmel-NeveDavid,13.6,26.0,27.6,40.2,46.8,36.5,29.1,22.7,14.2,26.6
BatGalim-KiryatEliezer → Hecht-Shprintzak,8.4,18.4,20.0,38.0,43.0,34.9,41.2,354.2,19.6,29.6
BatGalim-KiryatEliezer → EinHayam,10.2,13.8,15.4,36.8,40.2,35.0,10.0,0.0,23.1,26.6
BatGalim-KiryatEliezer → Hamoshava,7.9,12.7,14.7,26.4,28.2,25.2,39.1,309.6,13.7,18.5
BatGalim-KiryatEliezer → LowerCity,10.6,16.7,18.5,33.2,36.7,30.8,136.5,309.4,16.5,22.6
BatGalim-KiryatEliezer → Namal-Giborim,14.8,24.8,25.9,43.9,49.8,40.2,50.2,45.7,19.1,29.1
BatGalim-KiryatEliezer → Hamifrats,20.5,41.1,42.2,55.9,65.3,50.4,66.5,186.3,14.8,35.4
Hamoshava → TiratCarmel,20.0,51.7,,61.6,77.9,52.3,10.8,0.0,9.9,41.6
Hamoshava → Matam-NeotPeres,15.4,28.0,31.1,43.9,55.5,37.0,50.0,265.2,15.9,28.4
Hamoshava → HofCarmel-NeveDavid,12.8,27.0,29.1,39.4,47.8,34.5,6.1,0.0,12.4,26.6
Hamoshava → Hecht-Shprintzak,12.2,19.4,21.6,37.2,44.1,32.9,8.6,0.0,17.8,25.0
Hamoshava → EinHayam,11.9,15.0,17.0,36.0,41.2,32.9,2.1,0.0,21.1,24.1
Hamoshava → BatGalim-KiryatEliezer,10.1,10.6,12.9,30.4,32.2,29.1,48.6,1688.5,19.8,20.2
Hamoshava → LowerCity,8.6,11.3,13.2,26.7,28.3,25.4,93.3,68.4,15.3,18.1
Hamoshava → Namal-Giborim,12.3,19.6,20.6,37.3,41.4,34.8,31.3,23.9,17.7,25.0
Hamoshava → Hamifrats,15.9,36.3,36.9,49.4,56.9,45.0,23.0,161.5,13.0,33.5
LowerCity → TiratCarmel,19.9,53.4,,65.9,83.9,55.4,13.7,31.3,12.6,46.0
LowerCity → Matam-NeotPeres,16.1,33.0,37.2,48.2,61.5,40.2,63.1,4.3,15.2,32.1
LowerCity → HofCarmel-NeveDavid,14.1,30.7,35.2,43.7,53.9,37.6,7.7,0.0,13.0,29.6
LowerCity → Hecht-Shprintzak,13.8,23.2,27.6,41.5,50.1,36.0,10.9,0.0,18.3,27.7
LowerCity → EinHayam,13.8,18.8,23.0,40.4,47.2,36.0,2.6,2.6,21.5,26.5
LowerCity → BatGalim-KiryatEliezer,12.1,14.2,18.8,34.7,38.2,32.2,61.3,22.4,20.5,22.5
LowerCity → Hamoshava,7.1,11.4,15.4,24.2,25.9,23.0,33.8,419.8,12.8,17.1
LowerCity → Namal-Giborim,9.6,15.7,17.0,36.2,38.7,35.0,39.5,59.5,20.6,26.6
LowerCity → Hamifrats,18.0,32.7,33.3,48.3,54.1,45.2,29.0,30.2,15.6,30.3
Namal-Giborim → TiratCarmel,30.7,53.1,,71.7,92.1,59.9,21.5,111.4,18.6,41.0
Namal-Giborim → Matam-NeotPeres,16.6,38.4,40.8,54.0,69.7,44.7,66.2,11.4,15.6,37.4
Namal-Giborim → HofCarmel-NeveDavid,16.4,36.6,38.8,49.5,62.1,42.1,8.0,0.0,13.0,33.2
Namal-Giborim → Hecht-Shprintzak,16.8,27.1,31.3,47.3,58.3,40.5,11.3,0.0,20.2,30.5
Namal-Giborim → EinHayam,17.1,23.1,26.7,46.2,55.4,40.6,2.7,4.0,23.1,29.0
Namal-Giborim → BatGalim-KiryatEliezer,14.5,21.0,22.4,40.5,46.4,36.8,63.5,0.0,19.5,26.0
Namal-Giborim → Hamoshava,12.4,17.8,19.1,30.0,34.1,27.5,31.5,0.0,12.2,17.6
Namal-Giborim → LowerCity,10.2,11.9,13.3,31.4,33.8,30.1,109.9,94.9,19.5,21.2
Namal-Giborim → Hamifrats,11.7,24.4,25.1,46.3,49.7,44.4,29.8,16.3,21.9,34.6
Hamifrats → TiratCarmel,20.3,61.0,,86.0,109.8,72.3,28.4,0.0,25.0,65.7
Hamifrats → Matam-NeotPeres,22.1,52.7,32.1,68.2,87.4,57.1,105.5,81.5,15.6,46.2
Hamifrats → HofCarmel-NeveDavid,21.0,51.7,55.3,63.8,79.7,54.5,12.8,0.0,12.1,42.8
Hamifrats → Hecht-Shprintzak,21.9,44.8,47.8,61.6,76.0,52.9,18.1,3.4,16.7,39.6
Hamifrats → EinHayam,22.1,43.2,43.2,60.4,73.1,53.0,4.4,0.0,17.2,38.4
Hamifrats → BatGalim-KiryatEliezer,20.1,37.4,38.9,54.7,64.1,49.2,100.9,243.5,17.3,34.7
Hamifrats → Hamoshava,17.4,34.6,35.6,44.2,51.7,39.9,28.3,0.0,9.6,26.8
Hamifrats → LowerCity,15.3,28.9,29.8,45.6,51.4,42.5,98.6,5.4,16.8,30.3
Hamifrats → Namal-Giborim,12.0,24.4,25.3,48.5,51.9,46.6,31.1,3.2,24.1,36.4
