TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
3527,35,False,4432.0939,7459.0000,1247.7734,2201.0000,2397.5008,4047.3705,2188.1498,3764.8361,4507.6171,7609.5893,own rate (multiplicative),2045.4912,3307.3193,own rate (multiplicative),252.3682,426.0386,141.8743,238.9706,0.0000,0.0000,0.0000,0.0000
3528,35,False,6441.7229,13225.0000,2245.0840,5158.0000,3537.9366,7331.3024,3531.6918,7697.4932,3968.0471,8222.5763,own rate (multiplicative),3225.0006,6605.5015,own rate (multiplicative),406.6117,842.5796,2.0457,4.3650,0.0000,0.0000,6.2302,13.9738
3529,35,False,3581.8431,4357.0000,707.1964,1070.0000,1900.3314,2337.5171,1523.1218,2023.5386,137.9790,169.7221,own rate (multiplicative),779.5022,973.2035,own rate (multiplicative),0.7280,0.8955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3530,35,False,1724.9465,3541.0000,2366.1836,4069.0000,1165.5628,2295.2351,2382.8497,4249.6511,226.1171,445.2715,own rate (multiplicative),1478.8278,2478.4703,own rate (multiplicative),2.6358,5.1905,598.6498,1045.2046,0.0000,0.0000,0.0000,0.0000
3531,35,False,3051.0119,6266.0000,2625.4671,5089.0000,1868.7879,3800.5527,2944.6747,5800.8622,399.8804,813.2365,own rate (multiplicative),1649.3814,3053.4146,own rate (multiplicative),2.4609,5.0047,646.3744,1246.5543,0.0000,0.0000,0.0000,0.0000
3532,35,False,3157.1859,5859.0000,1255.8560,2655.0000,1753.2195,3293.6705,1857.5559,3711.3509,2013.0110,3781.7255,own rate (multiplicative),1895.2064,3558.4111,own rate (multiplicative),381.3345,716.3908,0.5114,1.0003,0.0000,0.0000,0.0000,0.0000
3601,36,False,6355.8548,8660.0000,310.0541,591.0000,3255.2729,4456.2199,1933.3942,2771.5307,2420.6454,3313.6787,own rate (multiplicative),4783.6874,6444.2375,own rate (multiplicative),4.3713,5.9840,4.0088,5.6258,0.0000,0.0000,0.0000,0.0000
3602,36,False,11038.2403,15039.0000,1705.9686,3070.0000,5797.7688,7991.3260,4308.3618,6477.0990,62.4676,86.1019,own rate (multiplicative),1178.3483,1664.7596,own rate (multiplicative),3.3176,4.5729,0.9792,1.4412,0.0000,0.0000,0.0000,0.0000
3603,36,False,4741.5285,6810.0000,289.5107,1589.0000,2435.6601,3643.2328,1489.7256,3094.8771,2960.2684,4427.9360,own rate (multiplicative),337.0832,658.0877,own rate (multiplicative),389.2517,582.2383,0.4896,0.9958,0.0000,0.0000,0.6512,1.3922
3604,36,False,4965.1261,7329.0000,1838.1008,2673.0000,2740.2636,4039.9197,2809.7920,4114.7785,747.2290,1101.6258,own rate (multiplicative),1559.5411,2146.2415,own rate (multiplicative),6.7810,9.9971,4.3515,6.2385,0.0000,0.0000,0.0000,0.0000
3605,36,False,3877.0580,5639.0000,823.6811,1445.0000,2064.1506,3032.7434,1696.0444,2667.9313,2805.4939,4121.9585,own rate (multiplicative),1210.1935,1788.9645,own rate (multiplicative),36.5884,53.7574,1.1779,1.8140,0.0000,0.0000,0.0000,0.0000
3606,36,False,4104.8978,5590.0000,861.6385,1549.0000,2184.1613,3020.7988,1787.2079,2739.6537,186.8124,258.3704,own rate (multiplicative),712.8541,1026.9060,own rate (multiplicative),250.0530,345.8352,165.9143,248.9867,0.0000,0.0000,0.0000,0.0000
3607,36,False,0.0000,0.0000,5984.0516,9481.0000,739.7303,1172.0125,4872.4830,7719.8550,7.4419,11.7908,own rate (multiplicative),1834.3935,2731.2458,own rate (multiplicative),4.0089,6.3517,74.4895,115.5382,0.0000,0.0000,0.0000,0.0000
3608,36,False,738.8024,1006.0000,117.0772,299.0000,388.4093,546.1371,290.7207,509.5162,338.4222,475.8509,own rate (multiplicative),22.8287,37.5986,own rate (multiplicative),21.4008,30.0914,20.8700,35.8077,0.0000,0.0000,0.0000,0.0000
3609,36,False,9532.4714,13134.0000,2900.8575,4970.0000,5183.3492,7262.0038,4883.0628,7520.3484,4366.6965,6117.8527,own rate (multiplicative),565.6433,818.6491,own rate (multiplicative),394.1204,552.1727,563.5550,849.6769,0.0000,0.0000,0.0000,0.0000
3610,36,False,0.0000,0.0000,3279.6890,5207.0000,405.4252,643.6735,2670.4697,4239.7727,0.0000,0.0000,own rate (multiplicative),2901.4216,4328.8769,own rate (multiplicative),4.2631,6.7683,354.0684,550.3182,0.0000,0.0000,0.0000,0.0000
3611,36,False,213.1887,615.0000,1232.0145,1773.0000,260.2010,530.4483,1059.5435,1606.3052,808.8483,1648.9260,own rate (multiplicative),103.9209,148.0545,own rate (multiplicative),6.8828,14.0314,0.5174,0.7679,0.0000,0.0000,0.0000,0.0000
3612,36,False,9443.7343,14522.0000,2032.0625,4299.0000,5031.0381,7881.5775,4152.1827,7341.0748,132.4778,207.5385,own rate (multiplicative),2297.7306,3817.6119,own rate (multiplicative),121.1744,189.8306,13.5477,23.4487,0.0000,0.0000,0.0000,0.0000
3613,36,False,0.0000,0.0000,938.4606,1351.0000,116.0097,167.0065,764.1367,1100.0447,5.6606,49.0946,superzone rate on the increment,172.4302,233.2718,own rate (multiplicative),17.3496,22.5146,12.5664,17.7102,0.0000,0.4872,0.0000,0.0000
3614,36,False,7887.4084,12458.0000,591.3819,4542.0000,4065.2286,6866.9459,2567.5142,6993.0698,4796.8832,8102.8501,own rate (multiplicative),1151.1287,2946.3774,own rate (multiplicative),616.0722,1040.6634,57.1921,152.4976,20.6434,34.8707,10.1987,28.5854
3615,36,False,10032.9451,15671.0000,3534.1320,8000.0000,5514.9418,8920.6374,5531.0637,10658.4711,6097.0585,9862.2342,own rate (multiplicative),9441.3742,17097.4339,own rate (multiplicative),842.0179,1361.9974,488.2521,921.0904,26.2386,42.4419,83.6477,165.8774
3616,36,False,0.0000,0.0000,6101.8626,8436.0000,754.2937,1042.8327,4968.4099,6868.9692,0.0000,0.0000,own rate (multiplicative),219.1077,284.6697,own rate (multiplicative),2.5454,3.5191,46.4871,62.9185,0.0000,0.0000,137.2895,195.3252
3617,36,False,6107.1906,8197.0000,5475.8994,10759.0000,3768.0004,5478.8150,6073.8926,10928.3222,4280.7059,6224.3081,own rate (multiplicative),13727.5527,23210.7392,own rate (multiplicative),337.5613,490.8269,1037.9135,1828.1819,84.6432,123.0744,33.7971,62.5767
3618,36,False,10425.9189,18350.0000,1356.3174,3269.0000,5444.6263,9691.7515,3861.7194,7514.7946,7313.7734,13018.9421,own rate (multiplicative),3297.1179,6029.4870,own rate (multiplicative),473.5694,842.9811,237.8117,453.0451,144.6170,257.4267,8.1175,16.2557
3619,36,False,5115.7604,7934.0000,848.0451,1665.0000,2694.1178,4221.5278,2043.4825,3454.0243,3582.4884,5613.5535,own rate (multiplicative),2017.6214,3204.8198,own rate (multiplicative),226.0048,354.1366,141.8393,234.7052,70.8373,110.9981,4.9674,8.6403
3620,36,False,3261.1060,5058.0000,2149.9184,3148.0000,1916.3388,2949.1964,2613.0253,3900.9330,2146.9209,3304.0564,own rate (multiplicative),1447.3031,2030.4571,own rate (multiplicative),504.4717,776.3691,203.6192,297.5880,67.8185,104.3709,48.6618,74.7584
