TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
2501,2.01,3,766,0,0,10,1,0,0,2845,3.010582011,0,0,3.010582011,945,0,0,945,618,203,326,89,163,500,452,222,1138,370,163,500,452,222,1138,370,0,0,0,0,0,0,0,0,0,0,0,0,34,3,25,25,חדרה,,1,0
2502,21.57,1,0,543,0,6,1,0,0,742,3.601941748,0,0,3.601941748,206,0,0,206,301,99,159,43,69,248,78,69,223,55,69,248,78,69,223,55,0,0,0,0,0,0,0,0,0,0,0,0,34,3,25,25,חדרה,,1,0
2503,3.80,3,821,40,0,7,0.848381601,0,0.151618399,6457,3.267712551,0,4.045454545,3.15916955,1976,0,242,1734,4553,1493,2404,656,951,1458,695,557,2162,634,713,1155,561,473,1972,604,0,0,0,0,0,0,238,303,134,84,190,30,34,3,25,25,חדרה,,1,0
2504,20.00,3,1240,1632,0,7,0.745992746,0,0.254007254,8547,3.372928177,0,4.073170732,3.186406797,2534,0,533,2001,1998,655,1055,288,1468,2031,946,770,2598,734,905,1363,655,579,2202,672,0,0,0,0,0,0,563,668,291,191,396,62,34,3,25,25,חדרה,,1,0
2505,1.51,3,785,158,0,10,1,0,0,6769,2.968859649,0,0,2.968859649,2280,0,0,2280,2294,753,1211,330,507,1224,830,528,2683,997,507,1224,830,528,2683,997,0,0,0,0,0,0,0,0,0,0,0,0,34,3,25,25,חדרה,,1,0
2506,0.62,1,0,0,0,8,1,0,0,552,2.890052356,0,0,2.890052356,191,0,0,191,213,70,112,31,58,87,41,54,187,125,58,87,41,54,187,125,0,0,0,0,0,0,0,0,0,0,0,0,34,3,25,25,חדרה,,1,0
2507,6.66,1,396,1100,0,2,1,0,0,1541,3.009765625,0,0,3.009765625,512,0,0,512,1377,452,727,198,181,256,188,193,471,252,181,256,188,193,471,252,0,0,0,0,0,0,0,0,0,0,0,0,34,3,25,25,חדרה,,1,0
3001,4.71,3,0,441,0,4,0,1,0,5971,3.471511628,3.471511628,0,0,1720,1720,0,0,2339,767,1235,337,902,1115,719,993,1862,380,0,0,0,0,0,0,902,1115,719,993,1862,380,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3002,4.03,3,0,0,0,3,0,1,0,6460,3.645598194,3.645598194,0,0,1772,1772,0,0,1799,590,950,259,1029,1364,857,1007,1830,373,0,0,0,0,0,0,1029,1364,857,1007,1830,373,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3003,6.84,2,1145,1002,0,4,0,1,0,6966,3.376635967,3.376635967,0,0,2063,2063,0,0,728,239,384,105,928,1243,867,1190,2211,527,0,0,0,0,0,0,928,1243,867,1190,2211,527,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3004,0.92,3,0,0,0,4,0,1,0,5158,3.473400673,3.473400673,0,0,1485,1485,0,0,1013,332,535,146,779,963,621,857,1610,328,0,0,0,0,0,0,779,963,621,857,1610,328,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3005,1.47,3,0,0,0,4,0,1,0,3393,3.472876151,3.472876151,0,0,977,977,0,0,725,238,383,104,513,633,409,564,1058,216,0,0,0,0,0,0,513,633,409,564,1058,216,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3006,0.65,3,0,0,0,4,0,1,0,4072,3.47144075,3.47144075,0,0,1173,1173,0,0,1119,367,591,161,615,761,490,677,1270,259,0,0,0,0,0,0,615,761,490,677,1270,259,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3007,0.22,3,3649,3047,0,4,0,1,0,3800,3.470319635,3.470319635,0,0,1095,1095,0,0,741,243,391,107,574,709,458,632,1185,242,0,0,0,0,0,0,574,709,458,632,1185,242,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3008,0.77,3,369,0,0,4,0,1,0,6515,3.472814499,3.472814499,0,0,1876,1876,0,0,1241,407,655,179,984,1216,785,1082,2033,415,0,0,0,0,0,0,984,1216,785,1082,2033,415,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3009,2.80,3,0,0,999,4,0,1,0,4887,3.470880682,3.470880682,0,0,1408,1408,0,0,984,323,519,142,738,912,589,813,1524,311,0,0,0,0,0,0,738,912,589,813,1524,311,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3010,0.73,3,3433,3149,0,3,0,1,0,10672,3.64605398,3.64605398,0,0,2927,2927,0,0,2278,747,1203,328,1700,2254,1415,1664,3023,616,0,0,0,0,0,0,1700,2254,1415,1664,3023,616,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3011,1.39,3,0,0,0,3,0,1,0,6178,3.646989374,3.646989374,0,0,1694,1694,0,0,1124,369,593,162,984,1305,820,962,1750,357,0,0,0,0,0,0,984,1305,820,962,1750,357,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3012,2.25,3,0,0,0,3,0,1,0,5758,3.64661178,3.64661178,0,0,1579,1579,0,0,1134,372,599,163,918,1216,764,898,1630,332,0,0,0,0,0,0,918,1216,764,898,1630,332,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3013,2.08,2,0,0,0,4,0,1,0,4643,3.376727273,3.376727273,0,0,1375,1375,0,0,1271,417,671,183,619,828,578,793,1474,351,0,0,0,0,0,0,619,828,578,793,1474,351,0,0,0,0,0,0,32,3,30,30,עכו,,1,0
3101,79.30,2,1087,1018,0,3,0.011252238,0.988747762,0,11731,3.548396854,3.55797546,0,2.869565217,3306,3260,0,46,3174,1041,1676,457,1258,2007,1360,1673,4333,1100,22,17,1,10,50,32,1236,1990,1359,1663,4283,1068,0,0,0,0,0,0,42,4,31,31,רמת הגולן,,1,0
3102,33.31,2,327,315,0,3,0,1,0,2948,3.501187648,3.501187648,0,0,842,842,0,0,284,93,150,41,428,617,375,525,867,136,0,0,0,0,0,0,428,617,375,525,867,136,0,0,0,0,0,0,42,4,31,31,רמת הגולן,,1,0
3103,18.65,2,859,624,0,3,0,1,0,6712,3.440287032,3.440287032,0,0,1951,1951,0,0,830,272,438,120,798,1257,759,964,2353,581,0,0,0,0,0,0,798,1257,759,964,2353,581,0,0,0,0,0,0,42,4,31,31,רמת הגולן,,1,0
3104,22.59,2,686,658,0,3,0,1,0,7105,3.399521531,3.399521531,0,0,2090,2090,0,0,796,261,420,115,795,1280,898,1085,2468,579,0,0,0,0,0,0,795,1280,898,1085,2468,579,0,0,0,0,0,0,42,4,31,31,רמת הגולן,,1,0
3105,262.37,2,603,0,0,7,1,0,0,2037,3.163043478,0,0,3.163043478,644,0,0,644,1521,499,803,219,306,349,202,230,718,232,306,349,202,230,718,232,0,0,0,0,0,0,0,0,0,0,0,0,42,4,31,31,רמת הגולן,,1,0
3106,300.61,2,450,148,0,5,1,0,0,3980,3.51590106,0,0,3.51590106,1132,0,0,1132,1988,652,1050,286,669,964,493,465,1157,232,669,964,493,465,1157,232,0,0,0,0,0,0,0,0,0,0,0,0,42,4,31,45,רמת הגולן,,1,0
3107,10.81,2,759,692,728,5,0.970013354,0,0.029986646,8237,2.840344828,0,3.478873239,2.824319548,2900,0,71,2829,4596,1507,2427,662,999,1318,960,947,2611,1402,921,1271,938,910,2558,1392,0,0,0,0,0,0,78,47,22,37,53,10,42,4,31,45,רמת הגולן,,1,0
3108,152.43,1,0,0,0,8,1,0,0,1961,3.284757119,0,0,3.284757119,597,0,0,597,929,305,490,134,258,357,267,217,718,144,258,357,267,217,718,144,0,0,0,0,0,0,0,0,0,0,0,0,42,4,31,45,רמת הגולן,,1,0
3109,90.04,1,479,253,0,6,1,0,0,1459,3.964673913,0,0,3.964673913,368,0,0,368,1083,355,572,156,206,521,171,85,347,129,206,521,171,85,347,129,0,0,0,0,0,0,0,0,0,0,0,0,42,4,31,46,רמת הגולן,,1,0
3110,76.09,2,851,1070,0,5,0.979420871,0,0.020579129,5491,3.834497207,0,4.52,3.822316986,1432,0,25,1407,2318,760,1224,334,918,1731,792,539,1123,388,886,1685,776,530,1114,387,0,0,0,0,0,0,32,46,16,9,9,1,42,4,31,46,רמת הגולן,,1,0
3111,107.89,2,722,0,0,6,1,0,0,4230,3.229007634,0,0,3.229007634,1310,0,0,1310,2409,790,1272,347,646,793,377,424,1420,570,646,793,377,424,1420,570,0,0,0,0,0,0,0,0,0,0,0,0,42,4,31,46,רמת הגולן,,1,0
