source,own_pc,matched_cellular_pc,congruence,var_share,superzone,loading,origin_score
cellular,2,2,1.0,0.13387837992281867,34,0.08112973337120975,0.10133400504752092
cellular,2,2,1.0,0.13387837992281867,35,0.22041844227383323,0.1711643222303345
cellular,2,2,1.0,0.13387837992281867,36,0.07001248393808236,0.05154686315163659
cellular,2,2,1.0,0.13387837992281867,37,0.09308869353235112,0.08679872893988487
cellular,2,2,1.0,0.13387837992281867,38,-0.36856385479725,-0.3492283585397047
cellular,2,2,1.0,0.13387837992281867,39,-0.36768370271435635,-0.33502017819759355
cellular,2,2,1.0,0.13387837992281867,40,-0.6581328775004351,-0.510863909593777
cellular,3,3,1.0,0.10908225381574488,1,-0.07390859489480145,-0.06511088585221188
cellular,3,3,1.0,0.10908225381574488,2,-0.09308809257355333,-0.06139367192343285
cellular,3,3,1.0,0.10908225381574488,3,-0.22065913306820042,-0.13778825402435363
cellular,3,3,1.0,0.10908225381574488,4,-0.006574631308104174,-0.00799544501364074
cellular,3,3,1.0,0.10908225381574488,5,0.0019171897454518785,0.001984080059484085
cellular,3,3,1.0,0.10908225381574488,6,-0.0001757492568189217,-0.0003631451790198912
cellular,3,3,1.0,0.10908225381574488,7,-0.0003026889912877483,-0.0011195829114348803
cellular,3,3,1.0,0.10908225381574488,8,0.002568402630104254,0.0036318519409787426
cellular,3,3,1.0,0.10908225381574488,9,0.010789989021712708,0.00624496782913228
cellular,3,3,1.0,0.10908225381574488,10,0.01363929749499871,0.05976987462066389
cellular,3,3,1.0,0.10908225381574488,11,0.006520138454499829,0.017056905479810133
cellular,3,3,1.0,0.10908225381574488,12,0.03629694655831482,0.011607379056417066
cellular,3,3,1.0,0.10908225381574488,13,0.014458059179900729,0.015107245348695968
cellular,3,3,1.0,0.10908225381574488,14,0.021983207454455148,0.015586633602351144
cellular,3,3,1.0,0.10908225381574488,15,0.009621983359677073,0.013765337448527697
cellular,3,3,1.0,0.10908225381574488,16,0.033232256996655295,0.017553429843326564
cellular,3,3,1.0,0.10908225381574488,17,0.038543776572141086,0.018908328153060698
cellular,3,3,1.0,0.10908225381574488,18,0.027960891204122734,0.018879327272314263
cellular,3,3,1.0,0.10908225381574488,19,0.2478558130415416,0.16642846013948812
cellular,3,3,1.0,0.10908225381574488,20,0.303578856607842,0.22133923981106382
cellular,3,3,1.0,0.10908225381574488,21,0.10289903243955126,0.15222776052768888
cellular,3,3,1.0,0.10908225381574488,22,0.05669397865557606,0.041206272332275126
cellular,3,3,1.0,0.10908225381574488,23,0.029640982321195608,0.020502794677162827
cellular,3,3,1.0,0.10908225381574488,24,-0.006395062803631241,-0.00812961046111883
cellular,3,3,1.0,0.10908225381574488,25,-0.03028610171241141,-0.038326875970234715
cellular,3,3,1.0,0.10908225381574488,30,-0.06529399432376103,-0.0738018532598492
cellular,3,3,1.0,0.10908225381574488,31,-0.27234918603773534,-0.22294397516343784
cellular,3,3,1.0,0.10908225381574488,32,-0.32763840502900016,-0.25882640894587255
cellular,3,3,1.0,0.10908225381574488,33,-0.3406847346463916,-0.2584973424763289
cellular,3,3,1.0,0.10908225381574488,34,-0.10872696960439013,-0.11753865077173409
cellular,3,3,1.0,0.10908225381574488,35,-0.03880205278749345,-0.009503895534306363
cellular,3,3,1.0,0.10908225381574488,36,0.43379602892036534,0.29271794810514756
cellular,3,3,1.0,0.10908225381574488,37,0.47293098787052074,0.3955749740721481
cellular,3,3,1.0,0.10908225381574488,38,-0.030403889102567003,-0.03311422982490809
cellular,3,3,1.0,0.10908225381574488,39,-0.08626550555027401,-0.07510129221665604
cellular,3,3,1.0,0.10908225381574488,40,-0.16337302683820282,-0.12053769079119668
cellular,4,4,1.0,0.08452716854432117,1,0.23476218432284504,0.17947447547613063
cellular,4,4,1.0,0.08452716854432117,2,0.30661709023708883,0.18311782244350402
cellular,4,4,1.0,0.08452716854432117,3,0.5410292270676536,0.32306005446669894
cellular,4,4,1.0,0.08452716854432117,4,0.15171206060391076,0.08608254188484335
cellular,4,4,1.0,0.08452716854432117,5,-0.005299568804426794,-0.015116659737932064
cellular,4,4,1.0,0.08452716854432117,6,0.011367988475101152,-0.0037659994709911796
cellular,4,4,1.0,0.08452716854432117,7,0.03583887855520829,0.010605977296936013
cellular,4,4,1.0,0.08452716854432117,8,-0.014363306926424428,-0.026515630938816356
cellular,4,4,1.0,0.08452716854432117,9,-0.008637183041889573,-0.011442368257095705
