TAZ,SuperZone,trips_per_person,population
3816,38,0.711,15750
3817,38,0.624,17299
3818,38,0.455,3850
3819,38,0.611,6300
3820,38,0.526,6650
3821,38,0.577,4550
3824,38,1.03,12603
3826,38,1.107,11375
3831,38,0.755,13894
3903,39,1.452,8265
3904,39,1.1,11242
3906,39,1.883,5906
3907,39,1.312,2800
3908,39,1.065,9382
3910,39,1.444,5882
3911,39,1.075,7000
3912,39,0.875,2800
3916,39,1.14,23360
3917,39,1.107,14997
3918,39,1.348,10500
3919,39,1.35,3500
4004,40,0.992,13068
4005,40,1.251,3991
4007,40,0.5,700
4008,40,1.2,1750
4010,40,1.284,13728
4011,40,1.039,14668
4012,40,1.514,6538
4013,40,0.222,3139
4014,40,0.968,18476
4015,40,0.821,19430
4016,40,0.911,19563
4017,40,0.844,14548
4019,40,0.684,24889
4020,40,0.0,350
4022,40,0.0,211
