TAZ,households,sampled_persons,weighted_persons,weighted_trips_10,weighted_trips_20,rate_10,rate_20,rate_avg
808,21,54,2628.75,3545.13,2679.47,1.3486,1.0193,1.18395
809,19,46,6968.2,7656.39,6952.23,1.09876,0.997708,1.04824
901,19,52,4286.77,3285.87,4240.99,0.766514,0.989319,0.877916
902,13,38,5432.7,4395.48,4903.08,0.809079,0.902512,0.855795
903,4,16,4985.11,7170.21,6538.59,1.43833,1.31162,1.37498
904,11,35,5179.09,2608,3167.45,0.503562,0.611585,0.557574
906,21,56,9066.66,9714.76,11174.9,1.07148,1.23253,1.15201
907,14,28,4095.1,5294.02,5102.35,1.29277,1.24596,1.26937
908,5,9,2979.16,2800,2450,0.939862,0.822379,0.88112
909,6,13,3699.11,3807.57,3537.93,1.02932,0.956428,0.992875
910,13,37,6763.49,10500.7,9128.25,1.55256,1.34964,1.4511
912,2,4,382.137,191.069,477.671,0.5,1.25,0.875
913,14,47,8725.2,8986.91,10564.6,1.03,1.21081,1.1204
921,10,37,6800.57,7701.73,5974.48,1.13251,0.878526,1.00552
1001,4,18,1156.43,793.641,631.471,0.686283,0.54605,0.616167
1002,38,168,13437.4,10058.7,9502.64,0.74856,0.70718,0.72787
1003,15,54,8243.61,4827.03,4396.06,0.585548,0.533268,0.559408
1004,10,46,2585.03,1978.68,1949.49,0.765438,0.754146,0.759792
1005,16,47,1280.3,1182.24,1115.17,0.923411,0.871022,0.897216
1006,22,86,8804.99,6065.6,5848.81,0.688882,0.664261,0.676572
1102,23,117,8430.76,6503,5614.76,0.771341,0.665985,0.718663
1104,104,581,9035.69,11571.7,11110,1.28067,1.22957,1.25512
1106,13,42,5356.08,5005.02,5697.44,0.934455,1.06373,0.999094
1107,16,60,5752.77,4523.22,4632.74,0.786269,0.805305,0.795787
1302,2,4,1144.65,1050,1050,0.917307,0.917307,0.917307
1303,1,4,1400,1050,700,0.75,0.5,0.625
1304,2,8,2800,2100,2100,0.75,0.75,0.75
1305,2,5,295.561,251.133,200.906,0.849682,0.679745,0.764714
1306,4,8,2436.57,1721.38,2143.8,0.706479,0.879844,0.793161
1307,1,1,5,0,0,0,0,0
1309,1,3,936.83,624.553,624.553,0.666667,0.666667,0.666667
1310,2,8,1909.87,4230.68,3713.52,2.21516,1.94438,2.07977
1311,1,2,700,0,0,0,0,0
1401,3,9,789.252,501.331,561.111,0.635198,0.71094,0.673069
1402,1,3,1050,1750,1050,1.66667,1,1.33333
1403,12,35,2680.32,2397.86,1700.46,0.89462,0.634425,0.764522
1404,20,64,4199.84,3380.51,3481.94,0.804915,0.829066,0.81699
1405,15,42,2570.41,3215.86,4016.02,1.25111,1.5624,1.40676
1406,15,36,2693.77,2354.8,3202.29,0.874167,1.18878,1.03147
