TAZ,bus_nontransfer,bus_transfer,metronit_nontransfer,metronit_transfer,bus_all,metronit_all,transit_nontransfer,transit_all
1211,3.857,0.381,159.571,21.000,4.238,180.571,163.429,184.810
1212,13.595,1.595,0.000,0.000,15.190,0.000,13.595,15.190
1214,1.000,0.048,0.000,0.000,1.048,0.000,1.000,1.048
1216,0.976,0.024,0.000,0.000,1.000,0.000,0.976,1.000
1217,3.643,0.571,0.000,0.000,4.214,0.000,3.643,4.214
1218,41.476,4.762,0.000,0.000,46.238,0.000,41.476,46.238
1219,1691.381,178.643,1302.738,208.333,1870.024,1511.071,2994.119,3381.095
1220,13.095,3.429,0.000,0.000,16.524,0.000,13.095,16.524
1221,21.262,1.357,0.000,0.000,22.619,0.000,21.262,22.619
1222,4.143,0.452,52.786,4.786,4.595,57.571,56.929,62.167
1223,12.238,2.286,14.690,1.286,14.524,15.976,26.929,30.500
1226,1.000,0.048,0.000,0.000,1.048,0.000,1.000,1.048
1227,0.024,0.000,0.000,0.000,0.024,0.000,0.024,0.024
1302,263.786,15.024,168.976,9.262,278.810,178.238,432.762,457.048
1303,38.048,1.095,0.000,0.000,39.143,0.000,38.048,39.143
1304,46.452,1.000,0.000,0.000,47.452,0.000,46.452,47.452
1305,4.857,0.167,0.000,0.000,5.024,0.000,4.857,5.024
1306,19.810,1.048,0.000,0.000,20.857,0.000,19.810,20.857
1307,60.071,2.071,115.548,2.524,62.143,118.071,175.619,180.214
1308,49.976,5.143,30.857,3.190,55.119,34.048,80.833,89.167
1309,17.786,0.952,24.857,1.071,18.738,25.929,42.643,44.667
1310,7.429,0.024,41.381,1.929,7.452,43.310,48.810,50.762
1311,516.810,74.310,623.619,71.357,591.119,694.976,1140.429,1286.095
1312,92.881,3.214,249.571,14.310,96.095,263.881,342.452,359.976
1313,5.071,0.786,18.262,2.095,5.857,20.357,23.333,26.214
1401,51.810,4.190,0.000,0.000,56.000,0.000,51.810,56.000
1402,379.095,17.214,0.000,0.000,396.310,0.000,379.095,396.310
1403,220.643,9.619,0.000,0.000,230.262,0.000,220.643,230.262
1404,52.714,1.452,0.000,0.000,54.167,0.000,52.714,54.167
1405,18.524,0.095,0.000,0.000,18.619,0.000,18.524,18.619
1406,43.405,0.381,0.000,0.000,43.786,0.000,43.405,43.786
1407,167.452,2.500,0.000,0.000,169.952,0.000,167.452,169.952
1408,730.643,58.857,247.595,11.667,789.500,259.262,978.238,1048.762
1409,21.690,0.048,0.000,0.000,21.738,0.000,21.690,21.738
1410,442.476,18.214,230.476,11.714,460.690,242.190,672.952,702.881
1411,134.619,4.833,0.000,0.000,139.452,0.000,134.619,139.452
1412,420.286,7.643,0.000,0.000,427.929,0.000,420.286,427.929
1413,170.143,4.810,0.000,0.000,174.952,0.000,170.143,174.952
1414,280.310,4.262,0.000,0.000,284.571,0.000,280.310,284.571
1415,173.119,1.571,0.000,0.000,174.690,0.000,173.119,174.690
1416,490.310,53.095,200.690,22.024,543.405,222.714,691.000,766.119
1417,46.286,2.810,0.000,0.000,49.095,0.000,46.286,49.095
1418,188.048,2.333,0.000,0.000,190.381,0.000,188.048,190.381
1501,183.095,3.667,0.000,0.000,186.762,0.000,183.095,186.762
1502,104.476,2.548,1.000,0.024,107.024,1.024,105.476,108.048
1503,246.286,5.952,140.238,5.500,252.238,145.738,386.524,397.976
1504,83.262,2.714,0.000,0.000,85.976,0.000,83.262,85.976
1505,179.095,3.786,255.595,10.286,182.881,265.881,434.690,448.762
1506,330.690,10.619,255.071,9.500,341.310,264.571,585.762,605.881
1507,33.357,0.214,167.310,2.167,33.571,169.476,200.667,203.048
1508,49.714,1.881,25.714,4.524,51.595,30.238,75.429,81.833
1509,227.071,2.524,0.000,0.000,229.595,0.000,227.071,229.595
1510,99.286,5.976,78.333,4.381,105.262,82.714,177.619,187.976
1511,374.214,7.429,140.452,3.095,381.643,143.548,514.667,525.190
1512,439.714,15.857,30.833,0.714,455.571,31.548,470.548,487.119
1513,490.071,13.452,0.000,0.000,503.524,0.000,490.071,503.524
1514,411.357,7.595,179.857,4.405,418.952,184.262,591.214,603.214
1515,14.214,0.571,6.881,0.190,14.786,7.071,21.095,21.857
1516,19.548,0.857,0.000,0.000,20.405,0.000,19.548,20.405
1517,1124.333,122.071,358.167,60.048,1246.405,418.214,1482.500,1664.619
