ClusterName,StopCode,Lat,Long,StopName,TAZ
חדרה-נתניה,47781,32.495199,35.098339,ערערה/כב. ראשי 6,3815.000000
מרחב נצרת ג'י.בי טורס,52439,32.738502,35.325919,מרכז פיס לקשיש,1904.000000
מרחב נצרת ג'י.בי טורס,52454,32.790661,35.323388,מסגד חדש,1902.000000
קווי נצרת – שאמ,53941,32.711105,35.304287,ספוריה/אל-ח'אנוק,1923.000000
מרחב נצרת ג'י.בי טורס,52460,32.772864,35.305600,היב 4,1902.000000
חדרה-נתניה,47820,32.400700,35.035625,נאבלס/דאר אלסנאם,4021.000000
קווי נצרת - נסיעות ותיירות,47976,32.420135,35.035247,אלקסמי/ביר בורי,4019.000000
מרחב נצרת ג'י.בי טורס,52463,32.813221,35.378176,שכונה צפונית,1938.000000
הגליל,56987,32.795478,35.178941,אלתין/אלקהווה,423.000000
מרחב נצרת ג'י.בי טורס,52466,32.806462,35.364223,קופת חולים כללית,1938.000000
קווי נצרת - נסיעות ותיירות,52466,32.806313,35.364288,קופת חולים כללית,1938.000000
קווי נצרת – שאמ,52482,32.683622,35.275059,101/102,1933.000000
קווי נצרת – שאמ,52483,32.685059,35.270392,101/124,1933.000000
חיפה עירוני,47882,32.822742,34.988190,בית חולים איטלקי,1302.000000
הגליל,52706,32.829132,35.181393,כניסה מזרחית,419.000000
קווי נצרת - נסיעות ותיירות,56583,32.813127,35.258720,רחוב 39/אלנבעה,1006.000000
קווי נצרת – שאמ,53946,32.698133,35.305651,א-שוהדאא,1926.000000
קווי נצרת – שאמ,53947,32.694218,35.305855,שוק נוף הגליל,2011.000000
חדרה-נתניה,47908,32.427591,35.031457,באקה/כניסה צפ.,4019.000000
מרחב נצרת ג'י.בי טורס,52521,32.811613,35.374933,מועדון קשישים,1938.000000
מרחב נצרת ג'י.בי טורס,52524,32.813046,35.377903,שכונה צפונית,1938.000000
חדרה-נתניה,47976,32.418892,35.035538,אלקסמי/ביר בורי,4019.000000
חיפה עירוני,43033,32.832169,34.978779,העליה השניה/נהלל,1501.000000
קווי נצרת - נסיעות ותיירות,47977,32.422264,35.034648,"בי""ס אבן ח'לדון",4019.000000
חיפה עירוני,43034,32.828625,34.983017,צומת דולפין,1503.000000
קווי נצרת - נסיעות ותיירות,52526,32.896885,35.394140,אלחריק ד,3506.000000
מטרונית חיפה,43035,32.829038,34.980635,קריית אליעזר,1505.000000
קווי נצרת - נסיעות ותיירות,52528,32.895547,35.394122,אלחריק א,3506.000000
חדרה-נתניה,48007,32.511141,35.064314,קריית חינוך,3818.000000
קווי נצרת - נסיעות ותיירות,48033,32.504777,35.054675,קובאא אלדאארי א,3819.000000
חדרה-נתניה,48036,32.499694,35.052189,אלערק ו,3820.000000
חדרה-נתניה,48039,32.496774,35.036445,אלסנדחאוי ו,3820.000000
קווי נצרת – שאמ,53956,32.698919,35.309912,הציונות/החטיבות,2010.000000
קווי נצרת – שאמ,53986,32.689219,35.316513,המורד/יזרעאל,2011.000000
קווי נצרת – שאמ,54015,32.709700,35.325084,בית גיל הזהב,2003.000000
קווי נצרת - נסיעות ותיירות,54016,32.735374,35.326019,צומת משהד,1917.000000
קווי נצרת – שאמ,55207,32.692996,35.317745,מרכז דדו/יזרעאל,2007.000000
הגליל,55242,32.790917,35.195065,מפעל קדמני,420.000000
קווי נצרת – שאמ,55259,32.696927,35.291759,פאולוס/דיאנה,1925.000000
קווי נצרת - נסיעות ותיירות,52675,32.934380,35.367435,ראמה ה/יציאה,318.000000
קווי נצרת – שאמ,53948,32.718136,35.306540,'רחוב 1029 א,1922.000000
מרחב נצרת ג'י.בי טורס,53949,32.711355,35.306622,אל-חאנוק/הציונות,2002.000000
קווי נצרת – שאמ,53960,32.694293,35.310455,השושנים/ציפורן,2009.000000
קלנדיה-בית חנינה,3358,31.799228,35.233484,אונ' העברית/ברלב,
קווי נצרת – שאמ,53961,32.705830,35.310517,"בי""ס סנט ג'וזף",1909.000000
קווי נצרת – שאמ,53974,32.710351,35.313391,מוכ.מוהנה/ציפורי,2002.000000
קווי נצרת – שאמ,53977,32.709071,35.313584,חרמון/כרמל,2002.000000
קווי נצרת – שאמ,53979,32.690739,35.313705,החצב/יזרעאל,2011.000000
קווי נצרת – שאמ,53981,32.697455,35.314149,א.שרון/מ.יצחק,2007.000000
מרחב נצרת ג'י.בי טורס,53982,32.721787,35.314978,מ.מקומית ריינה,1921.000000
קווי נצרת - נסיעות ותיירות,53982,32.721787,35.314978,מ.מקומית ריינה,1921.000000
קווי נצרת – שאמ,53982,32.721787,35.314978,מ.מקומית ריינה,1921.000000
מטרונית חיפה,46217,32.806103,34.958187,נווה דוד,1514.000000
קווי נצרת – שאמ,53983,32.688610,35.315196,יעל/יזרעאל,2011.000000
קווי נצרת – שאמ,53984,32.692073,35.315532,חרוד/החצב,2011.000000
קווי נצרת – שאמ,58997,32.706642,35.277481,ג'בל אל-מוקביי,1924.000000
קווי נצרת - נסיעות ותיירות,53984,32.692073,35.315532,חרוד/החצב,2011.000000
