scenario,area,name,on the line,total origins 2022,total origins year,total destinations 2022,total destinations year,transit origins 2022,transit origins year,origin growth
DRYRUN_BU2025,26,Haifa Airport,False,741.5,701.7,2572.1,2562.2,13.9,14.4,0.9
DRYRUN_BU2025,27,Nesher Lower,False,4574.3,4347.9,6632.9,6492.0,236.5,225.2,1.0
DRYRUN_BU2025,28,Kiryat Ata South,False,25480.7,25454.0,22457.2,22211.8,1964.9,1980.0,1.0
DRYRUN_stress,1,TiratCarmel,True,16963.5,20016.7,14093.0,16347.1,931.4,1085.5,1.2
DRYRUN_stress,2,Matam,True,1063.8,3446.0,5230.1,6964.3,363.2,1079.8,3.2
DRYRUN_stress,3,Neot Peres,True,623.2,660.7,2520.9,2663.0,13.2,14.3,1.1
DRYRUN_stress,4,Neve David,True,2844.1,2857.0,1256.2,1256.1,1123.7,1126.4,1.0
DRYRUN_stress,5,Ein Hayam,True,4047.9,4218.0,1481.7,1533.2,997.2,1031.2,1.0
DRYRUN_stress,6,Bat Galim,True,3054.8,2784.6,7136.0,7282.2,472.4,471.3,0.9
DRYRUN_stress,7,Kiryat Eliezer,True,4145.2,4235.0,2773.6,2885.6,931.1,957.6,1.0
DRYRUN_stress,8,Hamoshava,True,3415.5,3564.7,3293.0,3454.5,295.6,313.0,1.0
DRYRUN_stress,9,Lower City,True,2282.1,2309.7,5339.5,5569.0,301.6,313.1,1.0
DRYRUN_stress,10,Hadar Carmel,True,3328.8,3502.1,4900.1,5212.2,459.3,490.4,1.1
DRYRUN_stress,11,Namal,True,1345.4,1347.0,2535.7,2575.3,506.3,507.1,1.0
DRYRUN_stress,12,Neve Yosef,True,676.8,709.0,1167.0,1232.3,376.6,395.0,1.0
DRYRUN_stress,13,Hamifrats,True,1373.0,1354.3,6668.7,6957.6,606.1,601.5,1.0
DRYRUN_stress,14,Hutzot,True,1612.7,1622.4,4735.8,4897.3,74.9,75.5,1.0
DRYRUN_stress,15,Kiryat Nahum,False,828.0,771.0,5951.7,6406.9,105.6,107.5,0.9
DRYRUN_stress,16,Kiryat Ata Center,True,7582.2,7332.6,7600.2,7490.5,780.9,789.8,1.0
DRYRUN_stress,17,Kiryat Bialik South,True,3154.5,3318.1,3665.3,3776.9,81.8,86.3,1.1
DRYRUN_stress,18,Kiryat Ata East,False,4957.0,4934.7,1361.8,1335.7,891.4,897.5,1.0
DRYRUN_stress,19,Shefaram,True,3271.2,3276.2,2293.5,2416.3,114.4,115.6,1.0
DRYRUN_stress,20,Adi,False,2748.6,2880.5,1377.6,1412.4,25.4,26.1,1.0
DRYRUN_stress,21,Alon Hagalil,False,5640.1,5939.0,5192.6,5472.2,6.5,6.9,1.1
DRYRUN_stress,22,Tzipori,False,2008.3,2094.5,1895.2,2037.0,0.2,0.2,1.0
DRYRUN_stress,23,Nazareth Area,True,19405.1,20615.1,18285.8,19653.7,2130.0,2252.9,1.1
DRYRUN_stress,24,Kiryat Yam,False,23082.2,23862.3,15065.4,15435.7,4487.0,4588.0,1.0
DRYRUN_stress,25,Kiryat Motzkin-Bialik,False,55738.0,57920.9,48505.5,50464.6,5323.1,5560.2,1.0
DRYRUN_stress,26,Haifa Airport,False,741.5,701.4,2572.1,2569.9,13.9,14.4,0.9
DRYRUN_stress,27,Nesher Lower,False,4574.3,4368.2,6632.9,6510.9,236.5,225.3,1.0
DRYRUN_stress,28,Kiryat Ata South,False,25480.7,25383.9,22457.2,22213.2,1964.9,1987.3,1.0
