ID,TAZ_1270,TAZ_250,TAZ_33,TAZ_15,CITY,NEIGHBOURH,DISTRIC,SUBDISTRIC,AREA,ID2,SUPERZONE,TAZ_NUMBER,SZ_ARZI_21,SZARZI_OLD,TABAAT,ARZI_1270,ARZI_250,SZ_NEW,longtitude,latitude
606,100146,2000199,300021,40000009,בת ים,שיכון עמידר,5,51,830484,,,,,,,,,99,34.753845,32.02802
615,100147,2000199,300021,40000009,בת ים,רמת יוסף,5,51,562149,,,,,,,,,99,34.757371,32.018955
613,100148,2000195,300021,40000009,בת ים,רמת הנשיא,5,51,596389,,,,,,,,,99,34.756104,32.011695
612,100149,2000195,300021,40000009,בת ים,קרית באבוב,5,51,600716,,,,,,,,,99,34.753907,32.006235
644,100150,2000197,300021,40000009,בת ים,"אזור תעשיה-החרושת, הקוממיות",5,51,710366,,,,,,,,,99,34.746279,32.008149
643,100151,2000183,300021,40000009,חולון,ימית 2000,5,51,299827,,,,,,,,,99,34.795686,32.003211
641,100152,2000184,300021,40000009,חולון,"אזורי תעשיה ב' וג', קרית שרת (מזרח ומרכז).",5,51,314175,,,,,,,,,99,34.794669,32.007894
639,100153,2000184,300021,40000009,חולון,קרית שרת (דרום מערב ומרכז),5,51,406505,,,,,,,,,99,34.787535,32.005648
630,100154,2000184,300021,40000009,חולון,רסקו ב',5,51,592907,,,,,,,,,99,34.788047,32.012968
628,100155,2000184,300021,40000009,חולון,בלוקונים ונווה ארזים,5,51,941191,,,,,,,,,99,34.79217,32.017353
627,100156,2000185,300021,40000009,חולון,רסקו ג' וא',5,51,477579,,,,,,,,,99,34.782507,32.018657
626,100157,2000184,300021,40000009,מקווה ישראל,מקווה ישראל,5,51,1618915,,,,,,,,,99,34.783256,32.029568
633,100158,2000185,300021,40000009,חולון,שיכון עממי ואגרובנק,5,51,589443,,,,,,,,,99,34.778971,32.025124
632,100159,2000188,300021,40000009,חולון,בית חולים וולפסון,5,51,282573,,,,,,,,,99,34.763624,32.035493
654,100160,2000188,300021,40000009,חולון,חולון הצעירה וחולון הצעירה,5,51,787707,,,,,,,,,99,34.763406,32.029334
663,100161,2000188,300021,40000009,חולון,גרין,5,51,933096,,,,,,,,,99,34.771558,32.030065
661,100162,2000185,300021,40000009,חולון,קרית עבודה,5,51,819741,,,,,,,,,99,34.772387,32.017837
659,100163,2000188,300021,40000009,חולון,נאות רפאל,5,51,708530,,,,,,,,,99,34.764682,32.018384
657,100164,2000187,300021,40000009,חולון,נווה רמז,5,51,424392,,,,,,,,,99,34.76923,32.011138
652,100165,2000187,300021,40000009,חולון,שיכון ותיקים,5,51,624521,,,,,,,,,99,34.765318,32.009463
651,100166,2000187,300021,40000009,חולון,קרית מיכה,5,51,267411,,,,,,,,,99,34.757451,32.004234
650,100167,2000186,300021,40000009,חולון,"קרית בן גוריון (מערב), ג'סי כהן (דרום)",5,51,387129,,,,,,,,,99,34.763471,32.003116
649,100168,2000197,300021,40000009,חולון,בית קברות חולון,5,51,1316114,,,,,,,,,99,34.754135,31.998012
653,100169,2000186,300021,40000009,חולון,קרית בן גוריון,5,51,771161,,,,,,,,,99,34.770734,31.996042
675,100170,2000186,300021,40000009,חולון,ק' יצחק רבין,5,51,395944,,,,,,,,,99,34.77203,32.00232
674,100171,2000186,300021,40000009,חולון,קרית פנחס אילון (מערב),5,51,477537,,,,,,,,,99,34.773442,32.008371
684,100172,2000186,300021,40000009,חולון,"נאות שושנים. דגניה, ההסתדרות",5,51,543028,,,,,,,,,99,34.779617,32.013581
681,100173,2000186,300021,40000009,חולון,קרית פנחס אילון (מזרח ודרום),5,51,449307,,,,,,,,,99,34.780781,32.008174
680,100174,2000183,300021,40000009,חולון,אזור תעשיה א',5,51,1113781,,,,,,,,,99,34.797526,32.022912
678,100175,2000183,300021,40000009,חולון,אזור תעשיה ג',5,51,1511266,,,,,,,,,99,34.803267,32.008074
670,100176,2000139,300014,40000006,הוד השרון,רמתיים ושיכון פועלים,4,42,2740823,,,,,,,,,99,34.878261,32.157917
669,100177,2000139,300014,40000006,הוד השרון,הדר וגני צבי,4,42,2062039,,,,,,,,,99,34.883799,32.149109
668,100178,2000139,300014,40000006,הוד השרון,רמת מנחם ורסקו,4,42,5180264,,,,,,,,,99,34.8896,32.141994
667,100179,2000137,300014,40000006,מועצה אזורית דרום השרון,"כפר מלל ורמות השבים""",4,42,1756304,,,,,,,,,99,34.885196,32.167321
361,100180,2000139,300014,40000006,הוד השרון,גיל עמל והפועל המזרחי,4,42,2394312,,,,,,,,,99,34.914246,32.15375
360,100181,2000139,300014,40000006,הוד השרון,שיכון בלוקונים,4,42,1323711,,,,,,,,,99,34.914358,32.164008
359,100182,2000139,300014,40000006,הוד השרון,מגדיאל,4,42,1899852,,,,,,,,,99,34.901675,32.161058
366,100183,2000137,300014,40000006,רעננה,קרית אליהו גולומב (מערב),4,42,1048433,,,,,,,,,99,34.880417,32.187915
365,100184,2000137,300014,40000006,רעננה,קרית דוד רמז,4,42,1247981,,,,,,,,,99,34.879456,32.182059
363,100185,2000136,300014,40000006,רעננה,"קרית וייצמן וקרית שזר""",4,42,952960,,,,,,,,,99,34.869463,32.190051
362,100186,2000136,300014,40000006,רעננה,רעננה: קרית גנים ובית לווינשטיין,4,42,975482,,,,,,,,,99,34.859269,32.187475
358,100187,2000136,300014,40000006,רעננה,קרית שרת ונווה זמר,4,42,3815168,,,,,,,,,99,34.855956,32.200193
357,100188,2000136,300014,40000006,רעננה,לב הפארק,4,42,2005819,,,,,,,,,99,34.845593,32.188682
356,100189,2000136,300014,40000006,רעננה,"אחוזה, המלכים, הלוטוס, דיין משה, הפרחים",4,42,689332,,,,,,,,,99,34.857495,32.180374
383,100190,2000136,300014,40000006,רעננה,"גורדון, אחוזה, דיין משה, יהודה הלוי, הרצל",4,42,493298,,,,,,,,,99,34.865279,32.178139
382,100191,2000136,300014,40000006,רעננה,"מחלף חן""",4,42,735438,,,,,,,,,99,34.864323,32.173616
381,100192,2000137,300014,40000006,רעננה,"גבעת חן""",4,42,2677935,,,,,,,,,99,34.875035,32.171673
380,100193,2000128,300014,40000006,כפר סבא,כפר סבא: אזור תעסוקה צומת רעננה,4,42,231241,,,,,,,,,99,34.888589,32.173884
387,100194,2000138,300014,40000006,רעננה,פארק מסחר ותעשיה רעננה צפון,4,42,1535566,,,,,,,,,99,34.880892,32.199966
386,100195,2000113,300017,40000007,גבעת שמואל,גיורא ופרדס רוזנבלום,4,42,1277432,,,,,,,,,99,34.849039,32.081045
385,100196,2000113,300017,40000007,גבעת שמואל,רמת אייל ורמת הדר,4,42,1340153,,,,,,,,,99,34.8519,32.072719
384,100197,2000114,300016,40000007,פתח תקוה,מחלף הירקון וכפר הבפטיסטים,4,42,4234831,,,,,,,,,99,34.897571,32.116906
379,100198,2000114,300016,40000007,פתח תקוה,פארק תעשיה אזורים,4,42,1208576,,,,,,,,,99,34.877945,32.121947
378,100199,2000114,300016,40000007,פתח תקוה,רכבת קרית אריה אצטדיון המושבה ובית עלמין ירקון,4,42,3809307,,,,,,,,,99,34.863207,32.109797
895,100200,2000114,300016,40000007,פתח תקוה,קרית אריה,4,42,751393,,,,,,,,,99,34.851756,32.097161
892,100201,2000114,300016,40000007,פתח תקוה,אבשלום גיסין,4,42,1646306,,,,,,,,,99,34.860457,32.097157
906,100202,2000114,300016,40000007,פתח תקוה,אזור תעשיה סגולה,4,42,1905523,,,,,,,,,99,34.889923,32.106085
905,100203,2000114,300016,40000007,פתח תקוה,בית עלמין סגולה,4,42,424956,,,,,,,,,99,34.886835,32.10174
903,100204,2000112,300016,40000007,פתח תקוה,אם המושבות החדשה,4,42,829157,,,,,,,,,99,34.880176,32.102993
901,100205,2000112,300016,40000007,פתח תקוה,"טבצ'ניק דוד, דנקנר מאיר, גרינשפן",4,42,737702,,,,,,,,,99,34.874557,32.094714
957,100206,2000112,300016,40000007,פתח תקוה,הדר המושבות (אם המושבות הישנה),4,42,605148,,,,,,,,,99,34.873304,32.102525
956,100207,2000112,300016,40000007,פתח תקוה,"שיפר (דרום), נווה מעוז, שיפר (צפון)",4,42,371440,,,,,,,,,99,34.891044,32.096908
954,100208,2000112,300016,40000007,פתח תקוה,"רוטשילד, פינסקר, חלוצת הפרדסנות",4,42,359140,,,,,,,,,99,34.882909,32.094907
952,100209,2000113,300017,40000007,פתח תקוה,קרית מטלון,4,42,347632,,,,,,,,,99,34.849161,32.089164
936,100210,2000107,300016,40000007,פתח תקוה,נווה גנים ונווה עוז,4,42,746184,,,,,,,,,99,34.863744,32.080365
