scenario,SZ,population 2022,population year,trips per resident 2022,trips per resident year
HS_2050,24,62776.6206,88977.0000,0.5333,0.5377
HS_2050,25,27262.5015,38927.0000,0.8412,0.8432
HS_2050,30,71089.3269,92145.0000,0.5223,0.5419
HS_2050,31,53839.3778,82022.0000,0.5748,0.6054
HS_2050,32,68273.0464,106473.0000,0.7643,0.7347
HS_2050,33,54300.9720,111949.0000,0.5365,0.5224
HS_2050,34,91843.5959,136127.0000,0.6084,0.5801
HS_2050,35,122166.4218,253779.0000,0.5798,0.5547
HS_2050,36,123263.4466,212468.0000,0.5134,0.5257
HS_2050,37,32073.3849,51175.0000,0.7444,0.7893
HS_2050,38,165315.3202,276770.0000,0.3108,0.3281
HS_2050,39,111164.3242,201084.0000,0.6979,0.7025
HS_2050,40,155315.3994,358316.0000,0.5129,0.4801
