scenario,layer,link,1→23 2022,1→23 year,23→1 2022,23→1 year
HS_2050,transit,Ein Hayam – Bat Galim,1847.2,3048.1,1000.8,1565.7
HS_2050,transit,Bat Galim – Kiryat Eliezer,1652.5,2770.5,1119.7,1714.7
HS_2050,transit,Kiryat Eliezer – Hamoshava,1629.1,2618.8,772.0,1193.7
HS_2050,transit,Hamoshava – Lower City,1768.1,2771.4,779.2,1187.0
HS_2050,transit,Lower City – Hadar Carmel,1238.1,2161.5,1093.2,1465.0
HS_2050,transit,Hadar Carmel – Namal,884.6,1509.9,1178.2,1485.0
HS_2050,transit,Namal – Neve Yosef,856.3,1484.9,870.6,1173.8
HS_2050,transit,Neve Yosef – Hamifrats,508.5,786.1,718.7,975.2
HS_2050,transit,Hamifrats – Hutzot,305.2,488.0,622.4,945.9
HS_2050,transit,Hutzot – Kiryat Ata Center,120.5,255.0,666.2,1019.5
HS_2050,transit,Kiryat Ata Center – Kiryat Bialik South,43.8,102.6,505.1,620.8
HS_2050,transit,Kiryat Bialik South – Shefaram,3.2,7.9,510.5,647.8
HS_2050,transit,Shefaram – Nazareth Area,2.5,6.8,445.0,552.5
HS_2050,total,TiratCarmel – Matam,3622.8,5859.3,1297.7,2958.6
HS_2050,total,Matam – Neot Peres,2879.4,5644.5,3158.7,5462.7
HS_2050,total,Neot Peres – Neve David,2824.7,6717.0,3793.3,6776.6
HS_2050,total,Neve David – Ein Hayam,4190.5,8212.1,3705.5,6551.6
HS_2050,total,Ein Hayam – Bat Galim,6096.9,11084.4,3039.5,5664.2
HS_2050,total,Bat Galim – Kiryat Eliezer,5973.0,10628.6,5950.6,9068.3
HS_2050,total,Kiryat Eliezer – Hamoshava,6187.6,10342.1,4266.9,6235.7
HS_2050,total,Hamoshava – Lower City,5218.1,8746.4,2942.7,4549.6
HS_2050,total,Lower City – Hadar Carmel,4036.1,7117.0,3776.9,5345.0
HS_2050,total,Hadar Carmel – Namal,2709.8,4435.4,3347.7,4657.2
HS_2050,total,Namal – Neve Yosef,2525.4,4285.8,3384.2,4627.3
HS_2050,total,Neve Yosef – Hamifrats,1940.2,3101.8,3130.4,4207.7
HS_2050,total,Hamifrats – Hutzot,787.4,1424.7,3713.5,5123.1
HS_2050,total,Hutzot – Kiryat Ata Center,425.3,938.9,3775.3,5308.5
HS_2050,total,Kiryat Ata Center – Kiryat Bialik South,309.4,804.6,3223.1,3577.4
HS_2050,total,Kiryat Bialik South – Shefaram,206.4,545.8,1565.1,1710.6
HS_2050,total,Shefaram – Nazareth Area,239.1,529.9,934.1,1145.0
