PerID3,HHID,SurveyDay,placeno,o,d,share,w,comp,transit,new_wf,Age,age_grp,female,licence,HHnCars,licensed_drivers,car_seg,employed,student,paid_parking,sector,HHSIZE,purpose,mainmode,car_gc,bus_gc,brt_gc,bus_ivt,bus_walk,bus_wait,bus_transfers,car_ivt,tr_best_gc,has_brt,dGC,dGC_best,dist_km,band,w_norm,transit_lbl
3-24000076878-3,24000076878.00000,2,3,206,203,0.71314,27.15279,CAR,0,38.07486,3.00000,0-17,True,False,1.00000,2.00000,no_licence,False,False,False,general,3.00000,NHB,11,13.60000,25.98000,27.57000,11.35000,6.59000,0.73000,0.00000,13.60000,25.98000,1,12.38000,12.38000,3.02113,3-6,0.46949,car
3-24000076878-3,24000076878.00000,2,3,206,204,0.28686,10.92208,CAR,0,38.07486,3.00000,0-17,True,False,1.00000,2.00000,no_licence,False,False,False,general,3.00000,NHB,11,8.36000,18.38000,20.04000,9.84000,3.57000,0.70000,0.00000,8.36000,18.38000,1,10.02000,10.02000,2.20998,<3,0.18885,car
3-24000078273-1,24000078273.00000,1,2,205,104,1.00000,63.29606,BUS,1,63.29606,70.00000,65+,True,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,HBO,5,26.76000,47.67000,47.67000,33.75000,3.96000,3.00000,0.00000,26.76000,47.67000,1,20.91000,20.91000,10.64129,10-20,1.09444,transit
3-24000078326-1,24000078326.00000,1,2,205,208,0.09740,4.39450,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,HBO,3,12.18000,17.47000,21.40000,10.73000,2.34000,1.03000,0.00000,12.18000,17.47000,1,5.29000,5.29000,3.60260,3-6,0.07598,transit
3-24000078326-1,24000078326.00000,1,2,205,209,0.15146,6.83321,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,HBO,3,16.70000,26.31000,28.78000,16.77000,3.00000,1.76000,0.00000,16.70000,26.31000,1,9.61000,9.61000,5.39735,3-6,0.11815,transit
3-24000078326-1,24000078326.00000,1,3,208,103,0.02950,1.33094,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,NHB,3,22.18000,41.56000,41.56000,27.09000,4.24000,3.00000,0.00000,22.18000,41.56000,1,19.38000,19.38000,8.17102,6-10,0.02301,transit
3-24000078326-1,24000078326.00000,1,3,208,104,0.04338,1.95707,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,NHB,3,18.63000,35.89000,35.89000,23.02000,4.94000,1.50000,0.00000,18.63000,35.89000,1,17.26000,17.26000,7.22264,6-10,0.03384,transit
3-24000078326-1,24000078326.00000,1,3,209,103,0.04415,1.99174,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,NHB,3,20.81000,34.47000,34.47000,21.04000,3.71000,3.00000,0.00000,20.81000,34.47000,1,13.66000,13.66000,7.43212,6-10,0.03444,transit
3-24000078326-1,24000078326.00000,1,3,209,104,0.06492,2.92873,BUS,1,45.11611,28.00000,25-34,False,False,0.00000,0.00000,no_car_hh,True,False,False,general,1.00000,NHB,3,18.39000,28.80000,28.80000,16.97000,4.41000,1.50000,0.00000,18.39000,28.80000,1,10.41000,10.41000,6.18558,6-10,0.05064,transit
3-24000079389-1,24000079389.00000,1,2,205,203,0.71314,61.02066,CAR,0,85.56592,73.00000,65+,False,True,1.00000,2.00000,competition,False,False,False,general,2.00000,HBO,10,9.72000,16.44000,21.01000,3.77000,5.62000,0.71000,0.00000,9.72000,16.44000,1,6.72000,6.72000,2.16855,<3,1.05510,car
3-24000079389-1,24000079389.00000,1,2,205,204,0.28686,24.54526,CAR,0,85.56592,73.00000,65+,False,True,1.00000,2.00000,competition,False,False,False,general,2.00000,HBO,10,7.37000,8.68000,13.48000,2.26000,2.61000,0.60000,0.00000,7.37000,8.68000,1,1.31000,1.31000,0.91997,<3,0.42441,car
3-24000079389-1,24000079389.00000,1,3,203,205,0.64835,55.47652,CAR,0,85.56592,73.00000,65+,False,True,1.00000,2.00000,competition,False,False,False,general,2.00000,HBO,10,10.47000,12.41000,16.36000,4.40000,3.28000,0.73000,0.00000,10.47000,12.41000,1,1.94000,1.94000,2.16855,<3,0.95923,car
