stop_id,stop_code,stop_name,x,y,TAZ
1205,40224,קופלוביץ/וייצמן,193258.2,712149.1,3912
1206,40225,הרברט סמואל/חטיבת גולני,193230.9,704584.8,4012
1207,40227,הנשיא וייצמן/ירושלים,193301.1,704908.1,4015
1208,40228,צומת אור עקיבא למערב,193339.9,711953.3,3912
1209,40230,צומת אור עקיבא למזרח,193358.3,711923.5,3912
1210,40232,חטיבת גולני/חברת עזרא,193385.9,704535.8,4012
1213,40237,צה''ל/ארלוזורוב,193434.0,704931.6,4011
1215,40239,חטיבת הנח''ל/חברת עזרא,193493.8,704308.5,4012
1216,40240,צומת בית חנניה,193552.5,715496.1,3908
1217,40241,צומת בית חנניה,193571.4,715632.2,3908
1219,40243,בית חנניה,193615.4,714362.8,3906
1220,40244,בית חנניה,193638.9,714505.6,3908
1222,40246,צה''ל/האקליפטוס,193625.8,705063.6,4011
1223,40247,צה''ל/האקליפטוס,193686.9,705081.0,4011
1225,40249,צומת בנימינה,193676.1,713810.0,3906
1227,40251,צומת בנימינה,193748.6,713735.7,3907
1228,40252,מתחם מיקס/צה''ל,193824.1,705249.2,4011
1229,40253,צומת מעגן מיכאל,193825.3,718049.0,2507
1230,40254,צומת מעגן מיכאל,193893.5,718161.2,2507
1231,40255,מתחם מיקס/צה''ל,193925.5,705314.8,4011
1232,40256,צה''ל/ארבע אגודות,193991.0,705411.4,4005
1233,40257,זיסו/יפו,199160.7,748088.7,1504
1234,40258,דרך העצמאות/הנדיב,194130.0,714439.4,3906
1236,40260,דרך העצמאות/נורית,194189.9,714805.0,3906
1238,40262,חטיבת הנחל/נחל צין,194253.1,704158.1,4012
1243,40267,משטרה/שדרות ניל''י,194471.2,719774.5,2503
1244,40268,בי''ס עירון,194466.0,704145.6,4012
1245,40269,דרך העצמאות/אירית,194440.2,714245.2,3906
1246,40270,בר יהודה/גשר פז,201969.3,744904.9,1726
1247,40271,בר יהודה/גשר גדוד 21,202347.3,744542.1,1727
1248,40272,דרך העצמאות/הנביאים,194623.3,714030.2,3906
1249,40273,הסתדרות/צומת קרית אתא,206753.9,746163.3,1203
1250,40274,651/השיטה,194698.9,709512.2,3921
1251,40275,יפה נוף/ההגנה,194770.5,704259.6,4004
1252,40276,651/השיטה,194812.9,709489.0,3921
1255,40279,דרך ניל''י/ההגנה,194883.6,714206.2,3906
1256,40280,צומת חדרה מזרח,194833.4,705975.9,4005
1257,40281,צומת חדרה מזרח,194950.5,705942.0,4005
1259,40284,651/השיטה,194975.1,709443.2,3921
1260,40285,החלוצים/צור,194939.6,719473.1,2506
1261,40287,החלוצים/צור,194933.5,719445.5,2506
1264,40290,העצמאות/התמרים,194989.2,704176.3,4004
1267,40293,אבא חושי/שער חיפה,201592.3,741216.9,1623
1268,40294,הפרדס/שפק,195025.5,703221.6,4013
1269,40295,דרך בירם/יגאל אלון,201374.6,742193.1,1622
1271,40297,מלל/יערי,201617.1,742787.0,1712
1274,40300,הגיבורים/נחלת ז'בוטינסקי,195138.2,714705.5,3904
1275,40301,דרך המסילה/דקל,195156.8,714281.4,3906
1276,40302,שפק/אילת,195135.8,702686.6,4004
1277,40303,הפרדס/השיזף,195217.2,702948.8,4004
1279,40305,651/חלמיש,195260.6,709497.6,3921
1281,40307,הפרדס/הפקאן,195269.3,702829.0,4004
1282,40308,העצמאות/שד. האביב,195283.8,703780.9,4004
1283,40309,טכניון/בית ספר להנדסאים,202857.7,742388.7,1718
1284,40310,חלמיש/תרשיש,195376.2,709934.6,3921
1285,40311,טכניון/הנדסה כימית,202850.6,742670.3,1718
1286,40312,צומת חדרה מזרח,194908.5,706029.9,4005
1288,40314,הפרדס/שקצר,195507.4,702540.4,4004
1292,40318,נשר/דוכיפת,195530.5,707843.7,3918
1294,40320,יגור/כפר חסידים,207686.4,739139.3,1105
1295,40321,תרשיש/גרניט,195532.9,710032.8,3921
1296,40322,מחלף יגור,207001.8,739737.6,1105
1298,40324,אנקור/נחליאלי,195591.0,707681.1,3918
1301,40327,ת. רכבת בנימינה,195587.7,713221.1,3907
1302,40328,התאנים/רבי ציון חדד,195598.7,702903.2,4004
1303,40330,השיזף/יציאת אירופה,195572.5,703359.4,4004
1304,40332,הפרדס/וולפברג,195663.9,702403.7,4004
1305,40333,השושנים,195692.2,702601.2,4004
1307,40335,זמיר/תחייה,195735.8,707983.7,3918
1310,40339,הרצל/יעבץ,195758.8,719963.4,2503
1311,40341,הרצל/שדרות נילי,195764.7,719785.5,2503
1313,40343,דרך הגרנות/הרצל,195773.8,719588.7,2503
1314,40345,נשר אצטדיון,205242.6,741266.8,1807
1315,40346,יציאת אירופה/גדות,195759.3,703177.0,4004
1318,40349,דרך למרחב/חבקוק,195864.5,708724.1,3918
1320,40351,השיקמה/התאנים,195781.9,702479.3,4004
1321,40352,בר יהודה\השיש,203486.1,743026.5,1811
1323,40355,המסילה/מלאכי,195848.7,709320.7,3919
1324,40356,דרך למרחב/חבקוק,195792.1,708755.2,3918
1326,40358,התחייה/הכרם,195857.6,708466.7,3918
1327,40359,כפר תפוז/652,195916.1,716524.1,3905
1328,40360,המסילה/מלאכי,195874.3,709329.6,3919
1330,40362,נשר אצטדיון,205235.8,741231.4,1807
1333,40365,מוסד סביון/652,195949.5,716595.4,3905
1334,40366,המייסדים/דרך הגרנות,195940.8,719532.8,2503
1336,40370,דרך למרחב/תחייה,195954.3,708689.0,3918
1340,40381,ספרייה/הדגן,196070.9,719496.9,2503
1344,40385,אדנים/מלאכי,195992.4,709377.9,3919
1345,40386,אנקור/חסידה,195983.6,707665.2,3918
1346,40388,צומת גן שמואל,196028.2,705941.2,4003
1348,40390,זבוטינסקי/הנדיב,196063.0,719956.2,2503
1350,40392,בית ספר צליל/השיקמה,196013.5,702496.6,4004
1354,40396,חסידה/בית אל,196114.7,707939.6,3918
1355,40397,דרך למרחב/הגאון,196120.1,708697.8,3918
1358,40401,דרך אהרון/חווה חקלאית,196205.6,719105.2,2505
1359,40402,דרך אהרון/דרך שרה,196165.2,719167.7,2505
1360,40403,השיקמה/גן ציבורי,196138.6,703046.2,4004
1361,40404,בית ספר אורט/כביש 652,196142.2,716910.6,3905
1363,40408,דרך למרחב/הגאון,196220.4,708669.1,3918
1364,40409,צומת עדה,196168.7,713016.9,3907
1365,40410,צומת גרנות/גן שמואל,196081.5,705978.4,4003
1367,40415,אורט השומרון/כביש 652,196156.6,716915.9,3905
1372,40420,צומת גרנות/גן שמואל,196243.8,705993.1,4003
1373,40421,גני רמת הנדיב/652,196223.4,717730.1,3905
1375,40423,גני רמת הנדיב/652,196252.3,717903.9,2505
1376,40424,צומת עדה,196264.2,712916.4,3907
1377,40425,בית אל/חשמונאים,196233.6,708065.8,3918
1379,40427,מפעלי חן/כביש 652,196252.4,717476.6,3905
1380,40428,בית ספר חורב/חשמונאים,196278.1,707873.9,3918
1381,40429,צומת עדה,196287.2,713011.9,3907
1384,40437,דרך אהרון/כביש 652,196349.5,718647.2,2505
1385,40438,חשמונאים/מודיעין,196300.3,708203.0,3918
1386,40439,חשמונאים/מודיעין,196310.0,708334.4,3918
1388,40441,דרך למרחב/חשמונאים,196426.3,708642.0,3918
1391,40446,דרך למרחב/חשמונאים,196416.7,708665.5,3918
1392,40447,חשמונאים/חגי,196413.3,709144.4,3919
1394,40449,דרך הים/דרך הרכבת,196336.2,709517.5,3919
1395,40450,דרך שרה/כ''ט בנובמבר,196577.3,719163.2,2504
1396,40451,דרך שרה/קדמה,196400.9,719250.9,2504
1397,40452,צומת אלון,196541.0,706134.8,4003
1398,40453,דרך למרחב/שבי ציון,196677.2,708629.1,3918
1402,40457,צומת אלון,196626.0,706267.9,4003
1403,40458,צומת תלמי אלעזר,196766.8,706224.3,3917
1404,40462,בית אריזה/דרך פיק''א,196727.1,706545.3,3918
1405,40463,בית אריזה/דרך פיק''א,196768.3,706638.4,3918
1409,40468,מצדה/מכבים,196811.1,708059.9,3918
1410,40470,דרך למרחב/תל צבי,196870.6,708599.2,3918
1411,40472,עציון/חברון,196911.6,708118.2,3918
1412,40474,גבעת נאה,196940.8,707178.3,3918
1413,40476,גבעת נאה,196951.9,707180.6,3918
1416,40481,מחנה   פרדות,197150.8,710933.9,3919
1417,40483,דרך למרחב/הבוטנים,197232.6,708763.6,3917
