stop_a,stop_b,routed_m,straight_m,covered_m,observed_min,n_trips,flag
1210,1197,975.62,493.05,975.62,3.26,4,ok
1210,2638,439.72,351.73,439.72,1.79,24,ok
1213,1223,317.33,293.73,317.33,0.51,7,ok
1216,1219,1173.85,1135.04,1173.85,1.28,29,ok
1216,4034,3207.05,1767.92,3207.05,5.96,2,ok
1217,1230,5430.14,2549.43,5430.14,4.85,21,ok
1217,16945,6945.20,6718.18,6945.20,6.91,1,ok
1217,39188,2678.60,2482.68,2678.60,2.63,1,ok
1219,1227,678.33,641.09,678.33,1.45,9,ok
1219,2574,711.06,700.27,711.06,1.47,20,ok
1220,1217,1125.92,1128.62,1125.92,1.21,11,ok_undirected
1220,35993,2699.70,1096.00,2699.70,4.24,10,ok
1222,1197,842.12,474.65,842.12,1.97,75,ok
1222,4018,557.82,342.41,557.82,1.30,16,ok
1223,1231,388.38,334.05,388.38,0.72,67,ok
1225,1217,1850.72,1825.21,1850.72,2.52,2,ok_undirected
1225,1220,795.17,696.59,795.17,1.60,21,ok_undirected
1225,35993,1883.96,1791.20,1883.96,2.60,2,ok
1227,38926,527.12,484.37,527.12,1.13,22,ok
1228,1197,1654.47,719.18,1654.47,3.45,9,ok
1228,1222,812.35,271.61,812.35,1.48,91,ok
1228,4018,1370.17,605.22,1370.17,2.77,1,ok
1229,1216,2622.78,2567.43,2622.78,2.43,16,ok
1229,35993,2630.02,2479.81,2630.02,2.48,8,ok
1230,16942,2590.17,1410.76,2034.34,2.85,19,ok
1230,36009,2253.91,1370.83,1698.07,2.62,3,ok
1231,1232,178.01,116.71,178.01,0.33,5,ok
1231,1257,1292.83,1201.67,1292.83,1.96,2,ok
1231,1372,2665.55,2415.49,2665.55,3.22,4,ok
1231,48296,587.13,589.40,587.13,1.02,62,ok
1232,1228,263.56,232.73,244.77,0.54,6,ok_undirected
1233,3611,799.13,445.13,743.75,2.47,3,ok
1234,1236,380.10,370.47,380.10,1.04,10,ok
1236,36075,543.56,423.88,543.56,1.50,10,ok
1238,17211,261.16,322.49,261.16,0.76,24,ok_undirected
1243,1261,1228.98,567.42,1228.98,2.70,5,ok_undirected
1243,1476,1225.96,570.29,1225.96,2.49,3,ok
1243,35083,2463.70,1521.34,580.41,5.61,2,ok
1243,38780,1205.60,487.80,1205.60,2.62,2,ok_undirected
1245,1234,395.31,365.97,395.31,1.06,10,ok
1246,1247,724.93,523.93,629.86,1.93,79,ok
1247,2402,1081.31,1041.02,920.83,1.59,76,ok_undirected
1247,3937,1838.22,956.75,1838.22,3.38,14,ok
1248,1245,302.61,282.40,302.61,0.76,3,ok
1248,36119,325.70,247.81,325.70,0.73,6,ok
1249,2175,1220.88,1178.71,1220.88,1.96,7,ok
1249,35633,935.68,720.63,935.68,1.82,12,ok
1249,3854,830.36,793.82,830.36,1.21,159,ok_undirected
1249,51258,3930.41,3754.01,3930.41,6.40,9,ok
1251,1238,567.34,527.26,567.34,1.44,11,ok_undirected
1252,1154,2215.65,2138.74,2215.65,2.23,1,ok_undirected
1252,1165,2316.14,2068.15,2316.14,2.16,4,ok
1252,44364,2389.29,2217.85,2316.92,2.83,2,ok
1255,17345,393.79,327.18,393.79,1.10,9,ok
1256,1228,2785.34,1243.70,2785.34,4.88,2,ok
1256,48297,667.53,643.61,667.53,0.97,82,ok
1257,1372,1372.71,1294.31,1372.71,1.26,60,ok
1259,16996,469.74,408.77,469.74,1.14,9,ok
1260,1476,65.58,104.03,65.58,0.12,5,ok
1260,1702,125.45,107.70,125.45,0.27,6,ok
1260,1703,372.83,396.37,372.83,0.71,1,ok
1261,16958,1005.11,410.25,1005.11,2.36,7,ok
1261,17223,606.82,325.77,606.82,1.47,13,ok
1264,1251,369.88,234.03,369.88,1.50,4,ok
1264,17447,260.81,239.81,260.81,1.08,15,ok
1267,2066,1934.46,1152.33,1934.46,4.49,2,ok
1267,3779,337.04,219.08,337.04,1.15,6,ok
1267,3860,262.12,239.65,262.12,0.75,107,ok
1268,3140,222.81,193.88,222.81,0.61,34,ok
1269,2066,167.63,164.11,167.63,0.37,54,ok
1271,2083,713.27,646.22,713.27,2.10,4,ok
1271,42830,255.68,254.38,255.68,0.83,75,ok
1274,1327,2044.87,1977.99,2044.87,2.44,6,ok_undirected
1274,1375,7548.37,3386.88,7548.37,13.22,2,ok
1274,1708,584.01,627.88,584.01,0.96,12,ok_undirected
1274,17462,2699.53,2530.62,2699.53,4.10,13,ok_undirected
1275,1274,848.82,424.51,848.82,1.87,26,ok
1275,36065,415.32,255.27,415.32,1.04,7,ok
1276,42985,320.47,291.46,320.47,0.78,33,ok
1277,1276,408.90,274.54,408.90,0.91,20,ok
1277,1288,512.40,501.01,512.40,1.16,14,ok
1279,1252,426.79,447.78,426.79,1.00,4,ok_undirected
1282,17473,320.84,300.41,320.84,0.71,19,ok
1282,51602,294.33,250.60,294.33,0.81,7,ok
1283,1285,358.34,281.69,358.34,0.84,4,ok
1283,3935,229.39,174.77,229.39,0.57,142,ok
1284,43459,139.16,76.30,139.16,0.28,3,ok_undirected
1284,43471,362.02,294.37,362.02,0.67,59,ok_undirected
1285,3938,333.65,298.12,333.65,0.66,139,ok
1288,1304,394.07,207.80,394.07,1.08,68,ok
1292,2928,146.86,126.12,146.86,0.40,37,ok
1294,3956,1890.93,1065.32,1890.93,2.18,41,ok
1294,3996,1041.51,1121.91,1041.51,1.16,49,ok
1295,3371,456.37,267.52,456.37,0.85,3,ok
1296,1636,,38714.41,,38.47,2,unreachable
1296,19456,,10583.16,,8.50,5,unreachable
1296,19799,,10078.18,,8.00,3,unreachable
1296,3999,2178.23,885.32,2178.23,2.04,61,ok_undirected
1298,1345,393.90,392.92,393.90,0.97,36,ok
1298,17233,527.20,489.21,527.20,1.32,1,ok
1302,42612,316.53,165.26,316.53,0.71,14,ok
1303,17246,335.05,241.90,335.05,0.76,26,ok
1304,1320,177.04,140.14,177.04,0.52,42,ok_undirected
1304,3425,0.00,51.89,0.00,0.15,13,no_coverage
1305,2639,0.00,93.66,0.00,0.33,14,no_coverage
1305,42613,150.93,110.12,150.93,0.48,34,ok
1307,1292,309.02,248.49,309.02,0.89,37,ok
1310,1311,161.16,178.00,161.16,0.51,20,ok
1310,35085,355.70,253.48,355.70,1.08,18,ok
1311,1313,238.45,197.01,238.45,0.68,24,ok
1313,1334,205.84,176.11,205.84,0.68,24,ok
1314,2765,1271.85,1030.00,1271.85,3.49,6,ok
1314,3934,373.24,334.05,373.24,0.75,2,ok
1315,1303,249.27,261.08,249.27,0.57,26,ok
1318,17232,527.19,339.97,517.61,1.27,31,ok
1320,1350,233.72,232.25,233.72,0.49,42,ok
1323,2916,255.18,326.11,255.18,0.49,43,ok_undirected
1324,1336,152.30,175.19,152.30,0.41,37,ok_undirected
1324,3395,194.73,136.56,194.73,0.53,34,ok_undirected
1326,1307,537.29,498.12,537.29,1.75,1,ok
1326,3396,88.23,71.51,88.23,0.21,6,ok
1326,4044,325.22,348.65,325.22,1.06,36,ok
1327,1367,547.30,459.73,547.30,0.61,18,ok
1327,1375,1491.33,1420.17,1491.33,1.88,6,ok
1328,16996,1058.78,563.71,1058.78,1.94,31,ok
1328,2549,2091.36,1860.70,2091.36,3.22,1,ok
1333,1707,1944.81,2010.99,1944.81,2.68,20,ok
