o,o_name,d,d_name,bus_ivt_observed_min,bus_ivt_scheduled_min,bus_trips_0609,bus_share_observed,brt_ivt_observed_min,brt_ivt_scheduled_min,brt_trips_0609,step29_scheduled_min
211,Bazan-Hutsot,302,KiryatYam A,20.517,20.117,48,0.966,56.152,65.833,26.000,20.120
211,Bazan-Hutsot,303,KiryatYam B+C,15.239,15.083,59,0.913,52.694,61.833,27.000,15.080
211,Bazan-Hutsot,304,KiryatHaim West,8.959,8.267,63,0.954,48.855,56.467,28.000,8.270
212,TsometKiryatAta,101,TsurShalom,12.975,16.717,153,0.978,9.635,16.717,70.000,16.720
212,TsometKiryatAta,102,Kiryon,8.600,12.000,142,1.000,6.627,12.000,49.000,12.000
212,TsometKiryatAta,103,KiryatBialik Center,5.919,9.450,156,0.999,5.086,9.450,49.000,9.450
212,TsometKiryatAta,104,KiryatHaim,2.504,2.717,204,0.996,1.018,2.033,78.000,2.720
212,TsometKiryatAta,202,Matam-NeotPeres,41.462,41.983,57,0.986,19.187,22.933,46.000,41.980
212,TsometKiryatAta,203,HofCarmel-NeveDavid,35.158,38.567,22,0.979,35.158,38.567,22.000,38.570
212,TsometKiryatAta,204,Hecht-Shprintzak,33.656,36.983,22,0.978,33.656,36.983,22.000,36.980
212,TsometKiryatAta,205,EinHayam,31.392,34.983,22,0.978,31.392,34.983,22.000,34.980
212,TsometKiryatAta,206,BatGalim-KiryatEliezer,26.765,30.300,56,0.976,26.765,26.225,46.000,30.300
212,TsometKiryatAta,207,Hamoshava,25.020,28.333,56,0.974,25.020,24.442,46.000,28.330
212,TsometKiryatAta,208,LowerCity,19.169,20.917,48,0.968,19.169,20.917,48.000,20.920
212,TsometKiryatAta,209,Namal-Giborim,14.466,16.983,91,0.989,14.466,16.983,80.000,16.980
212,TsometKiryatAta,210,Hamifrats,6.701,8.000,257,0.993,6.701,10.983,110.000,8.000
212,TsometKiryatAta,211,Bazan-Hutsot,1.209,2.633,301,0.999,1.202,1.333,116.000,2.630
212,TsometKiryatAta,213,KiryatAta North,12.570,11.350,79,0.996,6.404,8.300,25.000,11.350
212,TsometKiryatAta,214,KiryatAta North-East,18.752,18.325,22,0.983,,,,18.330
212,TsometKiryatAta,215,Shefaram,18.749,18.450,24,0.992,,,,18.450
212,TsometKiryatAta,216,Hamovil,25.115,25.483,11,1.000,,,,25.480
212,TsometKiryatAta,217,Nazareth,33.198,33.567,11,0.987,,,,33.570
212,TsometKiryatAta,301,SavyoneyYam,59.336,70.050,36,0.969,59.336,70.050,25.000,70.050
212,TsometKiryatAta,302,KiryatYam A,56.899,66.417,37,0.967,56.899,66.417,26.000,66.420
212,TsometKiryatAta,303,KiryatYam B+C,53.441,62.417,40,0.963,53.441,62.417,27.000,62.420
212,TsometKiryatAta,304,KiryatHaim West,12.375,9.817,54,0.991,49.602,57.050,28.000,9.820
213,KiryatAta North,101,TsurShalom,26.218,23.167,20,0.977,,,,23.170
213,KiryatAta North,102,Kiryon,21.202,20.150,11,1.000,,,,20.150
213,KiryatAta North,103,KiryatBialik Center,18.479,17.150,11,1.000,,,,17.150
213,KiryatAta North,104,KiryatHaim,15.195,14.150,52,0.974,8.114,7.933,25.000,14.150
213,KiryatAta North,206,BatGalim-KiryatEliezer,40.704,32.933,22,0.961,40.704,32.933,22.000,32.930
213,KiryatAta North,207,Hamoshava,38.960,31.333,22,0.959,38.960,31.333,22.000,31.330
213,KiryatAta North,208,LowerCity,33.108,28.633,23,0.955,33.108,28.633,23.000,28.630
213,KiryatAta North,209,Namal-Giborim,28.405,23.283,23,0.966,28.405,23.283,23.000,23.280
213,KiryatAta North,210,Hamifrats,20.640,17.933,47,0.978,20.640,17.933,24.000,17.930
213,KiryatAta North,211,Bazan-Hutsot,15.299,12.450,69,0.971,15.141,12.117,25.000,12.450
213,KiryatAta North,212,TsometKiryatAta,13.579,10.783,96,0.955,13.939,10.783,25.000,10.780
213,KiryatAta North,214,KiryatAta North-East,8.067,7.633,14,0.946,,,,7.630
213,KiryatAta North,215,Shefaram,7.182,7.050,9,0.977,,,,7.050
213,KiryatAta North,216,Hamovil,16.317,16.317,3,1.000,,,,16.320
213,KiryatAta North,217,Nazareth,21.789,21.767,3,0.974,,,,21.770
213,KiryatAta North,301,SavyoneyYam,38.428,36.250,10,0.988,,,,36.250
213,KiryatAta North,302,KiryatYam A,34.207,32.567,10,0.986,,,,32.570
213,KiryatAta North,303,KiryatYam B+C,22.232,21.150,12,0.940,,,,21.150
213,KiryatAta North,304,KiryatHaim West,27.375,24.000,25,0.962,,,,24.000
214,KiryatAta North-East,101,TsurShalom,54.510,50.000,16,0.992,,,,50.000
214,KiryatAta North-East,102,Kiryon,8.847,7.300,38,0.993,,,,7.300
214,KiryatAta North-East,103,KiryatBialik Center,12.248,8.033,33,0.993,,,,8.030
214,KiryatAta North-East,104,KiryatHaim,17.773,12.000,33,0.994,,,,12.000
214,KiryatAta North-East,210,Hamifrats,28.239,22.000,60,0.990,,,,22.000
214,KiryatAta North-East,211,Bazan-Hutsot,23.960,17.833,45,0.998,,,,17.830
214,KiryatAta North-East,212,TsometKiryatAta,20.176,15.000,66,0.995,,,,15.000
214,KiryatAta North-East,213,KiryatAta North,5.002,2.383,39,0.987,,,,2.380
214,KiryatAta North-East,215,Shefaram,2.967,2.058,20,1.000,,,,2.060
215,Shefaram,101,TsurShalom,17.686,14.800,4,1.000,,,,14.800
215,Shefaram,102,Kiryon,18.520,13.850,16,0.998,,,,13.850
215,Shefaram,103,KiryatBialik Center,24.490,18.425,12,0.998,,,,18.430
215,Shefaram,104,KiryatHaim,30.015,22.275,12,0.998,,,,22.270
215,Shefaram,206,BatGalim-KiryatEliezer,57.715,55.642,2,0.958,,,,55.640
215,Shefaram,207,Hamoshava,54.494,52.483,2,0.952,,,,52.480
215,Shefaram,210,Hamifrats,36.634,29.583,30,0.998,,,,29.580
215,Shefaram,211,Bazan-Hutsot,36.502,28.242,20,0.998,,,,28.240
215,Shefaram,212,TsometKiryatAta,34.895,25.833,20,0.998,,,,25.830
215,Shefaram,213,KiryatAta North,24.017,16.742,8,0.998,,,,16.740
215,Shefaram,214,KiryatAta North-East,12.047,8.817,42,0.994,,,,8.820
215,Shefaram,216,Hamovil,8.533,9.000,27,0.992,,,,9.000
215,Shefaram,217,Nazareth,16.271,16.125,22,0.983,,,,16.120
216,Hamovil,101,TsurShalom,24.714,21.000,3,0.991,,,,21.000
216,Hamovil,102,Kiryon,25.548,20.167,11,0.994,,,,20.170
216,Hamovil,103,KiryatBialik Center,27.999,22.383,8,0.995,,,,22.380
216,Hamovil,104,KiryatHaim,33.294,25.808,8,0.996,,,,25.810
216,Hamovil,210,Hamifrats,37.407,33.500,20,0.997,,,,33.500
216,Hamovil,211,Bazan-Hutsot,39.383,31.967,11,0.995,,,,31.970
216,Hamovil,212,TsometKiryatAta,38.174,28.000,11,0.995,,,,28.000
216,Hamovil,213,KiryatAta North,19.739,16.117,3,0.992,,,,16.120
216,Hamovil,214,KiryatAta North-East,15.617,13.000,22,0.994,,,,13.000
216,Hamovil,215,Shefaram,7.097,6.717,40,0.993,,,,6.720
216,Hamovil,217,Nazareth,7.383,7.383,43,0.977,,,,7.380
217,Nazareth,101,TsurShalom,46.365,41.983,3,0.988,,,,41.980
217,Nazareth,102,Kiryon,50.002,43.983,8,0.983,,,,43.980
217,Nazareth,103,KiryatBialik Center,64.960,50.983,5,0.982,,,,50.980
217,Nazareth,104,KiryatHaim,70.485,54.983,5,0.983,,,,54.980
217,Nazareth,206,BatGalim-KiryatEliezer,62.440,54.000,4,0.904,,,,54.000
217,Nazareth,207,Hamoshava,61.779,53.267,4,0.896,,,,53.270
217,Nazareth,208,LowerCity,68.054,59.483,8,0.926,,,,59.480
217,Nazareth,209,Namal-Giborim,49.759,44.483,9,0.957,,,,44.480
217,Nazareth,210,Hamifrats,61.140,54.983,17,0.983,,,,54.980
217,Nazareth,211,Bazan-Hutsot,76.378,59.750,7,0.985,,,,59.750
217,Nazareth,212,TsometKiryatAta,70.543,56.133,7,0.985,,,,56.130
217,Nazareth,213,KiryatAta North,56.931,46.133,2,0.986,,,,46.130
217,Nazareth,214,KiryatAta North-East,46.343,39.908,10,0.981,,,,39.910
217,Nazareth,215,Shefaram,31.483,33.433,15,0.980,,,,33.430
217,Nazareth,216,Hamovil,24.063,20.983,23,0.976,,,,20.980
301,SavyoneyYam,101,TsurShalom,6.514,7.533,75,0.953,81.260,94.733,25.000,7.530
301,SavyoneyYam,102,Kiryon,20.915,20.483,28,0.997,,,,20.480
301,SavyoneyYam,103,KiryatBialik Center,16.042,16.000,29,0.995,,,,16.000
301,SavyoneyYam,104,KiryatHaim,26.196,24.300,13,0.991,,,,24.300
301,SavyoneyYam,209,Namal-Giborim,32.602,37.633,29,0.983,32.602,37.633,29.000,37.630
301,SavyoneyYam,210,Hamifrats,24.838,31.000,39,0.986,24.838,31.000,30.000,31.000
301,SavyoneyYam,211,Bazan-Hutsot,17.635,20.167,55,0.984,17.635,20.167,32.000,20.170
301,SavyoneyYam,212,TsometKiryatAta,16.888,19.583,46,0.981,16.888,19.583,32.000,19.580
301,SavyoneyYam,213,KiryatAta North,41.579,42.433,13,0.991,,,,42.430
301,SavyoneyYam,302,KiryatYam A,5.677,5.350,102,0.980,5.857,5.633,34.000,5.350
301,SavyoneyYam,303,KiryatYam B+C,9.237,9.350,102,0.986,8.388,8.633,34.000,9.350
301,SavyoneyYam,304,KiryatHaim West,16.580,14.575,68,0.990,11.796,11.967,33.000,14.570
302,KiryatYam A,101,TsurShalom,18.853,17.900,85,0.962,75.404,89.100,24.000,17.900
302,KiryatYam A,102,Kiryon,16.773,20.750,41,1.000,,,,20.750
302,KiryatYam A,103,KiryatBialik Center,11.900,10.000,42,1.000,,,,10.000
302,KiryatYam A,104,KiryatHaim,20.518,18.950,14,1.000,,,,18.950
302,KiryatYam A,209,Namal-Giborim,26.746,32.000,29,0.984,26.746,32.000,29.000,32.000
302,KiryatYam A,210,Hamifrats,18.981,25.367,39,0.988,18.981,25.367,30.000,25.370
302,KiryatYam A,211,Bazan-Hutsot,11.778,14.533,56,0.987,11.778,14.533,32.000,14.530
302,KiryatYam A,212,TsometKiryatAta,11.031,13.950,46,0.984,11.031,13.950,32.000,13.950
302,KiryatYam A,213,KiryatAta North,35.902,37.083,13,0.995,,,,37.080
302,KiryatYam A,301,SavyoneyYam,12.487,10.367,75,0.977,70.367,84.000,26.000,10.370
302,KiryatYam A,303,KiryatYam B+C,2.532,3.000,141,1.000,2.532,3.000,34.000,3.000
302,KiryatYam A,304,KiryatHaim West,11.551,10.000,69,1.000,5.940,6.333,33.000,10.000
303,KiryatYam B+C,101,TsurShalom,20.725,19.333,96,0.962,72.872,86.100,24.000,19.330
303,KiryatYam B+C,102,Kiryon,22.009,24.000,51,0.984,,,,24.000
303,KiryatYam B+C,103,KiryatBialik Center,7.172,6.000,53,0.972,,,,6.000
303,KiryatYam B+C,104,KiryatHaim,15.607,14.950,25,0.943,,,,14.950
303,KiryatYam B+C,203,HofCarmel-NeveDavid,31.042,31.000,12,0.000,,,,31.000
303,KiryatYam B+C,206,BatGalim-KiryatEliezer,24.667,24.000,13,0.000,,,,24.000
303,KiryatYam B+C,208,LowerCity,19.667,19.000,13,0.000,,,,19.000
303,KiryatYam B+C,209,Namal-Giborim,24.214,29.000,30,0.983,24.214,29.000,30.000,29.000
303,KiryatYam B+C,210,Hamifrats,16.449,22.367,54,0.790,16.449,22.367,31.000,22.370
303,KiryatYam B+C,211,Bazan-Hutsot,9.246,11.533,67,0.882,9.246,11.533,33.000,11.530
303,KiryatYam B+C,212,TsometKiryatAta,8.500,10.950,48,0.979,8.500,10.950,33.000,10.950
303,KiryatYam B+C,213,KiryatAta North,30.740,32.833,14,0.994,,,,32.830
303,KiryatYam B+C,301,SavyoneyYam,11.862,10.417,64,0.975,67.835,81.000,26.000,10.420
303,KiryatYam B+C,302,KiryatYam A,5.917,5.000,117,0.975,65.398,77.367,27.000,5.000
303,KiryatYam B+C,304,KiryatHaim West,9.197,7.667,93,0.905,3.408,3.333,34.000,7.670
304,KiryatHaim West,101,TsurShalom,33.305,26.283,59,0.958,69.464,82.767,24.000,26.280
304,KiryatHaim West,102,Kiryon,27.849,20.200,23,0.992,,,,20.200
304,KiryatHaim West,103,KiryatBialik Center,20.737,14.033,25,0.986,,,,14.030
304,KiryatHaim West,104,KiryatHaim,11.790,7.183,29,0.986,,,,7.180
304,KiryatHaim West,203,HofCarmel-NeveDavid,28.042,28.000,7,0.000,,,,28.000
304,KiryatHaim West,206,BatGalim-KiryatEliezer,21.667,22.000,8,0.000,,,,22.000
304,KiryatHaim West,208,LowerCity,16.667,17.000,8,0.000,,,,17.000
304,KiryatHaim West,209,Namal-Giborim,20.806,25.667,30,0.981,20.806,25.667,30.000,25.670
304,KiryatHaim West,210,Hamifrats,13.041,19.033,55,0.869,13.041,19.033,31.000,19.030
304,KiryatHaim West,211,Bazan-Hutsot,5.838,8.200,74,0.860,5.838,8.200,33.000,8.200
304,KiryatHaim West,212,TsometKiryatAta,5.092,7.617,68,0.979,5.092,7.617,33.000,7.620
304,KiryatHaim West,213,KiryatAta North,21.301,20.967,26,0.994,,,,20.970
304,KiryatHaim West,301,SavyoneyYam,19.329,20.000,40,0.966,64.427,77.667,26.000,20.000
304,KiryatHaim West,302,KiryatYam A,15.108,16.317,52,0.964,61.990,74.033,27.000,16.320
304,KiryatHaim West,303,KiryatYam B+C,6.280,6.817,78,0.944,58.533,70.033,28.000,6.820
