TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
4002,23,27,10634 10796 10821 10825 10843 10942 11026 11632 11799 11833 12720 13160 13241 14163 15002 15133 17046 17064 17065 19045 19063 20049 24044 24059 25060 25061 28071,178,66,0.91,20.00,76,45,819.23,2.14,A,C,0,0,,0,0,,,0,0,33427.25,0.00,no service,no service,0,,,
3513,10,23,10430 10432 10442 10537 10541 10836 10962 10969 11431 11434 11437 12490 13488 14038 15142 16123 18122 19031 19037 19039 21044 24036 27009,90,37,1.62,10.00,96,49,1571.27,0.58,A,A,0,0,,0,0,,,0,0,33566.67,0.00,no service,no service,0,,,
3905,7,9,10202 10694 10708 13701 14156 14157 21070 35090 86001,59,20,3.00,20.00,39,32,785.48,1.30,A,C,0,0,,0,0,,,0,0,24991.10,0.00,no service,no service,0,,,
3913,14,12,10826 10836 10845 10910 10947 19076 21074 22009 23010 30075 50011 53080,57,24,2.50,15.00,59,23,332.67,2.89,A,B,0,0,,0,0,,,0,0,30004.13,0.00,no service,no service,0,,,
4006,2,1,42009,6,2,30.00,30.00,4,4,735.87,0.71,D,D,0,0,,0,0,,,0,0,35491.63,0.00,no service,no service,0,,,
4009,0,0,,0,0,,,0,0,798.61,0.00,no service,no service,0,0,,0,0,,,0,0,35917.90,0.00,no service,no service,0,,,
3613,6,19,10442 10541 10542 11994 12350 14352 14413 17240 19046 20042 22044 26030 32013 32014 34010 52003 57002 90011 99005,151,53,1.13,10.00,20,19,376.01,11.50,A,A,0,0,,0,0,,,0,0,26783.73,0.00,no service,no service,0,,,
3624,20,4,10843 22049 23052 23053,16,5,12.00,60.00,16,9,125.76,0.99,B,E,0,0,,0,0,,,0,0,31012.72,0.00,no service,no service,0,,,
3625,3,12,10821 10825 10843 10953 11247 11300 11302 12720 13246 14156 21051 24050,32,11,5.45,30.00,18,13,1441.63,0.26,A,D,0,0,,0,0,,,0,0,26672.75,0.00,no service,no service,0,,,
3611,4,15,10442 10541 10542 11991 11994 12350 14352 17240 19046 20042 22044 26030 32013 34010 90011,97,32,1.88,15.00,68,36,172.66,9.57,A,B,0,0,,0,0,,,0,0,27951.53,0.00,no service,no service,0,,,
3920,1,1,12034,2,1,60.00,60.00,4,4,1347.53,0.32,E,E,0,0,,0,0,,,0,0,28932.44,0.00,no service,no service,0,,,
3902,2,2,19032 24035,7,2,30.00,60.00,11,11,916.75,0.31,D,E,0,0,,0,0,,,0,0,27477.81,0.00,no service,no service,0,,,
4001,33,43,10027 10631 10634 10796 10821 10825 10869 10870 10953 10955 11026 11632 11792 11799 11833 12233 12720 13160 13241 13297 13299 14163 14298 15133 17046 17064 17065 19045 19048 19063 20049 22025 24044 24059 25060 25061 28071 33020 35022 45018 47007 53008 53017,257,91,0.66,15.00,92,57,403.00,2.43,A,B,0,0,,0,0,,,0,0,30904.65,0.00,no service,no service,0,,,
4018,6,1,31024,8,3,20.00,30.00,4,4,270.91,4.44,C,D,0,0,,0,0,,,0,0,35484.32,0.00,no service,no service,0,,,
3607,9,2,14413 19046,11,6,10.00,30.00,20,10,1101.97,0.81,A,D,0,0,,0,0,,,0,0,31491.16,0.00,no service,no service,0,,,
3523,13,31,10430 10432 10442 10505 10537 10541 10542 10836 10962 10982 10984 11431 11434 11437 11440 11991 12490 13360 13488 14038 14288 16123 17024 17180 17240 18030 18122 19028 19031 22033 24036,131,56,1.07,20.00,131,74,1359.13,0.33,A,C,0,0,,0,0,,,0,0,29004.87,0.00,no service,no service,0,,,
3814,7,3,19038 19048 20049,18,6,10.00,20.00,22,13,472.90,2.04,A,C,0,0,,0,0,,,0,0,28691.19,0.00,no service,no service,0,,,
4021,67,15,10759 10796 11777 11799 12233 14620 15133 17064 17113 18052 23633 24044 24059 31024 36014,92,40,1.50,15.00,45,22,98.42,9.93,A,B,0,0,,0,0,,,0,0,38476.92,0.00,no service,no service,0,,,
3823,7,25,10631 10634 10821 10825 10942 10953 11026 11632 12720 13160 13241 13297 13299 14163 17046 19045 19048 20049 22025 24044 25060 25061 28071 45018 53008,93,39,1.54,20.00,56,38,1460.31,0.92,A,C,0,0,,0,0,,,0,0,29485.27,0.00,no service,no service,0,,,
3703,16,2,14413 30016,11,4,15.00,60.00,18,9,1710.91,0.42,B,E,0,0,,0,0,,,0,0,53724.71,0.00,no service,no service,0,,,
3214,9,2,26063 46073,8,3,20.00,60.00,9,7,94.89,2.13,C,E,0,0,,0,0,,,0,0,46108.92,0.00,no service,no service,0,,,
3702,0,0,,0,0,,,0,0,2281.94,0.00,no service,no service,0,0,,0,0,,,0,0,47108.20,0.00,no service,no service,0,,,
3921,54,38,220 222 223 224 225 226 227 228 229 230 231 233 10202 10710 10716 10825 10852 10921 11028 11632 12005 13160 13241 14067 15002 15004 16068 17001 17053 19076 21074 21079 22009 23010 30075 50011 53080 69012,218,81,0.74,15.00,60,52,873.43,3.92,A,B,0,0,,0,0,,,0,0,32417.39,0.00,no service,no service,0,,,
3922,11,3,19076 22009 53080,13,6,10.00,20.00,10,7,476.89,4.24,A,C,0,0,,0,0,,,0,0,32344.45,0.00,no service,no service,0,,,
3306,2,1,17045,4,0,,,9,7,554.44,1.44,no service,no service,0,0,,0,0,,,0,0,40931.03,0.00,no service,no service,0,,,
3713,1,1,23053,3,0,,,6,1,3338.17,0.06,no service,no service,0,0,,0,0,,,0,0,49919.12,0.00,no service,no service,0,,,
3420,3,1,23050,2,1,60.00,60.00,13,13,318.26,5.89,E,E,0,0,,0,0,,,0,0,24672.38,0.00,no service,no service,0,,,
3110,25,21,10966 18151 19079 20060 22051 22071 24024 24063 24076 25019 25077 26074 28111 30078 30088 31017 35084 38085 41089 47018 61080,30,20,3.00,30.00,25,6,619.03,0.33,A,D,0,0,,0,0,,,0,0,60518.38,0.00,no service,no service,0,,,
3620,9,5,10843 11411 11412 14413 18151,31,11,5.45,30.00,34,22,3450.42,0.17,A,D,0,0,,0,0,,,0,0,43110.21,0.00,no service,no service,0,,,
3418,19,16,10281 10367 11294 11368 14039 16041 16044 16045 16046 18040 23049 23050 26053 37004 41002 53001,71,25,2.40,20.00,77,43,44.97,8.59,A,C,0,0,,0,0,,,0,0,23701.32,0.00,no service,no service,0,,,
3525,2,3,15142 19039 45025,9,3,20.00,30.00,10,10,94.01,8.99,C,D,0,0,,0,0,,,0,0,40182.63,0.00,no service,no service,0,,,
3610,9,24,10356 10442 10541 10542 10984 11991 11994 12350 14352 14413 17240 19033 19046 20042 21047 22044 26030 32013 32014 34010 52003 57002 90011 99005,231,83,0.72,10.00,75,31,257.41,18.19,A,A,0,0,,0,0,,,0,0,27298.26,0.00,no service,no service,0,,,
3705,8,12,10843 11411 14413 18151 25029 28017 30016 31027 40019 51021 84001 84002,56,18,3.33,30.00,36,24,101.76,6.04,A,D,0,0,,0,0,,,0,0,47960.46,0.00,no service,no service,0,,,
3813,0,0,,0,0,,,0,0,753.20,0.00,no service,no service,0,0,,0,0,,,0,0,27968.39,0.00,no service,no service,0,,,
3822,3,4,13297 25061 45018 53008,20,7,8.57,30.00,28,14,103.74,1.58,A,D,0,0,,0,0,,,0,0,29982.11,0.00,no service,no service,0,,,
3428,7,12,10281 10367 11294 11368 16041 16044 16045 16046 18040 23049 23050 26053,45,17,3.53,30.00,76,44,1458.95,0.56,A,D,0,0,,0,0,,,0,0,22922.14,0.00,no service,no service,0,,,
3430,0,0,,0,0,,,0,0,529.68,0.00,no service,no service,0,0,,0,0,,,0,0,20252.19,0.00,no service,no service,0,,,
3803,8,1,21039,12,4,15.00,30.00,2,2,874.23,0.75,B,D,0,0,,0,0,,,0,0,25185.11,0.00,no service,no service,0,,,
3410,1,2,25014 25015,5,2,30.00,60.00,3,3,352.61,0.33,D,E,0,0,,0,0,,,0,0,24276.99,0.00,no service,no service,0,,,
3825,29,10,10631 10634 11632 13160 14163 19063 22025 25060 28071 35022,73,28,2.14,15.00,27,23,121.92,29.94,A,B,0,0,,0,0,,,0,0,31331.87,0.00,no service,no service,0,,,
3830,2,1,33020,15,6,10.00,20.00,4,4,10.54,5.64,A,C,0,0,,0,0,,,0,0,32492.74,0.00,no service,no service,0,,,
3828,13,9,10027 10634 13160 14163 22025 25060 28071 33020 35022,79,29,2.07,15.00,20,17,103.53,10.55,A,B,0,0,,0,0,,,0,0,32676.35,0.00,no service,no service,0,,,
3829,1,1,35022,7,2,30.00,30.00,0,0,128.35,5.75,D,D,0,0,,0,0,,,0,0,31870.54,0.00,no service,no service,0,,,
3827,10,7,10634 13160 22025 25060 28071 33020 35022,68,26,2.31,15.00,18,13,60.63,26.36,A,B,0,0,,0,0,,,0,0,31740.34,0.00,no service,no service,0,,,
